filename,sample_time,type_id,r,0,1,2,3,4,5,6,7,8
random_1,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,0,2,0.0,0.25,0.25,0.0,0.25,0.75,0.0,0.0,0.0
random_1,0,1,2,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
random_1,0,2,2,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
random_1,0,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,4,2,0.25,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
random_1,0,5,2,0.75,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
random_1,0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,0,3,0.0,0.47368421052631576,0.47368421052631576,0.27631578947368424,0.47368421052631576,0.5263157894736842,0.0,0.0,0.47368421052631576
random_1,0,1,3,0.47368421052631576,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
random_1,0,2,3,0.47368421052631576,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
random_1,0,3,3,0.27631578947368424,0.75,0.75,0.0,0.75,0.24999999999999994,0.0,0.0,0.75
random_1,0,4,3,0.47368421052631576,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
random_1,0,5,3,0.5263157894736842,1.0,1.0,0.24999999999999994,1.0,0.0,0.0,0.0,1.0
random_1,0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,8,3,0.47368421052631576,0.0,0.0,0.75,0.0,1.0,0.0,0.0,0.0
random_1,0,0,4,0.0,0.05882352941176466,0.2549019607843137,0.0117647058823529,0.4117647058823529,0.5882352941176471,0.0,0.4117647058823529,0.4117647058823529
random_1,0,1,4,0.05882352941176466,0.0,0.31372549019607837,0.047058823529411764,0.35294117647058826,0.6470588235294117,0.0,0.35294117647058826,0.35294117647058826
random_1,0,2,4,0.2549019607843137,0.31372549019607837,0.0,0.2666666666666666,0.6666666666666666,0.33333333333333337,0.0,0.6666666666666666,0.6666666666666666
random_1,0,3,4,0.0117647058823529,0.047058823529411764,0.2666666666666666,0.0,0.4,0.6,0.0,0.4,0.4
random_1,0,4,4,0.4117647058823529,0.35294117647058826,0.6666666666666666,0.4,0.0,1.0,0.0,0.0,0.0
random_1,0,5,4,0.5882352941176471,0.6470588235294117,0.33333333333333337,0.6,1.0,0.0,0.0,1.0,1.0
random_1,0,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,7,4,0.4117647058823529,0.35294117647058826,0.6666666666666666,0.4,0.0,1.0,0.0,0.0,0.0
random_1,0,8,4,0.4117647058823529,0.35294117647058826,0.6666666666666666,0.4,0.0,1.0,0.0,0.0,0.0
random_1,0,0,5,0.0,0.11851851851851847,0.4,0.09999999999999998,0.4,0.6,0.0,0.4,0.4
random_1,0,1,5,0.11851851851851847,0.0,0.28148148148148155,0.01851851851851849,0.5185185185185185,0.4814814814814815,0.0,0.5185185185185185,0.5185185185185185
random_1,0,2,5,0.4,0.28148148148148155,0.0,0.30000000000000004,0.8,0.19999999999999996,0.0,0.8,0.8
random_1,0,3,5,0.09999999999999998,0.01851851851851849,0.30000000000000004,0.0,0.5,0.5,0.0,0.5,0.5
random_1,0,4,5,0.4,0.5185185185185185,0.8,0.5,0.0,1.0,0.0,0.0,0.0
random_1,0,5,5,0.6,0.4814814814814815,0.19999999999999996,0.5,1.0,0.0,0.0,1.0,1.0
random_1,0,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,0,7,5,0.4,0.5185185185185185,0.8,0.5,0.0,1.0,0.0,0.0,0.0
random_1,0,8,5,0.4,0.5185185185185185,0.8,0.5,0.0,1.0,0.0,0.0,0.0
random_1,100,0,1,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0
random_1,100,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
