filename,r,sample_time,sample_id,0,1,2,3,4,5,6,7,8
random_1,1,0,0,0,0,0,0,0,0,0,0,0
random_1,1,0,1,0,1,0,0,0,0,0,0,0
random_1,1,0,2,0,0,0,0,0,0,0,0,0
random_1,1,0,3,0,1,0,0,0,0,0,0,0
random_1,1,0,4,1,0,1,0,0,0,0,0,0
random_1,1,0,5,0,0,0,0,1,0,0,0,0
random_1,1,0,6,1,0,1,0,0,0,0,0,0
random_1,1,0,7,0,0,0,0,1,0,0,0,0
random_1,1,0,8,0,0,0,0,0,0,0,0,0
random_1,1,0,9,0,1,0,0,0,0,0,0,0
random_1,1,0,10,0,0,0,0,0,0,0,0,0
random_1,1,0,11,0,1,0,0,0,0,0,0,0
random_1,1,0,12,1,0,1,0,0,0,0,0,0
random_1,1,0,13,0,0,0,0,1,0,0,0,0
random_1,1,0,14,1,0,1,0,0,0,0,0,0
random_1,1,0,15,0,0,0,0,1,0,0,0,0
random_1,2,0,0,2,0,0,0,0,1,0,0,0
random_1,2,0,1,2,1,0,0,0,0,0,0,0
random_1,2,0,2,2,0,0,0,0,1,0,0,0
random_1,2,0,3,2,1,0,0,0,0,0,0,0
random_1,2,0,4,1,1,1,0,0,0,0,0,0
random_1,2,0,5,3,1,0,0,1,0,0,0,0
random_1,2,0,6,1,1,1,0,0,0,0,0,0
random_1,2,0,7,3,1,0,0,1,0,0,0,0
random_1,2,0,8,2,0,0,0,0,1,0,0,0
random_1,2,0,9,2,1,0,0,0,0,0,0,0
random_1,2,0,10,2,0,0,0,0,1,0,0,0
random_1,2,0,11,2,1,0,0,0,0,0,0,0
random_1,2,0,12,1,1,1,0,0,0,0,0,0
random_1,2,0,13,3,1,0,0,1,0,0,0,0
random_1,2,0,14,1,1,1,0,0,0,0,0,0
random_1,2,0,15,3,1,0,0,1,0,0,0,0
random_1,3,0,0,6,0,0,1,0,2,0,0,0
random_1,3,0,1,2,3,1,1,0,0,0,0,0
random_1,3,0,2,6,0,0,1,0,2,0,0,0
random_1,3,0,3,2,3,1,1,0,0,0,0,0
random_1,3,0,4,4,3,1,0,0,1,0,0,0
random_1,3,0,5,7,2,0,0,1,0,0,0,1
random_1,3,0,6,4,3,1,0,0,1,0,0,0
random_1,3,0,7,7,2,0,0,1,0,0,0,1
random_1,3,0,8,6,0,0,1,0,2,0,0,0
random_1,3,0,9,2,3,1,1,0,0,0,0,0
random_1,3,0,10,6,0,0,1,0,2,0,0,0
random_1,3,0,11,2,3,1,1,0,0,0,0,0
random_1,3,0,12,4,3,1,0,0,1,0,0,0
random_1,3,0,13,7,2,0,0,1,0,0,0,1
random_1,3,0,14,4,3,1,0,0,1,0,0,0
random_1,3,0,15,7,2,0,0,1,0,0,0,1
random_1,4,0,0,7,3,1,1,0,2,0,0,0
random_1,4,0,1,6,3,1,2,0,0,0,0,0
random_1,4,0,2,7,3,1,1,0,2,0,0,0
random_1,4,0,3,6,3,1,2,0,0,0,0,0
random_1,4,0,4,10,5,1,1,1,1,0,1,0
random_1,4,0,5,11,6,0,1,1,1,0,0,1
random_1,4,0,6,10,5,1,1,1,1,0,1,0
random_1,4,0,7,11,6,0,1,1,1,0,0,1
random_1,4,0,8,7,3,1,1,0,2,0,0,0
random_1,4,0,9,6,3,1,2,0,0,0,0,0
random_1,4,0,10,7,3,1,1,0,2,0,0,0
random_1,4,0,11,6,3,1,2,0,0,0,0,0
random_1,4,0,12,10,5,1,1,1,1,0,1,0
random_1,4,0,13,11,6,0,1,1,1,0,0,1
random_1,4,0,14,10,5,1,1,1,1,0,1,0
random_1,4,0,15,11,6,0,1,1,1,0,0,1
random_1,5,0,0,11,7,2,2,0,2,0,0,0
random_1,5,0,1,14,5,1,3,1,0,0,0,0
random_1,5,0,2,11,7,2,2,0,2,0,0,0
random_1,5,0,3,14,5,1,3,1,0,0,0,0
random_1,5,0,4,14,7,2,1,2,1,0,1,0
random_1,5,0,5,16,8,0,2,2,1,0,0,2
random_1,5,0,6,14,7,2,1,2,1,0,1,0
random_1,5,0,7,16,8,0,2,2,1,0,0,2
random_1,5,0,8,11,7,2,2,0,2,0,0,0
random_1,5,0,9,14,5,1,3,1,0,0,0,0
random_1,5,0,10,11,7,2,2,0,2,0,0,0
random_1,5,0,11,14,5,1,3,1,0,0,0,0
random_1,5,0,12,14,7,2,1,2,1,0,1,0
random_1,5,0,13,16,8,0,2,2,1,0,0,2
random_1,5,0,14,14,7,2,1,2,1,0,1,0
random_1,5,0,15,16,8,0,2,2,1,0,0,2
random_1,1,100,0,2,0,0,0,0,0,0,0,0
random_1,1,100,1,3,0,0,1,0,0,0,0,0
