filename,sample_time,shannon,simpson
clustered_8,300,0.95479,0.41287
clustered_8,400,0.70904,0.3315
clustered_8,500,0.75885,0.3728
clustered_8,600,0.64467,0.30233
clustered_9,0,1.54154,0.69375
clustered_9,100,0.9998,0.51996
clustered_9,200,1.43034,0.70117
clustered_9,300,0.76011,0.34327
clustered_9,400,0.65837,0.30705
clustered_9,500,0.7085,0.34044
clustered_9,600,0.59278,0.27493
clustered_10,0,1.54154,0.69375
clustered_10,100,0.96757,0.49853
clustered_10,200,1.47409,0.7064
clustered_10,300,0.6416,0.27897
clustered_10,400,0.66749,0.31024
clustered_10,500,0.63529,0.2956
clustered_10,600,0.75778,0.3767
clustered_11,0,1.54154,0.69375
clustered_11,100,0.99235,0.51857
clustered_11,200,1.45029,0.69599
clustered_11,300,0.89145,0.38821
clustered_11,400,0.85498,0.39693
clustered_11,500,0.70415,0.33501
clustered_11,600,0.75939,0.37327
clustered_12,0,1.54154,0.69375
clustered_12,100,1.02502,0.53366
clustered_12,200,1.58722,0.74343
clustered_12,300,0.91811,0.41055
clustered_12,400,0.73191,0.34484
clustered_12,500,0.86866,0.44198
clustered_12,600,0.64126,0.31718
clustered_13,0,1.54154,0.69375
clustered_13,100,0.98979,0.51886
clustered_13,200,1.45653,0.69785
clustered_13,300,0.84931,0.36654
clustered_13,400,0.68456,0.31638
clustered_13,500,0.6755,0.31702
clustered_13,600,0.70222,0.34348
clustered_14,0,1.54154,0.69375
clustered_14,100,0.97504,0.50288
clustered_14,200,1.38858,0.66964
clustered_14,300,1.00504,0.43819
clustered_14,400,1.14075,0.56558
clustered_14,500,0.70183,0.3303
clustered_14,600,0.87876,0.45228
clustered_15,0,1.54154,0.69375
clustered_15,100,1.03796,0.53664
clustered_15,200,1.48373,0.70825
clustered_15,300,0.9992,0.44322
clustered_15,400,0.57305,0.25454
clustered_15,500,0.76793,0.37332
clustered_15,600,0.63745,0.29775
clustered_16,0,1.54154,0.69375
clustered_16,100,1.00675,0.5151
clustered_16,200,1.43633,0.69395
clustered_16,300,1.00135,0.437
clustered_16,400,0.65627,0.30022
clustered_16,500,0.59119,0.27834
clustered_16,600,1.06262,0.59187
clustered_17,0,1.54154,0.69375
clustered_17,100,1.00567,0.51992
clustered_17,200,1.4977,0.72419
clustered_17,300,1.03798,0.46437
clustered_17,400,0.50643,0.21979
clustered_17,500,0.74469,0.36119
clustered_17,600,0.76036,0.377
clustered_18,0,1.54154,0.69375
clustered_18,100,1.00268,0.51918
clustered_18,200,1.43272,0.69865
clustered_18,300,0.84949,0.37747
clustered_18,400,0.65458,0.30475
clustered_18,500,0.78401,0.38629
clustered_18,600,0.89512,0.46721
clustered_19,0,1.54154,0.69375
clustered_19,100,0.94205,0.48191
clustered_19,200,1.41183,0.69055
clustered_19,300,0.76252,0.33485
clustered_19,400,0.77704,0.37637
clustered_19,500,0.70494,0.34196
clustered_19,600,0.91056,0.49442
clustered_20,0,1.54154,0.69375
clustered_20,100,0.97988,0.49514
clustered_20,200,1.51007,0.72081
clustered_20,300,0.97346,0.4431
clustered_20,400,0.68566,0.30578
clustered_20,500,0.87956,0.44167
clustered_20,600,0.61045,0.28288
