filename,r,shannon,simpson
random_20,2,1.39428,0.70538
random_20,3,1.4088,0.70165
random_20,4,1.43005,0.70932
random_20,5,1.43757,0.711
random_3,1,1.28728,0.67093
random_3,2,1.30631,0.65383
random_3,3,1.3492,0.6684
random_3,4,1.35822,0.67
random_3,5,1.33769,0.65964
random_4,1,1.25425,0.60833
random_4,2,1.21733,0.58899
random_4,3,1.24654,0.60312
random_4,4,1.24036,0.59523
random_4,5,1.24942,0.60015
random_5,1,1.38914,0.70411
random_5,2,1.37396,0.68269
random_5,3,1.38132,0.68502
random_5,4,1.38108,0.68501
random_5,5,1.38032,0.68285
random_6,1,1.30292,0.67748
random_6,2,1.29367,0.66871
random_6,3,1.30875,0.6779
random_6,4,1.31596,0.68074
random_6,5,1.31608,0.67825
random_7,1,1.1859,0.58462
random_7,2,1.16363,0.56683
random_7,3,1.18475,0.5792
random_7,4,1.18754,0.5742
random_7,5,1.1795,0.56971
random_8,1,1.29935,0.63435
random_8,2,1.34145,0.66304
random_8,3,1.38709,0.672
random_8,4,1.39721,0.67343
random_8,5,1.43687,0.6881
random_9,1,1.34246,0.66701
random_9,2,1.27755,0.65154
random_9,3,1.33811,0.66546
random_9,4,1.36328,0.67453
random_9,5,1.38565,0.68162
