filename,sample_time,r,sample_id,0,1,2,3,4,5,6,7,8
clustered_11,100,1,14,0,20,0,0,1,0,0,0,0
clustered_11,100,1,15,4,0,0,2,0,1,0,0,0
clustered_11,100,2,0,2,0,0,5,0,0,0,0,0
clustered_11,100,2,1,12,0,0,0,0,2,0,0,0
clustered_11,100,2,2,0,3,0,0,0,0,0,0,0
clustered_11,100,2,3,2,0,0,0,0,0,0,0,0
clustered_11,100,2,4,0,0,0,0,0,0,0,0,0
clustered_11,100,2,5,2,0,0,1,0,0,0,0,0
clustered_11,100,2,6,2,0,0,0,0,0,0,0,0
clustered_11,100,2,7,0,0,2,0,0,0,0,0,0
clustered_11,100,2,8,6,0,1,0,0,1,0,0,0
clustered_11,100,2,9,4,0,2,0,0,0,0,0,0
clustered_11,100,2,10,0,0,2,0,1,0,0,0,0
clustered_11,100,2,11,0,0,0,0,0,0,0,0,0
clustered_11,100,2,12,6,0,0,0,0,0,0,0,0
clustered_11,100,2,13,19,0,0,0,0,0,0,0,0
clustered_11,100,2,14,0,62,0,0,2,0,0,0,0
clustered_11,100,2,15,5,0,0,3,0,2,0,0,0
clustered_11,100,3,0,5,0,0,8,0,1,0,0,0
clustered_11,100,3,1,27,0,0,0,0,2,0,0,0
clustered_11,100,3,2,1,13,0,0,0,0,0,0,0
clustered_11,100,3,3,3,0,0,0,0,0,0,0,0
clustered_11,100,3,4,3,0,0,0,0,0,0,0,0
clustered_11,100,3,5,4,0,0,1,0,0,0,0,0
clustered_11,100,3,6,4,0,0,0,0,0,0,0,0
clustered_11,100,3,7,0,0,2,0,0,0,0,0,0
clustered_11,100,3,8,7,0,1,0,0,1,0,0,0
clustered_11,100,3,9,4,0,5,0,0,0,0,0,0
clustered_11,100,3,10,0,0,3,0,3,0,0,0,0
clustered_11,100,3,11,0,0,1,3,0,0,0,0,0
clustered_11,100,3,12,12,0,0,0,0,0,0,0,0
clustered_11,100,3,13,41,0,0,2,0,0,0,0,0
clustered_11,100,3,14,0,113,0,2,2,0,0,0,0
clustered_11,100,3,15,7,0,0,3,0,2,0,0,0
clustered_11,100,4,0,8,0,0,12,0,1,0,0,0
clustered_11,100,4,1,45,0,0,1,0,2,0,0,0
clustered_11,100,4,2,2,34,0,0,0,0,0,0,0
clustered_11,100,4,3,3,0,0,0,0,0,1,0,0
clustered_11,100,4,4,5,0,0,0,0,0,0,0,0
clustered_11,100,4,5,10,0,0,2,0,0,0,0,0
clustered_11,100,4,6,10,0,0,0,0,0,0,0,0
clustered_11,100,4,7,0,0,4,0,0,0,0,0,0
clustered_11,100,4,8,10,0,1,0,0,5,0,0,0
clustered_11,100,4,9,8,0,6,3,0,0,0,0,0
clustered_11,100,4,10,0,1,7,0,3,0,0,0,0
clustered_11,100,4,11,0,0,1,5,0,0,0,0,0
clustered_11,100,4,12,17,0,0,0,0,0,0,0,0
clustered_11,100,4,13,62,0,0,3,0,0,0,1,0
clustered_11,100,4,14,1,181,0,3,2,0,0,0,0
clustered_11,100,4,15,24,5,0,4,0,3,0,0,0
clustered_11,100,5,0,11,0,0,17,0,1,0,0,0
clustered_11,100,5,1,59,0,0,1,0,2,0,0,0
clustered_11,100,5,2,2,64,0,1,0,0,0,0,0
clustered_11,100,5,3,3,0,0,0,1,0,1,0,0
clustered_11,100,5,4,12,0,0,0,0,0,0,0,0
clustered_11,100,5,5,11,0,0,2,0,0,0,0,0
