filename,r,sample_time,shannon,simpson
clustered_12,5,600,0.8327,0.43861
clustered_13,1,0,1.06086,0.64198
clustered_13,1,100,0.6954,0.44214
clustered_13,1,200,1.46197,0.68771
clustered_13,1,300,0.75193,0.38017
clustered_13,1,400,0.31274,0.12476
clustered_13,1,500,0.5739,0.28448
clustered_13,1,600,0.37677,0.21875
clustered_13,2,0,1.12209,0.63138
clustered_13,2,100,1.00359,0.5059
clustered_13,2,200,1.56327,0.72537
clustered_13,2,300,0.96644,0.45934
clustered_13,2,400,0.61001,0.29082
clustered_13,2,500,0.49966,0.22678
clustered_13,2,600,0.56257,0.32231
clustered_13,3,0,1.22432,0.66535
clustered_13,3,100,1.08384,0.56309
clustered_13,3,200,1.57516,0.73164
clustered_13,3,300,0.9174,0.42334
clustered_13,3,400,0.63714,0.31505
clustered_13,3,500,0.58246,0.26099
clustered_13,3,600,0.5215,0.29602
clustered_13,4,0,1.50601,0.71644
clustered_13,4,100,1.07944,0.56557
clustered_13,4,200,1.54974,0.72437
clustered_13,4,300,0.84592,0.3844
clustered_13,4,400,0.62924,0.3132
clustered_13,4,500,0.60609,0.27669
clustered_13,4,600,0.52759,0.29615
clustered_13,5,0,1.47393,0.70925
clustered_13,5,100,1.08486,0.56833
clustered_13,5,200,1.55488,0.72154
clustered_13,5,300,0.8811,0.40897
clustered_13,5,400,0.64689,0.32021
clustered_13,5,500,0.68393,0.31869
clustered_13,5,600,0.54423,0.30243
clustered_14,1,0,1.06086,0.64198
clustered_14,1,100,0.84871,0.53292
clustered_14,1,200,1.26994,0.6459
clustered_14,1,300,1.00564,0.52363
clustered_14,1,400,0.5004,0.32
clustered_14,1,500,0.52186,0.26465
clustered_14,1,600,0.87526,0.54883
clustered_14,2,0,1.12209,0.63138
clustered_14,2,100,0.97283,0.56881
clustered_14,2,200,1.29036,0.65108
clustered_14,2,300,1.04772,0.50273
clustered_14,2,400,1.27314,0.67776
clustered_14,2,500,0.53899,0.24911
clustered_14,2,600,0.85154,0.50114
clustered_14,3,0,1.22432,0.66535
clustered_14,3,100,1.02805,0.57606
clustered_14,3,200,1.32469,0.66827
clustered_14,3,300,1.03424,0.4663
clustered_14,3,400,1.10557,0.56383
clustered_14,3,500,0.52049,0.23785
clustered_14,3,600,0.88668,0.53594
clustered_14,4,0,1.50601,0.71644
clustered_14,4,100,1.05887,0.58229
clustered_14,4,200,1.3797,0.67958
clustered_14,4,300,1.07274,0.48953
clustered_14,4,400,0.9592,0.48023
clustered_14,4,500,0.52105,0.23711
clustered_14,4,600,0.89991,0.54101
clustered_14,5,0,1.47393,0.70925
clustered_14,5,100,1.09493,0.59148
clustered_14,5,200,1.38121,0.68057
clustered_14,5,300,1.09156,0.49747
clustered_14,5,400,0.90167,0.42313
clustered_14,5,500,0.54895,0.24804
clustered_14,5,600,0.9664,0.55085
clustered_15,1,0,1.06086,0.64198
clustered_15,1,100,0.86706,0.52618
clustered_15,1,200,1.49251,0.72176
clustered_15,1,300,0.7997,0.45159
clustered_15,1,400,0.37511,0.17637
clustered_15,1,500,1.10589,0.585
clustered_15,1,600,0.94861,0.48989
clustered_15,2,0,1.12209,0.63138
clustered_15,2,100,0.88277,0.53587
clustered_15,2,200,1.64705,0.74981
clustered_15,2,300,0.69818,0.36531
clustered_15,2,400,0.48095,0.21277
clustered_15,2,500,0.97727,0.52686
clustered_15,2,600,0.92354,0.47443
clustered_15,3,0,1.22432,0.66535
clustered_15,3,100,0.88158,0.53555
clustered_15,3,200,1.6063,0.74354
clustered_15,3,300,0.70607,0.36656
clustered_15,3,400,0.56834,0.25574
clustered_15,3,500,0.93755,0.492
clustered_15,3,600,0.96329,0.49715
clustered_15,4,0,1.50601,0.71644
clustered_15,4,100,0.98058,0.56047
clustered_15,4,200,1.58396,0.73472
clustered_15,4,300,0.67103,0.33927
clustered_15,4,400,0.58753,0.26411
clustered_15,4,500,0.90671,0.46975
clustered_15,4,600,0.85118,0.42714
clustered_15,5,0,1.47393,0.70925
clustered_15,5,100,1.04735,0.57771
clustered_15,5,200,1.59638,0.73533
clustered_15,5,300,0.65393,0.31863
clustered_15,5,400,0.61216,0.27802
clustered_15,5,500,0.90906,0.4706
clustered_15,5,600,0.79295,0.39341
clustered_16,1,0,1.06086,0.64198
clustered_16,1,100,0.88298,0.53938
clustered_16,1,200,1.09768,0.58211
clustered_16,1,300,1.15957,0.63111
clustered_16,1,400,0.15841,0.07133
clustered_16,1,500,0.50084,0.24986
clustered_16,1,600,0.90026,0.53125
clustered_16,2,0,1.12209,0.63138
clustered_16,2,100,1.11947,0.60438
clustered_16,2,200,1.13456,0.59908
clustered_16,2,300,1.05427,0.5584
clustered_16,2,400,0.25266,0.1143
clustered_16,2,500,0.49759,0.22649
clustered_16,2,600,1.09884,0.62426
clustered_16,3,0,1.22432,0.66535
clustered_16,3,100,1.09595,0.59488
clustered_16,3,200,1.20528,0.61184
clustered_16,3,300,1.00233,0.51275
clustered_16,3,400,0.35204,0.14826
clustered_16,3,500,0.62224,0.30038
clustered_16,3,600,1.09195,0.62391
clustered_16,4,0,1.50601,0.71644
clustered_16,4,100,1.06511,0.58455
clustered_16,4,200,1.21296,0.6123
clustered_16,4,300,1.01631,0.50461
clustered_16,4,400,0.39027,0.15993
clustered_16,4,500,0.67942,0.33656
clustered_16,4,600,1.1349,0.6483
clustered_16,5,0,1.47393,0.70925
clustered_16,5,100,1.05026,0.57976
clustered_16,5,200,1.18804,0.59321
clustered_16,5,300,1.01707,0.51341
clustered_16,5,400,0.39831,0.16352
clustered_16,5,500,0.64767,0.31259
clustered_16,5,600,1.15057,0.66028
clustered_17,1,0,1.06086,0.64198
clustered_17,1,100,1.14815,0.60288
clustered_17,1,200,1.27752,0.6782
clustered_17,1,300,1.18923,0.57548
clustered_17,1,400,0.49944,0.22368
clustered_17,1,500,0.56082,0.25796
clustered_17,1,600,0.994,0.52885
clustered_17,2,0,1.12209,0.63138
clustered_17,2,100,1.0576,0.5786
clustered_17,2,200,1.52262,0.72612
clustered_17,2,300,1.09764,0.52216
clustered_17,2,400,0.30638,0.12585
clustered_17,2,500,0.84685,0.43873
clustered_17,2,600,0.89674,0.45661
clustered_17,3,0,1.22432,0.66535
clustered_17,3,100,1.09334,0.59213
clustered_17,3,200,1.54334,0.73269
clustered_17,3,300,1.06434,0.49809
clustered_17,3,400,0.42794,0.18049
clustered_17,3,500,0.78632,0.40176
clustered_17,3,600,0.96429,0.49645
clustered_17,4,0,1.50601,0.71644
clustered_17,4,100,1.06891,0.58372
clustered_17,4,200,1.51997,0.72462
clustered_17,4,300,1.04251,0.4925
clustered_17,4,400,0.48152,0.21108
clustered_17,4,500,0.7394,0.37052
clustered_17,4,600,0.91379,0.46392
clustered_17,5,0,1.47393,0.70925
clustered_17,5,100,1.10481,0.59181
clustered_17,5,200,1.54077,0.72806
clustered_17,5,300,1.0464,0.49676
clustered_17,5,400,0.50848,0.22756
clustered_17,5,500,0.75114,0.37885
clustered_17,5,600,0.88388,0.44534
clustered_18,1,0,1.06086,0.64198
clustered_18,1,100,0.92908,0.53068
clustered_18,1,200,1.28298,0.64197
clustered_18,1,300,0.49555,0.2275
clustered_18,1,400,0.29876,0.1308
clustered_18,1,500,0.86255,0.44827
clustered_18,1,600,1.26365,0.69421
clustered_18,2,0,1.12209,0.63138
clustered_18,2,100,0.93973,0.54994
clustered_18,2,200,1.21753,0.59362
clustered_18,2,300,0.50674,0.22852
clustered_18,2,400,0.43782,0.21503
clustered_18,2,500,0.8492,0.43347
clustered_18,2,600,1.08426,0.61565
clustered_18,3,0,1.22432,0.66535
clustered_18,3,100,0.96658,0.54313
clustered_18,3,200,1.18384,0.58592
clustered_18,3,300,0.51026,0.22734
clustered_18,3,400,0.4302,0.19537
clustered_18,3,500,0.83189,0.42902
clustered_18,3,600,0.99006,0.58112
clustered_18,4,0,1.50601,0.71644
clustered_18,4,100,1.0288,0.56052
clustered_18,4,200,1.23,0.60894
clustered_18,4,300,0.53372,0.23373
