filename,r,sample_time,sample_id,shannon,simpson
clustered_1,2,500,9,-0.0,0.0
clustered_1,2,500,10,0.0,0.0
clustered_1,2,500,11,-0.0,0.0
clustered_1,2,600,0,-0.0,0.0
clustered_1,2,600,1,0.46204,0.28733
clustered_1,2,600,2,-0.0,0.0
clustered_1,2,600,3,0.17321,0.07986
clustered_1,2,600,4,0.0,0.0
clustered_1,2,600,5,0.43223,0.26272
clustered_1,2,600,6,0.47414,0.29752
clustered_1,2,600,7,1.09861,0.66667
clustered_1,2,600,8,-0.0,0.0
clustered_1,2,600,9,1.03972,0.625
clustered_1,2,600,10,-0.0,0.0
clustered_1,2,600,11,-0.0,0.0
clustered_1,3,0,0,-0.0,0.0
clustered_1,3,0,1,0.0,0.0
clustered_1,3,0,2,0.0,0.0
clustered_1,3,0,3,0.0,0.0
clustered_1,3,0,4,0.0,0.0
clustered_1,3,0,5,0.0,0.0
clustered_1,3,0,6,-0.0,0.0
clustered_1,3,0,7,-0.0,0.0
clustered_1,3,0,8,0.0,0.0
clustered_1,3,0,9,-0.0,0.0
clustered_1,3,0,10,0.65548,0.46281
clustered_1,3,0,11,-0.0,0.0
clustered_1,3,100,0,0.68291,0.4898
clustered_1,3,100,1,0.84869,0.49383
clustered_1,3,100,2,1.06589,0.64447
clustered_1,3,100,3,0.0,0.0
clustered_1,3,100,4,-0.0,0.0
clustered_1,3,100,5,0.6603,0.46751
clustered_1,3,100,6,0.73562,0.40625
clustered_1,3,100,7,0.84511,0.535
clustered_1,3,100,8,-0.0,0.0
clustered_1,3,100,9,0.68709,0.3787
clustered_1,3,100,10,0.04853,0.01667
clustered_1,3,100,11,0.32508,0.18
clustered_1,3,200,0,0.9557,0.57143
clustered_1,3,200,1,0.12693,0.05401
clustered_1,3,200,2,0.41012,0.2449
clustered_1,3,200,3,0.39267,0.23111
clustered_1,3,200,4,0.35006,0.15935
clustered_1,3,200,5,0.0,0.0
clustered_1,3,200,6,0.857,0.54294
clustered_1,3,200,7,-0.0,0.0
clustered_1,3,200,8,1.19825,0.63573
clustered_1,3,200,9,0.63651,0.44444
clustered_1,3,200,10,0.4087,0.19643
clustered_1,3,200,11,0.69315,0.5
clustered_1,3,300,0,0.88742,0.4875
clustered_1,3,300,1,0.0,0.0
clustered_1,3,300,2,0.62109,0.42969
clustered_1,3,300,3,0.0,0.0
clustered_1,3,300,4,0.0,0.0
clustered_1,3,300,5,1.05492,0.64
clustered_1,3,300,6,-0.0,0.0
clustered_1,3,300,7,-0.0,0.0
clustered_1,3,300,8,-0.0,0.0
clustered_1,3,300,9,0.68374,0.37037
clustered_1,3,300,10,0.59151,0.40186
clustered_1,3,300,11,0.98396,0.59172
clustered_1,3,400,0,0.43616,0.26593
clustered_1,3,400,1,0.51655,0.26125
clustered_1,3,400,2,0.0,0.0
clustered_1,3,400,3,0.41012,0.2449
clustered_1,3,400,4,0.75955,0.42975
clustered_1,3,400,5,-0.0,0.0
clustered_1,3,400,6,-0.0,0.0
clustered_1,3,400,7,-0.0,0.0
clustered_1,3,400,8,0.0,0.0
clustered_1,3,400,9,0.0,0.0
clustered_1,3,400,10,0.0,0.0
clustered_1,3,400,11,0.3446,0.15625
clustered_1,3,500,0,-0.0,0.0
clustered_1,3,500,1,0.0,0.0
clustered_1,3,500,2,0.0,0.0
clustered_1,3,500,3,0.0,0.0
clustered_1,3,500,4,-0.0,0.0
clustered_1,3,500,5,0.0,0.0
clustered_1,3,500,6,0.69315,0.5
clustered_1,3,500,7,-0.0,0.0
clustered_1,3,500,8,-0.0,0.0
clustered_1,3,500,9,0.63651,0.44444
clustered_1,3,500,10,-0.0,0.0
clustered_1,3,500,11,-0.0,0.0
clustered_1,3,600,0,-0.0,0.0
clustered_1,3,600,1,0.42271,0.255
clustered_1,3,600,2,-0.0,0.0
clustered_1,3,600,3,0.18182,0.08494
clustered_1,3,600,4,0.0,0.0
clustered_1,3,600,5,0.6452,0.35187
clustered_1,3,600,6,0.64969,0.36777
clustered_1,3,600,7,1.03972,0.625
clustered_1,3,600,8,0.63651,0.44444
clustered_1,3,600,9,0.65195,0.35069
clustered_1,3,600,10,-0.0,0.0
clustered_1,3,600,11,-0.0,0.0
clustered_1,4,0,0,0.69315,0.5
clustered_1,4,0,1,0.0,0.0
clustered_1,4,0,2,-0.0,0.0
clustered_1,4,0,3,0.0,0.0
clustered_1,4,0,4,0.0,0.0
clustered_1,4,0,5,0.0,0.0
clustered_1,4,0,6,-0.0,0.0
clustered_1,4,0,7,-0.0,0.0
clustered_1,4,0,8,0.0,0.0
clustered_1,4,0,9,0.24493,0.12444
clustered_1,4,0,10,0.67749,0.48443
clustered_1,4,0,11,-0.0,0.0
clustered_1,4,100,0,0.68291,0.4898
clustered_1,4,100,1,0.91906,0.52444
clustered_1,4,100,2,1.03798,0.62413
clustered_1,4,100,3,0.0,0.0
clustered_1,4,100,4,-0.0,0.0
clustered_1,4,100,5,0.59827,0.40816
clustered_1,4,100,6,0.86756,0.54938
clustered_1,4,100,7,0.90459,0.50195
clustered_1,4,100,8,-0.0,0.0
