filename,sample_time,type_id,0,1,2,3,4,5,6,7,8
random_1,0,0,0.0,0.65599,0.85251,0.80188,0.8511,0.88921,0.97725,0.99303,0.97733
random_1,0,1,0.65599,0.0,0.85677,0.80952,0.84951,0.88932,0.97701,0.99535,0.97663
random_1,0,2,0.85251,0.85677,0.0,0.86971,0.85976,0.89899,0.97909,0.99579,0.97879
random_1,0,3,0.80188,0.80952,0.86971,0.0,0.86199,0.88425,0.98055,0.99077,0.98119
random_1,0,4,0.8511,0.84951,0.85976,0.86199,0.0,0.89896,0.97571,0.99124,0.98085
random_1,0,5,0.88921,0.88932,0.89899,0.88425,0.89896,0.0,0.98339,0.99482,0.98116
random_1,0,6,0.97725,0.97701,0.97909,0.98055,0.97571,0.98339,0.0,0.98627,0.97966
random_1,0,7,0.99303,0.99535,0.99579,0.99077,0.99124,0.99482,0.98627,0.0,1.0
random_1,0,8,0.97733,0.97663,0.97879,0.98119,0.98085,0.98116,0.97966,1.0,0.0
random_1,100,0,0.0,0.97507,0.96979,0.68039,0.99391,0.87211,0.99611,0.98261,0.99855
random_1,100,1,0.97507,0.0,0.98876,0.97825,0.88295,0.97613,0.90013,0.98085,0.92051
random_1,100,2,0.96979,0.98876,0.0,0.96847,0.99597,0.96322,0.99621,0.96032,1.0
random_1,100,3,0.68039,0.97825,0.96847,0.0,0.9938,0.84485,0.99658,0.96024,0.99965
random_1,100,4,0.99391,0.88295,0.99597,0.9938,0.0,0.99381,0.93373,0.98689,0.95339
random_1,100,5,0.87211,0.97613,0.96322,0.84485,0.99381,0.0,0.99567,0.96787,0.99955
random_1,100,6,0.99611,0.90013,0.99621,0.99658,0.93373,0.99567,0.0,0.99185,0.92178
random_1,100,7,0.98261,0.98085,0.96032,0.96024,0.98689,0.96787,0.99185,0.0,0.9974
random_1,100,8,0.99855,0.92051,1.0,0.99965,0.95339,0.99955,0.92178,0.9974,0.0
random_1,200,0,0.0,0.97992,0.99102,0.78423,0.99224,0.94516,0.99963,0.99541,0.99954
random_1,200,1,0.97992,0.0,0.99976,0.98763,0.86015,0.99209,0.92579,0.98646,0.88038
random_1,200,2,0.99102,0.99976,0.0,0.98625,0.9848,0.9853,0.99791,0.98236,0.99834
random_1,200,3,0.78423,0.98763,0.98625,0.0,0.99051,0.88705,1.0,0.98323,0.9996
random_1,200,4,0.99224,0.86015,0.9848,0.99051,0.0,0.96706,0.93091,0.94764,0.89567
random_1,200,5,0.94516,0.99209,0.9853,0.88705,0.96706,0.0,0.99753,0.98595,0.98953
random_1,200,6,0.99963,0.92579,0.99791,1.0,0.93091,0.99753,0.0,0.97272,0.834
random_1,200,7,0.99541,0.98646,0.98236,0.98323,0.94764,0.98595,0.97272,0.0,0.97087
random_1,200,8,0.99954,0.88038,0.99834,0.9996,0.89567,0.98953,0.834,0.97087,0.0
random_1,300,0,0.0,0.99491,0.98771,0.82761,0.96736,0.94043,0.97837,0.99697,0.99223
random_1,300,1,0.99491,0.0,0.99512,0.99292,0.69452,0.96798,0.93287,0.99901,0.94055
random_1,300,2,0.98771,0.99512,0.0,0.97934,0.99515,0.98289,0.99504,0.99125,1.0
random_1,300,3,0.82761,0.99292,0.97934,0.0,0.97837,0.89211,0.97705,0.99383,0.99633
random_1,300,4,0.96736,0.69452,0.99515,0.97837,0.0,0.94312,0.91837,0.97898,0.92643
random_1,300,5,0.94043,0.96798,0.98289,0.89211,0.94312,0.0,0.96807,0.98017,0.99549
random_1,300,6,0.97837,0.93287,0.99504,0.97705,0.91837,0.96807,0.0,0.98238,0.94138
random_1,300,7,0.99697,0.99901,0.99125,0.99383,0.97898,0.98017,0.98238,0.0,0.99868
random_1,300,8,0.99223,0.94055,1.0,0.99633,0.92643,0.99549,0.94138,0.99868,0.0
random_1,400,0,0.0,0.99636,0.92591,0.88569,0.98374,0.94519,0.9871,0.99778,0.99732
random_1,400,1,0.99636,0.0,0.99871,0.99395,0.92149,0.99001,0.94721,1.0,0.76542
random_1,400,2,0.92591,0.99871,0.0,0.95945,0.99622,0.98242,0.99621,0.99512,0.99902
random_1,400,3,0.88569,0.99395,0.95945,0.0,0.97997,0.89918,0.97592,0.99456,0.99158
random_1,400,4,0.98374,0.92149,0.99622,0.97997,0.0,0.94212,0.94664,0.98443,0.95533
random_1,400,5,0.94519,0.99001,0.98242,0.89918,0.94212,0.0,0.95755,0.99042,0.99495
random_1,400,6,0.9871,0.94721,0.99621,0.97592,0.94664,0.95755,0.0,0.99538,0.89463
random_1,400,7,0.99778,1.0,0.99512,0.99456,0.98443,0.99042,0.99538,0.0,0.99956
random_1,400,8,0.99732,0.76542,0.99902,0.99158,0.95533,0.99495,0.89463,0.99956,0.0
random_1,500,0,0.0,0.0,0.76333,0.69523,0.0,0.77176,0.93553,0.86427,0.0
random_1,500,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,500,2,0.76333,0.0,0.0,0.78028,0.0,0.82645,0.91415,0.86195,0.0
random_1,500,3,0.69523,0.0,0.78028,0.0,0.0,0.78423,0.96911,0.86361,0.0
random_1,500,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,500,5,0.77176,0.0,0.82645,0.78423,0.0,0.0,0.98817,0.86374,0.0
random_1,500,6,0.93553,0.0,0.91415,0.96911,0.0,0.98817,0.0,1.0,0.0
random_1,500,7,0.86427,0.0,0.86195,0.86361,0.0,0.86374,1.0,0.0,0.0
random_1,500,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,600,0,0.0,0.0,0.83802,0.8781,0.0,0.84251,0.0,0.99781,0.0
random_1,600,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,600,2,0.83802,0.0,0.0,0.96794,0.0,0.91919,0.0,0.99371,0.0
random_1,600,3,0.8781,0.0,0.96794,0.0,0.0,0.9347,0.0,1.0,0.0
random_1,600,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,600,5,0.84251,0.0,0.91919,0.9347,0.0,0.0,0.0,0.9941,0.0
random_1,600,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,600,7,0.99781,0.0,0.99371,1.0,0.0,0.9941,0.0,0.0,0.0
random_1,600,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,0,0,0.0,0.65599,0.85251,0.80188,0.8511,0.88921,0.97725,0.99303,0.97733
random_2,0,1,0.65599,0.0,0.85677,0.80952,0.84951,0.88932,0.97701,0.99535,0.97663
random_2,0,2,0.85251,0.85677,0.0,0.86971,0.85976,0.89899,0.97909,0.99579,0.97879
random_2,0,3,0.80188,0.80952,0.86971,0.0,0.86199,0.88425,0.98055,0.99077,0.98119
random_2,0,4,0.8511,0.84951,0.85976,0.86199,0.0,0.89896,0.97571,0.99124,0.98085
random_2,0,5,0.88921,0.88932,0.89899,0.88425,0.89896,0.0,0.98339,0.99482,0.98116
random_2,0,6,0.97725,0.97701,0.97909,0.98055,0.97571,0.98339,0.0,0.98627,0.97966
random_2,0,7,0.99303,0.99535,0.99579,0.99077,0.99124,0.99482,0.98627,0.0,1.0
random_2,0,8,0.97733,0.97663,0.97879,0.98119,0.98085,0.98116,0.97966,1.0,0.0
random_2,100,0,0.0,0.98039,0.96648,0.66884,0.98853,0.87859,0.99277,0.97889,0.995
random_2,100,1,0.98039,0.0,0.98177,0.98029,0.84429,0.97875,0.89067,0.97927,0.976
random_2,100,2,0.96648,0.98177,0.0,0.96598,0.98446,0.96768,0.99182,0.9791,0.99924
random_2,100,3,0.66884,0.98029,0.96598,0.0,0.98587,0.85991,0.99244,0.95665,0.99757
random_2,100,4,0.98853,0.84429,0.98446,0.98587,0.0,0.98173,0.92954,0.97891,0.99099
random_2,100,5,0.87859,0.97875,0.96768,0.85991,0.98173,0.0,0.99249,0.95735,1.0
random_2,100,6,0.99277,0.89067,0.99182,0.99244,0.92954,0.99249,0.0,0.98933,0.97401
random_2,100,7,0.97889,0.97927,0.9791,0.95665,0.97891,0.95735,0.98933,0.0,0.99878
random_2,100,8,0.995,0.976,0.99924,0.99757,0.99099,1.0,0.97401,0.99878,0.0
random_2,200,0,0.0,0.97746,0.98619,0.85216,0.99,0.95575,0.99694,0.99384,0.99874
random_2,200,1,0.97746,0.0,0.99466,0.98167,0.81304,0.98966,0.93125,0.98296,0.98689
random_2,200,2,0.98619,0.99466,0.0,0.9882,0.98818,0.98841,0.99165,0.98991,0.99726
random_2,200,3,0.85216,0.98167,0.9882,0.0,0.98511,0.88724,0.99795,0.97847,1.0
random_2,200,4,0.99,0.81304,0.98818,0.98511,0.0,0.96219,0.91253,0.94599,0.96298
random_2,200,5,0.95575,0.98966,0.98841,0.88724,0.96219,0.0,0.99404,0.96796,0.99603
random_2,200,6,0.99694,0.93125,0.99165,0.99795,0.91253,0.99404,0.0,0.94616,0.93019
random_2,200,7,0.99384,0.98296,0.98991,0.97847,0.94599,0.96796,0.94616,0.0,0.97139
random_2,200,8,0.99874,0.98689,0.99726,1.0,0.96298,0.99603,0.93019,0.97139,0.0
random_2,300,0,0.0,0.98898,0.96214,0.80076,0.96294,0.92661,0.98724,0.99333,1.0
random_2,300,1,0.98898,0.0,0.9945,0.96509,0.8102,0.96435,0.89378,0.99508,0.96142
random_2,300,2,0.96214,0.9945,0.0,0.95961,0.99415,0.97455,0.99154,0.9926,0.99893
random_2,300,3,0.80076,0.96509,0.95961,0.0,0.97376,0.90019,0.9923,0.99025,0.99992
random_2,300,4,0.96294,0.8102,0.99415,0.97376,0.0,0.94715,0.93724,0.96936,0.9741
random_2,300,5,0.92661,0.96435,0.97455,0.90019,0.94715,0.0,0.95748,0.97839,0.9979
random_2,300,6,0.98724,0.89378,0.99154,0.9923,0.93724,0.95748,0.0,0.96992,0.95315
random_2,300,7,0.99333,0.99508,0.9926,0.99025,0.96936,0.97839,0.96992,0.0,0.98885
random_2,300,8,1.0,0.96142,0.99893,0.99992,0.9741,0.9979,0.95315,0.98885,0.0
random_2,400,0,0.0,0.95075,0.88939,0.81566,0.93815,0.90698,0.94387,0.94991,0.98034
random_2,400,1,0.95075,0.0,0.95017,0.95079,0.90892,0.95058,0.78497,0.95209,0.99641
random_2,400,2,0.88939,0.95017,0.0,0.9005,0.93343,0.94308,0.94419,0.94653,0.98699
random_2,400,3,0.81566,0.95079,0.9005,0.0,0.93887,0.85788,0.94108,0.9481,0.99616
random_2,400,4,0.93815,0.90892,0.93343,0.93887,0.0,0.89639,0.88822,0.94354,0.99698
random_2,400,5,0.90698,0.95058,0.94308,0.85788,0.89639,0.0,0.943,0.94908,1.0
random_2,400,6,0.94387,0.78497,0.94419,0.94108,0.88822,0.943,0.0,0.94907,0.99795
random_2,400,7,0.94991,0.95209,0.94653,0.9481,0.94354,0.94908,0.94907,0.0,0.99978
random_2,400,8,0.98034,0.99641,0.98699,0.99616,0.99698,1.0,0.99795,0.99978,0.0
random_2,500,0,0.0,0.0,0.90777,0.81035,0.99593,0.92018,0.97976,0.99948,0.0
random_2,500,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,500,2,0.90777,0.0,0.0,0.92583,0.99649,0.97379,0.99192,0.99581,0.0
random_2,500,3,0.81035,0.0,0.92583,0.0,0.99685,0.94342,0.98738,0.99525,0.0
random_2,500,4,0.99593,0.0,0.99649,0.99685,0.0,0.9977,0.84431,0.99435,0.0
random_2,500,5,0.92018,0.0,0.97379,0.94342,0.9977,0.0,0.99913,0.99937,0.0
random_2,500,6,0.97976,0.0,0.99192,0.98738,0.84431,0.99913,0.0,1.0,0.0
