filename,r,type_id,0,1,2,3,4,5,6,7,8
random_1,1,0,0.0,0.1578,0.10508,0.09466,0.12512,0.14328,0.21828,0.16667,0.0
random_1,1,1,0.1578,0.0,0.21678,0.19052,0.27841,0.25,0.08182,0.57273,0.0
random_1,1,2,0.10508,0.21678,0.0,0.13261,0.19071,0.09081,0.30769,0.22222,0.0
random_1,1,3,0.09466,0.19052,0.13261,0.0,0.19856,0.1256,0.25,0.35526,0.0
random_1,1,4,0.12512,0.27841,0.19071,0.19856,0.0,0.25,0.45,0.45,0.0
random_1,1,5,0.14328,0.25,0.09081,0.1256,0.25,0.0,0.4,0.4,0.0
random_1,1,6,0.21828,0.08182,0.30769,0.25,0.45,0.4,0.0,1.0,0.0
random_1,1,7,0.16667,0.57273,0.22222,0.35526,0.45,0.4,1.0,0.0,0.0
random_1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,0.0,0.11706,0.09192,0.08722,0.13707,0.07926,0.20782,0.23011,0.0
random_1,2,1,0.11706,0.0,0.12648,0.12711,0.07609,0.15565,0.06522,0.2668,0.0
random_1,2,2,0.09192,0.12648,0.0,0.1112,0.1481,0.0837,0.22324,0.22324,0.0
random_1,2,3,0.08722,0.12711,0.1112,0.0,0.15625,0.08203,0.22222,0.30833,0.0
random_1,2,4,0.13707,0.07609,0.1481,0.15625,0.0,0.18229,0.225,0.525,0.0
random_1,2,5,0.07926,0.15565,0.0837,0.08203,0.18229,0.0,0.3125,0.22222,0.0
random_1,2,6,0.20782,0.06522,0.22324,0.22222,0.225,0.3125,0.0,1.0,0.0
random_1,2,7,0.23011,0.2668,0.22324,0.30833,0.525,0.22222,1.0,0.0,0.0
random_1,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,3,0,0.0,0.16349,0.12886,0.1131,0.15356,0.10522,0.25149,0.34166,0.20663
random_1,3,1,0.16349,0.0,0.18265,0.19532,0.08559,0.1608,0.11231,0.36,0.24393
random_1,3,2,0.12886,0.18265,0.0,0.14268,0.21072,0.13477,0.31015,0.33806,0.23509
random_1,3,3,0.1131,0.19532,0.14268,0.0,0.20657,0.09358,0.25962,0.32537,0.26208
random_1,3,4,0.15356,0.08559,0.21072,0.20657,0.0,0.16534,0.1625,0.6,0.31111
random_1,3,5,0.10522,0.1608,0.13477,0.09358,0.16534,0.0,0.20455,0.27273,0.24126
random_1,3,6,0.25149,0.11231,0.31015,0.25962,0.1625,0.20455,0.0,1.0,0.5
random_1,3,7,0.34166,0.36,0.33806,0.32537,0.6,0.27273,1.0,0.0,0.75
random_1,3,8,0.20663,0.24393,0.23509,0.26208,0.31111,0.24126,0.5,0.75,0.0
random_1,4,0,0.0,0.3592,0.29532,0.18257,0.2668,0.1857,0.40783,0.47825,0.48129
random_1,4,1,0.3592,0.0,0.43254,0.42592,0.17972,0.36128,0.33471,0.593,0.50837
random_1,4,2,0.29532,0.43254,0.0,0.32955,0.42144,0.32085,0.51933,0.39132,0.53667
random_1,4,3,0.18257,0.42592,0.32955,0.0,0.3422,0.21632,0.38948,0.49085,0.60894
random_1,4,4,0.2668,0.17972,0.42144,0.3422,0.0,0.27858,0.21212,0.62413,0.5524
random_1,4,5,0.1857,0.36128,0.32085,0.21632,0.27858,0.0,0.37069,0.49149,0.54255
random_1,4,6,0.40783,0.33471,0.51933,0.38948,0.21212,0.37069,0.0,0.875,0.75
random_1,4,7,0.47825,0.593,0.39132,0.49085,0.62413,0.49149,0.875,0.0,1.0
random_1,4,8,0.48129,0.50837,0.53667,0.60894,0.5524,0.54255,0.75,1.0,0.0
random_1,5,0,0.0,0.59433,0.47613,0.20744,0.38606,0.27508,0.52131,0.4384,0.51443
random_1,5,1,0.59433,0.0,0.70576,0.65707,0.30051,0.5872,0.43032,0.75075,0.96671
random_1,5,2,0.47613,0.70576,0.0,0.56683,0.56759,0.50977,0.84119,0.53253,0.75487
random_1,5,3,0.20744,0.65707,0.56683,0.0,0.45453,0.29557,0.62963,0.45819,0.57414
random_1,5,4,0.38606,0.30051,0.56759,0.45453,0.0,0.39602,0.33675,0.59743,0.75933
random_1,5,5,0.27508,0.5872,0.50977,0.29557,0.39602,0.0,0.68004,0.45497,0.59065
random_1,5,6,0.52131,0.43032,0.84119,0.62963,0.33675,0.68004,0.0,0.70958,1.0
random_1,5,7,0.4384,0.75075,0.53253,0.45819,0.59743,0.45497,0.70958,0.0,0.87562
random_1,5,8,0.51443,0.96671,0.75487,0.57414,0.75933,0.59065,1.0,0.87562,0.0
random_2,1,0,0.0,0.32755,0.12422,0.29762,0.19883,0.27302,0.44689,0.0,0.0
random_2,1,1,0.32755,0.0,0.27205,0.48478,0.3935,0.67702,0.15652,0.0,0.0
random_2,1,2,0.12422,0.27205,0.0,0.31429,0.194,0.30612,0.38095,0.0,0.0
random_2,1,3,0.29762,0.48478,0.31429,0.0,0.29495,0.44286,0.8,0.0,0.0
random_2,1,4,0.19883,0.3935,0.194,0.29495,0.0,0.28333,0.5,0.0,0.0
random_2,1,5,0.27302,0.67702,0.30612,0.44286,0.28333,0.0,1.0,0.0,0.0
random_2,1,6,0.44689,0.15652,0.38095,0.8,0.5,1.0,0.0,0.0,0.0
random_2,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,2,0,0.0,0.23513,0.12361,0.17016,0.22437,0.14722,0.29136,0.39886,0.0
random_2,2,1,0.23513,0.0,0.19281,0.2343,0.29412,0.28652,0.34758,0.36364,0.0
random_2,2,2,0.12361,0.19281,0.0,0.1838,0.21436,0.17199,0.20663,0.33333,0.0
random_2,2,3,0.17016,0.2343,0.1838,0.0,0.28227,0.125,0.36364,0.55072,0.0
random_2,2,4,0.22437,0.29412,0.21436,0.28227,0.0,0.24487,0.44103,0.5,0.0
random_2,2,5,0.14722,0.28652,0.17199,0.125,0.24487,0.0,0.34848,0.58333,0.0
random_2,2,6,0.29136,0.34758,0.20663,0.36364,0.44103,0.34848,0.0,1.0,0.0
random_2,2,7,0.39886,0.36364,0.33333,0.55072,0.5,0.58333,1.0,0.0,0.0
random_2,2,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,3,0,0.0,0.20313,0.11893,0.17223,0.21363,0.11545,0.21589,0.34953,0.331
random_2,3,1,0.20313,0.0,0.17584,0.26846,0.21996,0.19143,0.27304,0.37336,0.41651
random_2,3,2,0.11893,0.17584,0.0,0.1909,0.22319,0.1251,0.16123,0.34002,0.32553
random_2,3,3,0.17223,0.26846,0.1909,0.0,0.17942,0.12367,0.33156,0.38,0.40667
random_2,3,4,0.21363,0.21996,0.22319,0.17942,0.0,0.21561,0.33333,0.36364,0.50505
random_2,3,5,0.11545,0.19143,0.1251,0.12367,0.21561,0.0,0.22768,0.34615,0.35165
random_2,3,6,0.21589,0.27304,0.16123,0.33156,0.33333,0.22768,0.0,0.57143,0.52381
random_2,3,7,0.34953,0.37336,0.34002,0.38,0.36364,0.34615,0.57143,0.0,1.0
random_2,3,8,0.331,0.41651,0.32553,0.40667,0.50505,0.35165,0.52381,1.0,0.0
random_2,4,0,0.0,0.3513,0.21315,0.29195,0.34378,0.15526,0.35116,0.46616,0.50775
random_2,4,1,0.3513,0.0,0.29186,0.44751,0.43522,0.30641,0.41164,0.57888,0.44595
random_2,4,2,0.21315,0.29186,0.0,0.28661,0.37953,0.16145,0.22381,0.49362,0.3898
random_2,4,3,0.29195,0.44751,0.28661,0.0,0.30461,0.20156,0.4788,0.46395,0.68895
random_2,4,4,0.34378,0.43522,0.37953,0.30461,0.0,0.32761,0.45606,0.57273,0.66182
random_2,4,5,0.15526,0.30641,0.16145,0.20156,0.32761,0.0,0.28086,0.4375,0.51333
random_2,4,6,0.35116,0.41164,0.22381,0.4788,0.45606,0.28086,0.0,0.655,0.57037
random_2,4,7,0.46616,0.57888,0.49362,0.46395,0.57273,0.4375,0.655,0.0,1.0
random_2,4,8,0.50775,0.44595,0.3898,0.68895,0.66182,0.51333,0.57037,1.0,0.0
random_2,5,0,0.0,0.55755,0.32531,0.43332,0.52083,0.28185,0.58723,0.62408,0.57616
random_2,5,1,0.55755,0.0,0.46974,0.65186,0.66108,0.51664,0.65397,0.86137,0.85728
random_2,5,2,0.32531,0.46974,0.0,0.4151,0.5843,0.3367,0.37028,0.70275,0.44739
random_2,5,3,0.43332,0.65186,0.4151,0.0,0.4396,0.32556,0.70344,0.62197,0.78322
random_2,5,4,0.52083,0.66108,0.5843,0.4396,0.0,0.51066,0.73658,0.78872,0.82569
random_2,5,5,0.28185,0.51664,0.3367,0.32556,0.51066,0.0,0.48822,0.60012,0.52288
random_2,5,6,0.58723,0.65397,0.37028,0.70344,0.73658,0.48822,0.0,0.89991,0.44077
random_2,5,7,0.62408,0.86137,0.70275,0.62197,0.78872,0.60012,0.89991,0.0,1.0
random_2,5,8,0.57616,0.85728,0.44739,0.78322,0.82569,0.52288,0.44077,1.0,0.0
random_3,1,0,0.0,0.36874,0.21411,0.14384,0.44,0.38769,0.0,0.0,0.0
random_3,1,1,0.36874,0.0,0.27802,0.4142,0.75,0.68571,0.0,0.0,0.0
random_3,1,2,0.21411,0.27802,0.0,0.23529,0.45385,0.50833,0.0,0.0,0.0
random_3,1,3,0.14384,0.4142,0.23529,0.0,0.46,0.33333,0.0,0.0,0.0
random_3,1,4,0.44,0.75,0.45385,0.46,0.0,1.0,0.0,0.0,0.0
random_3,1,5,0.38769,0.68571,0.50833,0.33333,1.0,0.0,0.0,0.0,0.0
random_3,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_3,2,0,0.0,0.14416,0.07817,0.07187,0.15905,0.09449,0.21014,0.22928,0.22779
random_3,2,1,0.14416,0.0,0.11202,0.13474,0.17245,0.13527,0.15495,0.225,0.19286
random_3,2,2,0.07817,0.11202,0.0,0.08992,0.14675,0.11073,0.21221,0.24101,0.26321
random_3,2,3,0.07187,0.13474,0.08992,0.0,0.19935,0.10233,0.20629,0.27692,0.2
