filename,r,sample_time,type_id,0,1,2,3,4,5,6,7,8
random_1,1,0,0,0.0,0.42857,0.5,0.75,0.42857,0.0,0.0,0.0,0.0
random_1,1,0,1,0.42857,0.0,0.6,0.75,0.33333,0.0,0.0,0.0,0.0
random_1,1,0,2,0.5,0.6,0.0,1.0,0.6,0.0,0.0,0.0,0.0
random_1,1,0,3,0.75,0.75,1.0,0.0,0.75,0.0,0.0,0.0,0.0
random_1,1,0,4,0.42857,0.33333,0.6,0.75,0.0,0.0,0.0,0.0,0.0
random_1,1,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,100,0,0.0,0.0,0.27273,0.20455,0.0,0.34091,0.0,0.25,0.0
random_1,1,100,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,100,2,0.27273,0.0,0.0,0.2,0.0,0.5,0.0,0.66667,0.0
random_1,1,100,3,0.20455,0.0,0.2,0.0,0.0,0.5,0.0,0.5,0.0
random_1,1,100,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,100,5,0.34091,0.0,0.5,0.5,0.0,0.0,0.0,1.0,0.0
random_1,1,100,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,100,7,0.25,0.0,0.66667,0.5,0.0,1.0,0.0,0.0,0.0
random_1,1,100,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,200,0,0.0,0.0,0.0,0.875,0.0,1.0,0.0,0.0,0.0
random_1,1,200,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,200,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,200,3,0.875,0.0,0.0,0.0,0.0,0.875,0.0,0.0,0.0
random_1,1,200,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,200,5,1.0,0.0,0.0,0.875,0.0,0.0,0.0,0.0,0.0
random_1,1,200,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,200,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,200,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0
random_1,1,300,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,300,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
