filename,r,sample_time,sample_id,0,1,2,3,4,5,6,7,8
random_1,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,1,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,3,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,4,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,5,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
random_1,1,0,6,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,7,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
random_1,1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,9,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,11,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,12,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,13,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
random_1,1,0,14,1.6,0.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,0,15,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0
random_1,2,0,0,1.23077,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
random_1,2,0,1,1.23077,0.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,2,1.23077,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
random_1,2,0,3,1.23077,0.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,4,0.61538,0.61538,0.61538,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,5,1.84615,0.61538,0.0,0.0,0.61538,0.0,0.0,0.0,0.0
random_1,2,0,6,0.61538,0.61538,0.61538,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,7,1.84615,0.61538,0.0,0.0,0.61538,0.0,0.0,0.0,0.0
random_1,2,0,8,1.23077,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
random_1,2,0,9,1.23077,0.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,10,1.23077,0.0,0.0,0.0,0.0,0.61538,0.0,0.0,0.0
random_1,2,0,11,1.23077,0.61538,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,12,0.61538,0.61538,0.61538,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,13,1.84615,0.61538,0.0,0.0,0.61538,0.0,0.0,0.0,0.0
random_1,2,0,14,0.61538,0.61538,0.61538,0.0,0.0,0.0,0.0,0.0,0.0
random_1,2,0,15,1.84615,0.61538,0.0,0.0,0.61538,0.0,0.0,0.0,0.0
random_1,3,0,0,1.92,0.0,0.0,0.32,0.0,0.64,0.0,0.0,0.0
random_1,3,0,1,0.64,0.96,0.32,0.32,0.0,0.0,0.0,0.0,0.0
random_1,3,0,2,1.92,0.0,0.0,0.32,0.0,0.64,0.0,0.0,0.0
random_1,3,0,3,0.64,0.96,0.32,0.32,0.0,0.0,0.0,0.0,0.0
random_1,3,0,4,1.28,0.96,0.32,0.0,0.0,0.32,0.0,0.0,0.0
random_1,3,0,5,2.24,0.64,0.0,0.0,0.32,0.0,0.0,0.0,0.32
random_1,3,0,6,1.28,0.96,0.32,0.0,0.0,0.32,0.0,0.0,0.0
random_1,3,0,7,2.24,0.64,0.0,0.0,0.32,0.0,0.0,0.0,0.32
random_1,3,0,8,1.92,0.0,0.0,0.32,0.0,0.64,0.0,0.0,0.0
random_1,3,0,9,0.64,0.96,0.32,0.32,0.0,0.0,0.0,0.0,0.0
random_1,3,0,10,1.92,0.0,0.0,0.32,0.0,0.64,0.0,0.0,0.0
random_1,3,0,11,0.64,0.96,0.32,0.32,0.0,0.0,0.0,0.0,0.0
random_1,3,0,12,1.28,0.96,0.32,0.0,0.0,0.32,0.0,0.0,0.0
random_1,3,0,13,2.24,0.64,0.0,0.0,0.32,0.0,0.0,0.0,0.32
random_1,3,0,14,1.28,0.96,0.32,0.0,0.0,0.32,0.0,0.0,0.0
random_1,3,0,15,2.24,0.64,0.0,0.0,0.32,0.0,0.0,0.0,0.32
random_1,4,0,0,1.36585,0.58537,0.19512,0.19512,0.0,0.39024,0.0,0.0,0.0
random_1,4,0,1,1.17073,0.58537,0.19512,0.39024,0.0,0.0,0.0,0.0,0.0
random_1,4,0,2,1.36585,0.58537,0.19512,0.19512,0.0,0.39024,0.0,0.0,0.0
random_1,4,0,3,1.17073,0.58537,0.19512,0.39024,0.0,0.0,0.0,0.0,0.0
random_1,4,0,4,1.95122,0.97561,0.19512,0.19512,0.19512,0.19512,0.0,0.19512,0.0
random_1,4,0,5,2.14634,1.17073,0.0,0.19512,0.19512,0.19512,0.0,0.0,0.19512
random_1,4,0,6,1.95122,0.97561,0.19512,0.19512,0.19512,0.19512,0.0,0.19512,0.0
random_1,4,0,7,2.14634,1.17073,0.0,0.19512,0.19512,0.19512,0.0,0.0,0.19512
random_1,4,0,8,1.36585,0.58537,0.19512,0.19512,0.0,0.39024,0.0,0.0,0.0
random_1,4,0,9,1.17073,0.58537,0.19512,0.39024,0.0,0.0,0.0,0.0,0.0
random_1,4,0,10,1.36585,0.58537,0.19512,0.19512,0.0,0.39024,0.0,0.0,0.0
random_1,4,0,11,1.17073,0.58537,0.19512,0.39024,0.0,0.0,0.0,0.0,0.0
random_1,4,0,12,1.95122,0.97561,0.19512,0.19512,0.19512,0.19512,0.0,0.19512,0.0
random_1,4,0,13,2.14634,1.17073,0.0,0.19512,0.19512,0.19512,0.0,0.0,0.19512
random_1,4,0,14,1.95122,0.97561,0.19512,0.19512,0.19512,0.19512,0.0,0.19512,0.0
random_1,4,0,15,2.14634,1.17073,0.0,0.19512,0.19512,0.19512,0.0,0.0,0.19512
random_1,5,0,0,1.44262,0.91803,0.2623,0.2623,0.0,0.2623,0.0,0.0,0.0
random_1,5,0,1,1.83607,0.65574,0.13115,0.39344,0.13115,0.0,0.0,0.0,0.0
random_1,5,0,2,1.44262,0.91803,0.2623,0.2623,0.0,0.2623,0.0,0.0,0.0
random_1,5,0,3,1.83607,0.65574,0.13115,0.39344,0.13115,0.0,0.0,0.0,0.0
random_1,5,0,4,1.83607,0.91803,0.2623,0.13115,0.2623,0.13115,0.0,0.13115,0.0
random_1,5,0,5,2.09836,1.04918,0.0,0.2623,0.2623,0.13115,0.0,0.0,0.2623
random_1,5,0,6,1.83607,0.91803,0.2623,0.13115,0.2623,0.13115,0.0,0.13115,0.0
random_1,5,0,7,2.09836,1.04918,0.0,0.2623,0.2623,0.13115,0.0,0.0,0.2623
random_1,5,0,8,1.44262,0.91803,0.2623,0.2623,0.0,0.2623,0.0,0.0,0.0
random_1,5,0,9,1.83607,0.65574,0.13115,0.39344,0.13115,0.0,0.0,0.0,0.0
random_1,5,0,10,1.44262,0.91803,0.2623,0.2623,0.0,0.2623,0.0,0.0,0.0
random_1,5,0,11,1.83607,0.65574,0.13115,0.39344,0.13115,0.0,0.0,0.0,0.0
random_1,5,0,12,1.83607,0.91803,0.2623,0.13115,0.2623,0.13115,0.0,0.13115,0.0
random_1,5,0,13,2.09836,1.04918,0.0,0.2623,0.2623,0.13115,0.0,0.0,0.2623
random_1,5,0,14,1.83607,0.91803,0.2623,0.13115,0.2623,0.13115,0.0,0.13115,0.0
random_1,5,0,15,2.09836,1.04918,0.0,0.2623,0.2623,0.13115,0.0,0.0,0.2623
random_1,1,100,0,3.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,100,1,4.8,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
random_1,1,100,2,3.2,0.0,1.6,1.6,0.0,1.6,0.0,0.0,0.0
random_1,1,100,3,12.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,1,100,4,0.0,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
random_1,1,100,5,3.2,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
