filename,r,sample_time,shannon,simpson
clustered_13,3,500,0.34112,0.14118
clustered_13,3,600,0.58686,0.30538
clustered_13,4,0,1.45395,0.71181
clustered_13,4,100,1.00831,0.54836
clustered_13,4,200,1.49769,0.69348
clustered_13,4,300,0.73779,0.33105
clustered_13,4,400,0.51185,0.23224
clustered_13,4,500,0.32861,0.1344
clustered_13,4,600,0.64745,0.33296
clustered_13,5,0,1.4876,0.73469
clustered_13,5,100,1.03314,0.55293
clustered_13,5,200,1.51411,0.69831
clustered_13,5,300,0.75531,0.33411
clustered_13,5,400,0.46725,0.21111
clustered_13,5,500,0.35905,0.15085
clustered_13,5,600,0.59379,0.30105
clustered_14,1,0,1.0114,0.61111
clustered_14,1,100,1.15429,0.6082
clustered_14,1,200,1.43226,0.69547
clustered_14,1,300,1.13119,0.53551
clustered_14,1,400,0.67301,0.48
clustered_14,1,500,0.50925,0.24529
clustered_14,1,600,0.44376,0.21453
clustered_14,2,0,1.28687,0.64889
clustered_14,2,100,1.17357,0.62673
clustered_14,2,200,1.3946,0.67687
clustered_14,2,300,1.01941,0.49298
clustered_14,2,400,1.09515,0.60631
clustered_14,2,500,0.47348,0.21498
clustered_14,2,600,0.59383,0.31487
clustered_14,3,0,1.29658,0.67776
clustered_14,3,100,1.13191,0.61114
clustered_14,3,200,1.42934,0.69038
clustered_14,3,300,0.93043,0.43086
clustered_14,3,400,1.08802,0.59466
clustered_14,3,500,0.45792,0.20174
clustered_14,3,600,0.64612,0.35666
clustered_14,4,0,1.45395,0.71181
clustered_14,4,100,1.1578,0.61436
clustered_14,4,200,1.45381,0.69984
clustered_14,4,300,0.95083,0.43737
clustered_14,4,400,1.02829,0.55096
clustered_14,4,500,0.47183,0.20735
clustered_14,4,600,0.77334,0.43255
clustered_14,5,0,1.4876,0.73469
clustered_14,5,100,1.17316,0.62006
clustered_14,5,200,1.43983,0.69567
clustered_14,5,300,0.97649,0.44983
clustered_14,5,400,0.92799,0.49596
clustered_14,5,500,0.48026,0.21156
clustered_14,5,600,0.79598,0.44777
clustered_15,1,0,1.0114,0.61111
clustered_15,1,100,1.14402,0.62564
clustered_15,1,200,1.45189,0.70891
clustered_15,1,300,0.70384,0.3904
clustered_15,1,400,0.28394,0.12279
clustered_15,1,500,0.97059,0.49861
clustered_15,1,600,0.56609,0.29167
clustered_15,2,0,1.28687,0.64889
clustered_15,2,100,1.09619,0.61012
clustered_15,2,200,1.62166,0.75193
clustered_15,2,300,0.51461,0.26502
clustered_15,2,400,0.44349,0.1984
clustered_15,2,500,1.02414,0.55309
clustered_15,2,600,0.77285,0.39079
clustered_15,3,0,1.29658,0.67776
clustered_15,3,100,1.05928,0.59909
clustered_15,3,200,1.57252,0.74701
clustered_15,3,300,0.56628,0.29424
clustered_15,3,400,0.45679,0.20115
clustered_15,3,500,0.94892,0.49417
clustered_15,3,600,0.79884,0.40074
clustered_15,4,0,1.45395,0.71181
clustered_15,4,100,1.19933,0.63522
clustered_15,4,200,1.50211,0.72627
clustered_15,4,300,0.60321,0.28366
clustered_15,4,400,0.5098,0.22211
clustered_15,4,500,0.93569,0.48032
clustered_15,4,600,0.78258,0.38949
clustered_15,5,0,1.4876,0.73469
clustered_15,5,100,1.20196,0.63293
clustered_15,5,200,1.58328,0.73871
clustered_15,5,300,0.58516,0.27077
clustered_15,5,400,0.5297,0.23426
clustered_15,5,500,0.90244,0.4589
clustered_15,5,600,0.73681,0.36535
clustered_16,1,0,1.0114,0.61111
clustered_16,1,100,0.83515,0.50657
clustered_16,1,200,1.04549,0.63455
clustered_16,1,300,0.93648,0.55263
clustered_16,1,400,0.17884,0.08318
clustered_16,1,500,0.74807,0.43384
clustered_16,1,600,1.0114,0.61111
clustered_16,2,0,1.28687,0.64889
clustered_16,2,100,1.0244,0.56856
clustered_16,2,200,1.21285,0.66355
clustered_16,2,300,0.96318,0.52623
clustered_16,2,400,0.26153,0.1109
clustered_16,2,500,0.63096,0.32939
clustered_16,2,600,1.13844,0.6405
clustered_16,3,0,1.29658,0.67776
clustered_16,3,100,1.04491,0.57638
clustered_16,3,200,1.33499,0.68186
clustered_16,3,300,1.08283,0.54722
clustered_16,3,400,0.46856,0.21267
clustered_16,3,500,0.67563,0.3548
clustered_16,3,600,1.21784,0.68993
clustered_16,4,0,1.45395,0.71181
clustered_16,4,100,1.07913,0.58266
clustered_16,4,200,1.3634,0.69473
clustered_16,4,300,1.10591,0.53864
clustered_16,4,400,0.52748,0.22945
clustered_16,4,500,0.69354,0.36664
clustered_16,4,600,1.16238,0.6712
clustered_16,5,0,1.4876,0.73469
clustered_16,5,100,1.07572,0.57903
clustered_16,5,200,1.3116,0.67951
clustered_16,5,300,1.15829,0.55937
clustered_16,5,400,0.51735,0.22551
clustered_16,5,500,0.69048,0.35157
clustered_16,5,600,1.16771,0.67358
clustered_17,1,0,1.0114,0.61111
clustered_17,1,100,1.28744,0.6487
clustered_17,1,200,1.12964,0.58689
clustered_17,1,300,0.71778,0.35743
clustered_17,1,400,0.59402,0.322
clustered_17,1,500,0.60192,0.32031
clustered_17,1,600,0.98992,0.54459
clustered_17,2,0,1.28687,0.64889
clustered_17,2,100,1.154,0.60466
clustered_17,2,200,1.40215,0.65765
clustered_17,2,300,0.60379,0.28277
clustered_17,2,400,0.68188,0.37531
clustered_17,2,500,0.89246,0.45878
clustered_17,2,600,0.90427,0.47014
clustered_17,3,0,1.29658,0.67776
clustered_17,3,100,1.115,0.58503
clustered_17,3,200,1.39955,0.66525
clustered_17,3,300,0.51051,0.22615
