filename,sample_time,r,sample_id,mae,mdae,mser,mdser
random_1,0,1,0,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,1,0.04764309764309764,0.05,-0.02569023569023569,-0.05
random_1,0,1,2,0.04571268237934904,0.05,-0.03527497194163861,-0.05
random_1,0,1,3,0.046835016835016834,0.05,-0.020572390572390575,-0.05
random_1,0,1,4,0.03981818181818182,0.05,-0.03618181818181818,-0.05
random_1,0,1,5,0.03760942760942761,0.05,-0.02643097643097643,-0.05
random_1,0,1,6,0.04410293410293411,0.05,-0.027508417508417506,-0.05
random_1,0,1,7,0.03885521885521885,0.05,-0.03380471380471381,-0.05
random_1,0,1,8,0.04603441825664048,0.05,-0.025158997381219603,-0.05
random_1,0,1,9,0.0394949494949495,0.05,-0.029393939393939392,-0.05
random_1,0,1,10,0.042715029078665444,0.05,-0.029675543311906947,-0.05
random_1,0,1,11,0.03983164983164983,0.05,-0.029393939393939392,-0.05
random_1,0,1,12,0.04233359233359233,0.05,-0.029746179746179744,-0.05
random_1,0,1,13,0.03928330928330928,0.05,-0.02918229918229918,-0.05
random_1,0,1,14,0.03851627384960718,0.05,-0.030570145903479236,-0.05
random_1,0,1,15,0.03986531986531986,0.05,-0.029764309764309764,-0.05
random_1,0,2,0,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,1,0.04173784259259259,0.05,-0.03575506481481481,-0.05
random_1,0,2,2,0.029841195847362514,0.02264977777777778,-0.0295563810325477,-0.02264977777777778
random_1,0,2,3,0.035987996632996636,0.05,-0.028684410774410776,-0.05
random_1,0,2,4,0.03454295824915825,0.02762254545454545,-0.03454295824915825,-0.02762254545454545
random_1,0,2,5,0.0403392702020202,0.05,-0.034874489057239055,-0.05
random_1,0,2,6,0.033128089826839825,0.028022142857142857,-0.033128089826839825,-0.028022142857142857
random_1,0,2,7,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_1,0,2,8,0.03132908370744482,0.025136161616161612,-0.03132908370744482,-0.025136161616161612
random_1,0,2,9,0.03278694688552189,0.03881127272727272,-0.03278694688552189,-0.03881127272727272
random_1,0,2,10,0.033772552953780226,0.039828429752066116,-0.033772552953780226,-0.039828429752066116
random_1,0,2,11,0.03280672194163861,0.03135212121212121,-0.0325219071268238,-0.03135212121212121
random_1,0,2,12,0.03339220966070966,0.024179860139860135,-0.03339220966070966,-0.024179860139860135
random_1,0,2,13,0.03299858868446368,0.02602415584415584,-0.03299858868446368,-0.02602415584415584
random_1,0,2,14,0.03204966964085297,0.020163393939393936,-0.03204966964085297,-0.020163393939393936
random_1,0,2,15,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_1,0,3,0,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,1,0.03269360269360269,0.03,-0.026026936026936027,-0.02090909090909091
random_1,0,3,2,0.031090909090909096,0.030606060606060602,-0.01696745230078563,-0.02333333333333333
random_1,0,3,3,0.027151515151515152,0.028666666666666667,-0.018262626262626265,-0.02090909090909091
random_1,0,3,4,0.03134680134680135,0.026727272727272728,-0.014013468013468014,-0.026727272727272728
