filename,r,mae,mdae,mser,mdser
random_1,1,0.019253573046030467,0.014437331910826613,-0.005024247362879157,-0.004555782776641677
random_1,2,0.021058544101713178,0.018461459614596148,-0.014854182446693906,-0.018461459614596148
random_1,3,0.018471781567511922,0.015126416739319975,-0.011566038346208167,-0.015126416739319975
random_1,4,0.014465565512355604,0.012119626736848061,-0.009505855749219423,-0.008489861148585546
random_1,5,0.013347496961381761,0.012319653149201483,-0.00483704979633246,-0.004633621136962704
random_2,1,0.022605359615651896,0.020436692288200022,-0.022523813110159496,-0.020436692288200022
random_2,2,0.02147031362123499,0.020761574856172162,-0.019086726667206066,-0.020761574856172162
random_2,3,0.01355402916094715,0.017433435631763205,-0.011448457837151422,-0.017433435631763205
random_2,4,0.0131729423124824,0.016106742211778977,-0.008669322161130146,-0.012247310579676499
random_2,5,0.01164152638635369,0.014474885844748866,-0.008881999066806355,-0.014474885844748866
random_3,1,0.028568045192041383,0.02424174125829094,-0.01749264076884958,-0.016961262079788545
random_3,2,0.01599150311477014,0.013674361946465765,0.0014989542652088423,0.00011595512172210533
random_3,3,0.018786037020408135,0.01861319897579912,0.005042499114181387,0.0018175929818979256
random_3,4,0.01293989945379056,0.008546845124282982,0.005859747232329613,0.0026601118169111825
random_3,5,0.013565741053144668,0.013325254784986319,0.0033937557261237935,0.0012910932830308675
random_4,1,0.03420236552383916,0.04103641456582633,-0.023754097778361665,-0.03111205900592767
random_4,2,0.030562221204883017,0.029013406765450604,-0.028330808381887,-0.029013406765450604
random_4,3,0.023667558973438158,0.021316526610644263,-0.020131526518451622,-0.021316526610644263
random_4,4,0.02315969238887143,0.02548151395241708,-0.019557863423181398,-0.02548151395241708
random_4,5,0.019926321293440297,0.018406610644257713,-0.015567539445981616,-0.018406610644257713
random_5,1,0.02405325332997854,0.01638372972518698,-0.018919422292108003,-0.015718421269815073
random_5,2,0.020344421014894698,0.011695246996983094,-0.016049854460597108,-0.0094676541665873
random_5,3,0.015559714475469182,0.010220746841471248,-0.008798688260199557,-0.007338479802436514
random_5,4,0.012448467560565156,0.008493671559242712,-0.0061955198244055916,-0.00736564841559991
random_5,5,0.010168524845584604,0.007594610727381253,-0.0026875195496520146,-0.004665762603701339
random_6,1,0.02268269278665324,0.01792010126269643,-0.01759819164195828,-0.005228981137826853
random_6,2,0.021383119779396727,0.020183377752166918,-0.01644325411428767,-0.0025034924824796907
random_6,3,0.014632608458567654,0.011466061610122676,-0.010645804302744859,-0.003990633807596541
random_6,4,0.012225315014719747,0.004229938475570619,-0.00888907017209025,-0.0013274022167261946
random_6,5,0.014572558110833859,0.009416508532568943,-0.003568914422244273,-0.0035537467886383855
random_7,1,0.023310975411256,0.015672602445827074,-0.02166718784409348,-0.015672602445827074
random_7,2,0.025937022271244455,0.02359440034327397,-0.025761536816830244,-0.02359440034327397
random_7,3,0.023501145795130598,0.01949327817993794,-0.018183024313862782,-0.019105342201244355
random_7,4,0.021848148184248635,0.022228864218616563,-0.012791024323351625,-0.01337025316455695
random_7,5,0.018562870695670128,0.015866695365188713,-0.012417517391192573,-0.012718032611027675
random_8,1,0.028835255032111422,0.02604395933462095,-0.027055840450463046,-0.02604395933462095
random_8,2,0.027447629656511065,0.03066841014042031,-0.024345020321453886,-0.03066841014042031
random_8,3,0.019619423402394573,0.022705561241896967,-0.016618240848067,-0.022705561241896967
