filename,r,mser
clustered_14,5,0.0029409633152021
clustered_15,1,0.0010298082203474
clustered_15,2,0.0023592628758382
clustered_15,3,0.000588659164373
clustered_15,4,0.0085323003307356
clustered_15,5,0.0050020360218619
clustered_16,1,-0.0107314457226253
clustered_16,2,-0.0088070104561537
clustered_16,3,-0.0092187233705634
clustered_16,4,0.0006984350951521
clustered_16,5,-0.0029682165816792
clustered_17,1,-0.0130550337521439
clustered_17,2,-0.0034039255695713
clustered_17,3,-0.0030796557969495
clustered_17,4,0.0064062739347912
clustered_17,5,0.0054918997977521
clustered_18,1,-0.0112771983577675
clustered_18,2,-0.011545361382434
clustered_18,3,-0.0126098335513653
clustered_18,4,-0.0021389415818738
clustered_18,5,-0.0022372705688834
clustered_19,1,-0.0039454592740235
clustered_19,2,-0.0054034877571217
clustered_19,3,-0.0048476636630344
clustered_19,4,0.0044534521748226
clustered_19,5,0.0002280480811384
clustered_20,1,-0.0111530451350595
clustered_20,2,0.0015888724772951
clustered_20,3,-0.0012954320977401
clustered_20,4,0.0031076814808757
clustered_20,5,-0.0012853636567603
