filename,sample_time,r,sample_id,mae,mdae,mser,mdser
random_1,0,1,0,0.05,0.05,-0.05,-0.05
random_1,0,1,1,0.05074074074074074,0.05,-0.038148148148148146,-0.05
random_1,0,1,2,0.05,0.05,-0.05,-0.05
random_1,0,1,3,0.05074074074074074,0.05,-0.038148148148148146,-0.05
random_1,0,1,4,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,5,0.07121212121212121,0.05,-0.01767676767676768,-0.05
random_1,0,1,6,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,7,0.07121212121212121,0.05,-0.01767676767676768,-0.05
random_1,0,1,8,0.05,0.05,-0.05,-0.05
random_1,0,1,9,0.05074074074074074,0.05,-0.038148148148148146,-0.05
random_1,0,1,10,0.05,0.05,-0.05,-0.05
random_1,0,1,11,0.05074074074074074,0.05,-0.038148148148148146,-0.05
random_1,0,1,12,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,13,0.07121212121212121,0.05,-0.01767676767676768,-0.05
random_1,0,1,14,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,15,0.07121212121212121,0.05,-0.01767676767676768,-0.05
random_1,0,2,0,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,1,0.042022824074074074,0.05,-0.042022824074074074,-0.05
random_1,0,2,2,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,3,0.042022824074074074,0.05,-0.042022824074074074,-0.05
random_1,0,2,4,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,5,0.04163424326599327,0.05,-0.027881515993265993,-0.05
random_1,0,2,6,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,7,0.04163424326599327,0.05,-0.027881515993265993,-0.05
random_1,0,2,8,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,9,0.042022824074074074,0.05,-0.042022824074074074,-0.05
random_1,0,2,10,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,11,0.042022824074074074,0.05,-0.042022824074074074,-0.05
random_1,0,2,12,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,13,0.04163424326599327,0.05,-0.027881515993265993,-0.05
random_1,0,2,14,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,15,0.04163424326599327,0.05,-0.027881515993265993,-0.05
random_1,0,3,0,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,1,0.03483501683501684,0.05,-0.029905723905723904,-0.05
random_1,0,3,2,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,3,0.03483501683501684,0.05,-0.029905723905723904,-0.05
random_1,0,3,4,0.03557575757575757,0.05,-0.023979797979797983,-0.05
random_1,0,3,5,0.06016835016835017,0.05,0.0029831649831649825,-0.05
random_1,0,3,6,0.03557575757575757,0.05,-0.023979797979797983,-0.05
random_1,0,3,7,0.06016835016835017,0.05,0.0029831649831649825,-0.05
random_1,0,3,8,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,9,0.03483501683501684,0.05,-0.029905723905723904,-0.05
random_1,0,3,10,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,11,0.03483501683501684,0.05,-0.029905723905723904,-0.05
random_1,0,3,12,0.03557575757575757,0.05,-0.023979797979797983,-0.05
random_1,0,3,13,0.06016835016835017,0.05,0.0029831649831649825,-0.05
random_1,0,3,14,0.03557575757575757,0.05,-0.023979797979797983,-0.05
random_1,0,3,15,0.06016835016835017,0.05,0.0029831649831649825,-0.05
random_1,0,4,0,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,1,0.03314030218855219,0.05,-0.03268874663299663,-0.05
random_1,0,4,2,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,3,0.03314030218855219,0.05,-0.03268874663299663,-0.05
random_1,0,4,4,0.05675015993265994,0.015040666666666667,0.02220109932659932,-0.014523636363636369
random_1,0,4,5,0.040728311447811444,0.028048666666666666,-0.0014333855218855286,-0.014523636363636369
random_1,0,4,6,0.05675015993265994,0.015040666666666667,0.02220109932659932,-0.014523636363636369
random_1,0,4,7,0.040728311447811444,0.028048666666666666,-0.0014333855218855286,-0.014523636363636369
random_1,0,4,8,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,9,0.03314030218855219,0.05,-0.03268874663299663,-0.05
random_1,0,4,10,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,11,0.03314030218855219,0.05,-0.03268874663299663,-0.05
random_1,0,4,12,0.05675015993265994,0.015040666666666667,0.02220109932659932,-0.014523636363636369
random_1,0,4,13,0.040728311447811444,0.028048666666666666,-0.0014333855218855286,-0.014523636363636369
random_1,0,4,14,0.05675015993265994,0.015040666666666667,0.02220109932659932,-0.014523636363636369
random_1,0,4,15,0.040728311447811444,0.028048666666666666,-0.0014333855218855286,-0.014523636363636369
random_1,0,5,0,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,1,0.029461111952861954,0.026154545454545458,-0.028914741582491583,-0.026154545454545458
random_1,0,5,2,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,3,0.029461111952861954,0.026154545454545458,-0.028914741582491583,-0.026154545454545458
random_1,0,5,4,0.04243825168350169,0.017212500000000006,0.007228859427609418,-0.004098249999999996
random_1,0,5,5,0.046583621212121215,0.01994533333333334,0.005572897306397302,-0.015026666666666673
random_1,0,5,6,0.04243825168350169,0.017212500000000006,0.007228859427609418,-0.004098249999999996
random_1,0,5,7,0.046583621212121215,0.01994533333333334,0.005572897306397302,-0.015026666666666673
random_1,0,5,8,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,9,0.029461111952861954,0.026154545454545458,-0.028914741582491583,-0.026154545454545458
random_1,0,5,10,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,11,0.029461111952861954,0.026154545454545458,-0.028914741582491583,-0.026154545454545458
random_1,0,5,12,0.04243825168350169,0.017212500000000006,0.007228859427609418,-0.004098249999999996
random_1,0,5,13,0.046583621212121215,0.01994533333333334,0.005572897306397302,-0.015026666666666673
random_1,0,5,14,0.04243825168350169,0.017212500000000006,0.007228859427609418,-0.004098249999999996
random_1,0,5,15,0.046583621212121215,0.01994533333333334,0.005572897306397302,-0.015026666666666673
random_1,100,1,0,0.04538732723292434,0.049999999999999996,-0.043501561655964555,-0.049999999999999996
random_1,100,1,1,0.051518176559299494,0.049999999999999996,-0.026259601218478288,-0.049999999999999996
random_1,100,1,2,0.24596302676292364,0.05,0.19040747120736812,-0.049999999999999996
random_1,100,1,3,0.0648826422650307,0.05,-0.02400624662385821,-0.049999999999999996
random_1,100,1,4,0.06687437141982597,0.049999999999999996,-0.022014517469062925,-0.049999999999999996
random_1,100,1,5,0.04826895738728177,0.049999999999999996,-0.02950882039049601,-0.049999999999999996
random_1,100,1,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,7,0.05476739573131721,0.05,-0.023010382046460567,-0.049999999999999996
random_1,100,1,8,0.05838420392099524,0.05,-0.03050468496789365,-0.049999999999999996
random_1,100,1,9,0.04538732723292434,0.049999999999999996,-0.043501561655964555,-0.049999999999999996
random_1,100,1,10,0.058016614903334936,0.05,-0.019761162874442836,-0.049999999999999996
random_1,100,1,11,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,12,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,13,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,14,0.19337733465734622,0.05,0.12671066799067954,-0.049999999999999996
random_1,100,1,15,0.051885765576959786,0.05,-0.0370031233119291,-0.049999999999999996
random_1,100,2,0,0.04500119814956968,0.049999999999999996,-0.04500119814956968,-0.049999999999999996
random_1,100,2,1,0.05350229278302532,0.049999999999999996,-0.024623029705933535,-0.049999999999999996
random_1,100,2,2,0.13454298733571626,0.05,0.07898743178016071,-0.049999999999999996
random_1,100,2,3,0.08230467939290503,0.05,0.015638012726238357,-0.049999999999999996
random_1,100,2,4,0.045903451509439,0.049999999999999996,-0.035487254911424224,-0.049999999999999996
random_1,100,2,5,0.0729487253170771,0.049999999999999996,-0.004829052460700671,-0.049999999999999996
random_1,100,2,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,7,0.04978872564199902,0.049999999999999996,-0.02798905213577875,-0.049999999999999996
random_1,100,2,8,0.05263558382376235,0.05,-0.036253305065126536,-0.049999999999999996
random_1,100,2,9,0.08984198242991592,0.049999999999999996,0.019214842408982732,-0.049999999999999996
random_1,100,2,10,0.04728932471678386,0.049999999999999996,-0.03048845306099391,-0.049999999999999996
random_1,100,2,11,0.0583886737656372,0.049999999999999996,-0.020502611422391053,-0.049999999999999996
random_1,100,2,12,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,13,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,14,0.0910916727387136,0.049999999999999996,0.01796515210018506,-0.049999999999999996
random_1,100,2,15,0.05314307346421937,0.049999999999999996,-0.013871137913628366,-0.049999999999999996
random_1,100,3,0,0.06105462507729574,0.049999999999999996,-0.016723152700482035,-0.049999999999999996
random_1,100,3,1,0.053069362231551065,0.049999999999999996,-0.024708415546226707,-0.049999999999999996
random_1,100,3,2,0.09356520130938585,0.05,0.0380096457538303,-0.049999999999999996
random_1,100,3,3,0.058596674770198934,0.049999999999999996,-0.008069991896467725,-0.049999999999999996
random_1,100,3,4,0.13203362232671106,0.05,0.07316508167288696,-0.049999999999999996
random_1,100,3,5,0.053216210059065634,0.049999999999999996,-0.024561567718712145,-0.049999999999999996
random_1,100,3,6,0.04720145174690629,0.049999999999999996,-0.04720145174690629,-0.049999999999999996
random_1,100,3,7,0.0502184888904924,0.049999999999999996,-0.02755928888728538,-0.049999999999999996
random_1,100,3,8,0.049936234073749156,0.049999999999999996,-0.03895265481513974,-0.049999999999999996
random_1,100,3,9,0.06408501914001258,0.049999999999999996,-0.012708334898653455,-0.049999999999999996
random_1,100,3,10,0.04052315646240419,0.049999999999999996,-0.03725462131537358,-0.049999999999999996
random_1,100,3,11,0.04636573293074739,0.049999999999999996,-0.03141204484703038,-0.049999999999999996
random_1,100,3,12,0.04655160791250275,0.049999999999999996,-0.04655160791250275,-0.049999999999999996
random_1,100,3,13,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,3,14,0.06331908429139323,0.049999999999999996,-0.011859318148770382,-0.049999999999999996
random_1,100,3,15,0.04616656001526786,0.049999999999999996,-0.026014121256322496,-0.049999999999999996
random_1,100,4,0,0.05638623309206127,0.049999999999999996,-0.01456588549642096,-0.049999999999999996
random_1,100,4,1,0.06005284090150852,0.05,-0.017724936876269255,-0.049999999999999996
random_1,100,4,2,0.08549256126910616,0.05,0.02993700571355061,-0.049999999999999996
