filename,sample_time,r,mae,mdae,mser,mdser
random_1,0,1,0.03121212121212121,0.03,-0.025420875420875417,-0.03
random_1,0,2,0.028986544753086423,0.024359166666666668,-0.028986544753086423,-0.024359166666666668
random_1,0,3,0.014792368125701456,0.0053333333333333375,-0.012570145903479239,-0.0053333333333333375
random_1,0,4,0.011134499579124579,0.013143888888888879,-0.007340585998877664,-0.008610606060606053
random_1,0,5,0.010334690025252525,0.011748333333333335,-0.0025421961980920367,-0.006283777777777785
random_1,100,1,0.06895962417950297,0.049999999999999996,0.019905462015018652,-0.018516332152695783
random_1,100,2,0.03631441758557704,0.049999999999999996,-0.008130026858867405,0.0024726485635576515
random_1,100,3,0.02739097943727052,0.026436163860026275,-0.01953256049367208,-0.008021776203594382
random_1,100,4,0.03157034783831081,0.03156246267765435,-0.016886321011285347,-0.018055009823182706
random_1,100,5,0.028410899709576228,0.028315717186193707,-0.017601615752841002,-0.0070563195808775415
random_1,200,1,0.04261926874739474,0.049999999999999996,-0.024047397919271924,-0.049999999999999996
random_1,200,2,0.04395887052420047,0.049999999999999996,-0.023083160319643834,-0.049999999999999996
random_1,200,3,0.03906710315861775,0.049999999999999996,-0.028243306638838672,-0.049999999999999996
random_1,200,4,0.03816517505288256,0.049999999999999996,-0.03145890765681015,-0.049999999999999996
random_1,200,5,0.030744388799961362,0.02890122265122265,-0.02275936281970412,-0.02890122265122265
random_1,300,1,0.048445885422004,0.049999999999999996,-0.014810164245108396,-0.049999999999999996
random_1,300,2,0.03472883038859155,0.049999999999999996,-0.014798644722457264,-0.01994112807856445
random_1,300,3,0.02852278936184638,0.023971336107258445,-0.0033093900708378635,0.001048058600374114
random_1,300,4,0.027582053068003137,0.013883027405007966,-0.000867235555843395,-0.00648134630981346
random_1,300,5,0.026984790874578685,0.02146431679721497,-0.006207091234214471,-0.008206660293180365
random_1,400,1,0.04472116960617934,0.05,-0.04472116960617934,-0.05
random_1,400,2,0.04212204059688447,0.049999999999999996,-0.04085771934109564,-0.049999999999999996
