filename,r,type_id,ae,ser
random_1,1,0,0.00816771691711102,0.00816771691711102
random_1,1,1,0.03104234151809632,-0.03104234151809632
random_1,1,2,0.020747375272377397,0.020747375272377397
random_1,1,3,0.0018876735642680712,0.0018876735642680712
random_1,1,4,0.01665777540677514,-0.01665777540677514
random_1,1,5,0.02999599919983997,-0.02999599919983997
random_1,1,6,0.015916837082481258,-0.015916837082481258
random_1,1,7,0.01150061500615006,0.01150061500615006
random_1,1,8,0.05000000000000001,-0.05000000000000001
random_1,2,0,0.0061710455334386275,0.0061710455334386275
random_1,2,1,0.03510019740692202,-0.03510019740692202
random_1,2,2,0.012039947505447558,0.012039947505447558
random_1,2,3,0.006893381208360135,-0.006893381208360135
random_1,2,4,0.026917011202987468,-0.026917011202987468
random_1,2,5,0.00896641828365673,-0.00896641828365673
random_1,2,6,0.03689118950238582,-0.03689118950238582
random_1,2,7,0.026346094710947118,-0.026346094710947118
random_1,2,8,0.05000000000000001,-0.05000000000000001
random_1,3,0,0.005790971494691413,0.005790971494691413
random_1,3,1,0.032690833560000986,-0.032690833560000986
random_1,3,2,0.01197470073860259,0.01197470073860259
random_1,3,3,0.010980469479670409,-0.010980469479670409
random_1,3,4,0.03132835422779408,-0.03132835422779408
random_1,3,5,0.002010402080416073,0.002010402080416073
random_1,3,6,0.0363667348329925,-0.0363667348329925
random_1,3,7,0.025399753997539982,-0.025399753997539982
random_1,3,8,0.006408020924149966,-0.006408020924149966
random_1,4,0,0.006787124919863045,0.006787124919863045
random_1,4,1,0.031303673870576885,-0.031303673870576885
random_1,4,2,0.01004894834026658,0.01004894834026658
random_1,4,3,0.009249211307361824,-0.009249211307361824
random_1,4,4,0.031295928914377165,-0.031295928914377165
random_1,4,5,0.0069022137760885545,-0.0069022137760885545
random_1,4,6,0.03337402010906612,-0.03337402010906612
random_1,4,7,0.005000000000000006,-0.005000000000000006
random_1,4,8,0.02341979075850045,-0.02341979075850045
random_1,5,0,0.007521769893515561,0.007521769893515561
random_1,5,1,0.030474837829595373,-0.030474837829595373
random_1,5,2,0.00972942666327079,0.00972942666327079
random_1,5,3,0.007639136796662594,-0.007639136796662594
random_1,5,4,0.02758944051747133,-0.02758944051747133
random_1,5,5,0.010647462825898516,-0.010647462825898516
random_1,5,6,0.027650178936605325,-0.027650178936605325
random_1,5,7,0.00041128536285360844,0.00041128536285360844
random_1,5,8,0.01784137968613777,-0.01784137968613777
random_2,1,0,0.021844468845904783,-0.021844468845904783
random_2,1,1,0.028923280741900512,-0.028923280741900512
random_2,1,2,0.013858109080443225,0.013858109080443225
random_2,1,3,0.02129482423600071,-0.02129482423600071
random_2,1,4,0.012101114227241715,-0.012101114227241715
random_2,1,5,0.006806565402058885,-0.006806565402058885
random_2,1,6,0.0035639656373345715,-0.0035639656373345715
random_2,1,7,0.06848341232227488,0.06848341232227488
random_2,1,8,0.05,-0.05
random_2,2,0,0.020355485577329177,-0.020355485577329177
random_2,2,1,0.03205007790858725,-0.03205007790858725
random_2,2,2,0.010883108181033245,0.010883108181033245
random_2,2,3,0.024522058823529418,-0.024522058823529418
random_2,2,4,0.02522005040551808,-0.02522005040551808
random_2,2,5,0.0001616154344539715,-0.0001616154344539715
random_2,2,6,0.003579782911539354,0.003579782911539354
random_2,2,7,0.04114040284360189,0.04114040284360189
random_2,2,8,0.05,-0.05
random_2,3,0,0.018184249795872402,-0.018184249795872402
random_2,3,1,0.028923280741900512,-0.028923280741900512
random_2,3,2,0.007922003165923154,0.007922003165923154
random_2,3,3,0.019528351881293055,-0.019528351881293055
random_2,3,4,0.0280186462518002,-0.0280186462518002
random_2,3,5,0.002487221942264782,-0.002487221942264782
