filename,sample_time,r,sample_id,mae,mdae,mser,mdser
random_1,0,1,0,0.05,0.05,-0.05,-0.05
random_1,0,1,1,0.05074074074074074,0.05,-0.038148148148148146,-0.05
random_1,0,1,2,0.05,0.05,-0.05,-0.05
random_1,0,1,3,0.05074074074074074,0.05,-0.038148148148148146,-0.05
random_1,0,1,4,0.05,0.05,-0.05,-0.05
random_1,0,1,5,0.052222222222222225,0.05,-0.03666666666666667,-0.05
random_1,0,1,6,0.10555555555555557,0.05,0.025555555555555547,-0.05
random_1,0,1,7,0.07195286195286195,0.05,-0.005824915824915827,-0.05
random_1,0,1,8,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,9,0.07121212121212121,0.05,-0.01767676767676768,-0.05
random_1,0,1,10,0.06676767676767677,0.05,-0.013232323232323233,-0.05
random_1,0,1,11,0.07121212121212121,0.05,-0.01767676767676768,-0.05
random_1,0,2,0,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,1,0.042022824074074074,0.05,-0.042022824074074074,-0.05
random_1,0,2,2,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,3,0.042022824074074074,0.05,-0.042022824074074074,-0.05
random_1,0,2,4,0.05,0.05,-0.05,-0.05
random_1,0,2,5,0.058339864478114484,0.05,-0.01032117255892256,-0.05
random_1,0,2,6,0.06670533585858586,0.05,0.006876280303030297,-0.05
random_1,0,2,7,0.04676243771043771,0.05,-0.03300971043771044,-0.05
random_1,0,2,8,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,9,0.04163424326599327,0.05,-0.027881515993265993,-0.05
random_1,0,2,10,0.04505304882154882,0.05,-0.03130032154882155,-0.05
random_1,0,2,11,0.04163424326599327,0.05,-0.027881515993265993,-0.05
random_1,0,3,0,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,1,0.03483501683501684,0.05,-0.029905723905723904,-0.05
random_1,0,3,2,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,3,0.03483501683501684,0.05,-0.029905723905723904,-0.05
random_1,0,3,4,0.0523973063973064,0.05,-0.009973063973063976,-0.05
random_1,0,3,5,0.08494949494949496,0.05,0.04050505050505051,0.014
random_1,0,3,6,0.04100336700336701,0.05,-0.0074410774410774445,-0.018
random_1,0,3,7,0.03883501683501683,0.05,-0.027831649831649836,-0.05
random_1,0,3,8,0.03557575757575757,0.05,-0.023979797979797983,-0.05
random_1,0,3,9,0.06016835016835017,0.05,0.0029831649831649825,-0.05
random_1,0,3,10,0.03557575757575757,0.05,-0.023979797979797983,-0.05
random_1,0,3,11,0.06016835016835017,0.05,0.0029831649831649825,-0.05
random_1,0,4,0,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,1,0.03314030218855219,0.05,-0.03268874663299663,-0.05
random_1,0,4,2,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,3,0.03314030218855219,0.05,-0.03268874663299663,-0.05
random_1,0,4,4,0.03285301515151515,0.036992,-0.01565665151515152,-0.023984000000000002
random_1,0,4,5,0.05038580134680134,0.05,0.013824993265993258,0.0020326666666666674
random_1,0,4,6,0.05101822727272727,0.05,0.012018419191919184,-0.0109755
random_1,0,4,7,0.030192271043771042,0.023984000000000002,-0.026036900673400674,-0.023984000000000002
random_1,0,4,8,0.05675015993265994,0.015040666666666667,0.02220109932659932,-0.014523636363636369
random_1,0,4,9,0.040728311447811444,0.028048666666666666,-0.0014333855218855286,-0.014523636363636369
random_1,0,4,10,0.05675015993265994,0.015040666666666667,0.02220109932659932,-0.014523636363636369
random_1,0,4,11,0.040728311447811444,0.028048666666666666,-0.0014333855218855286,-0.014523636363636369
random_1,0,5,0,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,1,0.029461111952861954,0.026154545454545458,-0.028914741582491583,-0.026154545454545458
random_1,0,5,2,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,3,0.029461111952861954,0.026154545454545458,-0.028914741582491583,-0.026154545454545458
random_1,0,5,4,0.03230918181818182,0.04125666666666667,-0.012344764309764313,-0.007376999999999998
random_1,0,5,5,0.059770718013468005,0.04836,0.05452188299663299,0.04836
random_1,0,5,6,0.05736402861952862,0.05,0.024836685185185177,-0.006284
random_1,0,5,7,0.02895872390572391,0.02868866666666668,-0.019851242424242427,-0.015026666666666673
random_1,0,5,8,0.04243825168350169,0.017212500000000006,0.007228859427609418,-0.004098249999999996
random_1,0,5,9,0.046583621212121215,0.01994533333333334,0.005572897306397302,-0.015026666666666673
random_1,0,5,10,0.04243825168350169,0.017212500000000006,0.007228859427609418,-0.004098249999999996
random_1,0,5,11,0.046583621212121215,0.01994533333333334,0.005572897306397302,-0.015026666666666673
random_1,100,1,0,0.04538732723292434,0.049999999999999996,-0.043501561655964555,-0.049999999999999996
random_1,100,1,1,0.051518176559299494,0.049999999999999996,-0.026259601218478288,-0.049999999999999996
random_1,100,1,2,0.24596302676292364,0.05,0.19040747120736812,-0.049999999999999996
random_1,100,1,3,0.0648826422650307,0.05,-0.02400624662385821,-0.049999999999999996
random_1,100,1,4,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,5,0.04675078082798227,0.049999999999999996,-0.04675078082798227,-0.049999999999999996
random_1,100,1,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,7,0.3881576075092774,0.05,0.29926871862038856,-0.049999999999999996
random_1,100,1,8,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,9,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,1,10,0.19337733465734622,0.05,0.12671066799067954,-0.049999999999999996
random_1,100,1,11,0.051885765576959786,0.05,-0.0370031233119291,-0.049999999999999996
random_1,100,2,0,0.04500119814956968,0.049999999999999996,-0.04500119814956968,-0.049999999999999996
random_1,100,2,1,0.05350229278302532,0.049999999999999996,-0.024623029705933535,-0.049999999999999996
random_1,100,2,2,0.13454298733571626,0.05,0.07898743178016071,-0.049999999999999996
random_1,100,2,3,0.08230467939290503,0.05,0.015638012726238357,-0.049999999999999996
random_1,100,2,4,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,5,0.059290927125506515,0.049999999999999996,-0.010988668184245598,-0.049999999999999996
random_1,100,2,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,7,0.1732220039292731,0.05,0.08433311504038417,-0.049999999999999996
random_1,100,2,8,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,9,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,2,10,0.0910916727387136,0.049999999999999996,0.01796515210018506,-0.049999999999999996
random_1,100,2,11,0.05314307346421937,0.049999999999999996,-0.013871137913628366,-0.049999999999999996
random_1,100,3,0,0.06105462507729574,0.049999999999999996,-0.016723152700482035,-0.049999999999999996
random_1,100,3,1,0.053069362231551065,0.049999999999999996,-0.024708415546226707,-0.049999999999999996
random_1,100,3,2,0.09356520130938585,0.05,0.0380096457538303,-0.049999999999999996
random_1,100,3,3,0.058596674770198934,0.049999999999999996,-0.008069991896467725,-0.049999999999999996
random_1,100,3,4,0.04967871802901596,0.049999999999999996,-0.03531110785345165,-0.049999999999999996
random_1,100,3,5,0.040915484252074544,0.049999999999999996,-0.026464792175246513,-0.049999999999999996
random_1,100,3,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,3,7,0.10529424052546937,0.049999999999999996,0.02330213581157497,-0.049999999999999996
random_1,100,3,8,0.04655160791250275,0.049999999999999996,-0.04655160791250275,-0.049999999999999996
random_1,100,3,9,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,3,10,0.06331908429139323,0.049999999999999996,-0.011859318148770382,-0.049999999999999996
random_1,100,3,11,0.04616656001526786,0.049999999999999996,-0.026014121256322496,-0.049999999999999996
random_1,100,4,0,0.05638623309206127,0.049999999999999996,-0.01456588549642096,-0.049999999999999996
random_1,100,4,1,0.06005284090150852,0.05,-0.017724936876269255,-0.049999999999999996
random_1,100,4,2,0.08549256126910616,0.05,0.02993700571355061,-0.049999999999999996
random_1,100,4,3,0.06344193702145226,0.049999999999999996,-0.0032247296452144114,-0.049999999999999996
random_1,100,4,4,0.05840193129489721,0.05,-0.011450919691850041,-0.049999999999999996
random_1,100,4,5,0.0367824342429891,0.049999999999999996,-0.03235789504954987,-0.049999999999999996
random_1,100,4,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,4,7,0.08463797116752207,0.049999999999999996,0.01876378905691052,-0.049999999999999996
random_1,100,4,8,0.04750110064662098,0.049999999999999996,-0.04750110064662098,-0.049999999999999996
random_1,100,4,9,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,4,10,0.06654697260185946,0.049999999999999996,0.0029703219128060896,-0.049999999999999996
random_1,100,4,11,0.03918516525390083,0.049999999999999996,-0.027481501412765834,-0.049999999999999996
random_1,100,5,0,0.046587000103280735,0.049999999999999996,-0.020079666563385928,-0.049999999999999996
random_1,100,5,1,0.060450525126037796,0.05,-0.017327252651739986,-0.049999999999999996
random_1,100,5,2,0.09335114564651731,0.05,0.04890670120207287,0.04587856855649376
random_1,100,5,3,0.06217594149132291,0.05,-0.004490725175343762,-0.049999999999999996
random_1,100,5,4,0.04782923635814167,0.049999999999999996,-0.02355663684920318,-0.049999999999999996
random_1,100,5,5,0.045784530580666456,0.049999999999999996,-0.025569553869810135,-0.049999999999999996
random_1,100,5,6,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,5,7,0.06412903250310037,0.049999999999999996,0.011236780672368446,-0.038015133238293676
random_1,100,5,8,0.04832036362138347,0.049999999999999996,-0.04832036362138347,-0.049999999999999996
random_1,100,5,9,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,100,5,10,0.05450550698711939,0.049999999999999996,-0.014396153345252571,-0.049999999999999996
random_1,100,5,11,0.04904414783425235,0.049999999999999996,-0.01762251883241431,-0.049999999999999996
random_1,200,1,0,0.06038527229032209,0.049999999999999996,-0.028503616598566792,-0.049999999999999996
random_1,200,1,1,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,200,1,2,0.05232412851478464,0.049999999999999996,-0.03656476037410425,-0.049999999999999996
random_1,200,1,3,0.05501117643996379,0.049999999999999996,-0.033877712448925096,-0.049999999999999996
random_1,200,1,4,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,200,1,5,0.22691463732978084,0.05,0.14913685955200304,-0.049999999999999996
random_1,200,1,6,0.04731295207482085,0.049999999999999996,-0.04731295207482085,-0.049999999999999996
random_1,200,1,7,0.05982362484953158,0.05,-0.029065264039357306,-0.049999999999999996
random_1,200,1,8,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,200,1,9,0.04963708058960549,0.049999999999999996,-0.0392518082992834,-0.049999999999999996
random_1,200,1,10,0.05,0.049999999999999996,-0.05,-0.049999999999999996
random_1,200,1,11,0.0657593681406804,0.049999999999999996,-0.023129520748208492,-0.049999999999999996
