filename,sample_time,r,type_id,ae,ser
random_1,0,1,0,0.03,-0.03
random_1,0,1,1,0.02333333333333333,-0.02333333333333333
random_1,0,1,2,0.0015151515151515117,-0.0015151515151515117
random_1,0,1,3,0.0033333333333333257,0.0033333333333333257
random_1,0,1,4,0.02272727272727274,0.02272727272727274
random_1,0,1,5,0.05,-0.05
random_1,0,1,6,0.05,-0.05
random_1,0,1,7,0.05,-0.05
random_1,0,1,8,0.05,-0.05
random_1,0,2,0,0.01923079166666667,-0.01923079166666667
random_1,0,2,1,0.012393388888888884,-0.012393388888888884
random_1,0,2,2,0.003380151515151521,-0.003380151515151521
random_1,0,2,3,0.029487222222222224,-0.029487222222222224
random_1,0,2,4,0.02202818181818182,-0.02202818181818182
random_1,0,2,5,0.024359166666666668,-0.024359166666666668
random_1,0,2,6,0.05,-0.05
random_1,0,2,7,0.05,-0.05
random_1,0,2,8,0.05,-0.05
random_1,0,3,0,0.0053333333333333375,-0.0053333333333333375
random_1,0,3,1,0.0019999999999999922,-0.0019999999999999922
random_1,0,3,2,0.0033333333333333197,0.0033333333333333197
random_1,0,3,3,0.021555555555555553,-0.021555555555555553
random_1,0,3,4,0.02090909090909091,-0.02090909090909091
random_1,0,3,5,0.0033333333333333214,0.0033333333333333214
random_1,0,3,6,0.02333333333333333,-0.02333333333333333
random_1,0,3,7,0.05,-0.05
random_1,0,3,8,0.0033333333333333357,0.0033333333333333357
random_1,0,4,0,0.0036585416666666732,-0.0036585416666666732
random_1,0,4,1,0.002032611111111108,0.002032611111111108
random_1,0,4,2,0.008610606060606053,-0.008610606060606053
random_1,0,4,3,0.013143888888888879,-0.013143888888888879
random_1,0,4,4,0.017479848484848487,-0.017479848484848487
random_1,0,4,5,0.005285000000000004,-0.005285000000000004
random_1,0,4,6,0.017479999999999996,-0.017479999999999996
random_1,0,4,7,0.015040000000000006,0.015040000000000006
random_1,0,4,8,0.017479999999999996,-0.017479999999999996
random_1,0,5,0,0.002185770833333339,-0.002185770833333339
random_1,0,5,1,0.003916222222222215,0.003916222222222215
random_1,0,5,2,0.008270757575757577,-0.008270757575757577
random_1,0,5,3,0.006283777777777785,-0.006283777777777785
random_1,0,5,4,0.012244848484848485,-0.012244848484848485
random_1,0,5,5,0.011748333333333335,-0.011748333333333335
random_1,0,5,6,0.017212500000000006,-0.017212500000000006
random_1,0,5,7,0.015574999999999988,0.015574999999999988
random_1,0,5,8,0.015574999999999988,0.015574999999999988
random_1,100,1,0,0.0036121163382924603,0.0036121163382924603
random_1,100,1,1,0.049999999999999996,-0.049999999999999996
random_1,100,1,2,0.18432923257176334,0.18432923257176334
random_1,100,1,3,0.018516332152695783,-0.018516332152695783
random_1,100,1,4,0.05,-0.05
random_1,100,1,5,0.002227397587483579,-0.002227397587483579
random_1,100,1,6,0.049999999999999996,-0.049999999999999996
random_1,100,1,7,0.21195153896529143,0.21195153896529143
random_1,100,1,8,0.05,-0.05
random_1,100,2,0,0.009985561282304345,0.009985561282304345
random_1,100,2,1,0.049999999999999996,-0.049999999999999996
random_1,100,2,2,0.040125951962507324,0.040125951962507324
random_1,100,2,3,0.0024726485635576515,0.0024726485635576515
random_1,100,2,4,0.05,-0.05
random_1,100,2,5,0.023495760181535884,0.023495760181535884
random_1,100,2,6,0.049999999999999996,-0.049999999999999996
random_1,100,2,7,0.050749836280288146,0.050749836280288146
random_1,100,2,8,0.05,-0.05
random_1,100,3,0,0.0065364135931084205,0.0065364135931084205
random_1,100,3,1,0.049999999999999996,-0.049999999999999996
random_1,100,3,2,0.003134153485647331,-0.003134153485647331
random_1,100,3,3,0.008021776203594382,-0.008021776203594382
random_1,100,3,4,0.05,-0.05
random_1,100,3,5,0.026436163860026275,0.026436163860026275
random_1,100,3,6,0.049999999999999996,-0.049999999999999996
random_1,100,3,7,0.002390307793058288,0.002390307793058288
random_1,100,3,8,0.05,-0.05
random_1,100,4,0,0.006762254633183459,0.006762254633183459
random_1,100,4,1,0.049999999999999996,-0.049999999999999996
random_1,100,4,2,0.02144112478031634,0.02144112478031634
random_1,100,4,3,0.006312278630460439,0.006312278630460439
random_1,100,4,4,0.05,-0.05
random_1,100,4,5,0.03156246267765435,0.03156246267765435
random_1,100,4,6,0.049999999999999996,-0.049999999999999996
random_1,100,4,7,0.018055009823182706,-0.018055009823182706
random_1,100,4,8,0.05,-0.05
random_1,100,5,0,0.005929195452717766,0.005929195452717766
random_1,100,5,1,0.049999999999999996,-0.049999999999999996
random_1,100,5,2,0.007623022847100167,0.007623022847100167
random_1,100,5,3,0.006773842319296869,0.006773842319296869
random_1,100,5,4,0.05,-0.05
random_1,100,5,5,0.028315717186193707,0.028315717186193707
random_1,100,5,6,0.049999999999999996,-0.049999999999999996
random_1,100,5,7,0.0070563195808775415,-0.0070563195808775415
random_1,100,5,8,0.05,-0.05
random_1,200,1,0,0.01851972209206833,0.01851972209206833
random_1,200,1,1,0.049999999999999996,-0.049999999999999996
random_1,200,1,2,0.049999999999999996,-0.049999999999999996
random_1,200,1,3,0.012804207881928098,0.012804207881928098
random_1,200,1,4,0.05,-0.05
random_1,200,1,5,0.05224948875255625,0.05224948875255625
random_1,200,1,6,0.05,-0.05
random_1,200,1,7,0.049999999999999996,-0.049999999999999996
random_1,200,1,8,0.05,-0.05
random_1,200,2,0,0.025960762382672573,0.025960762382672573
random_1,200,2,1,0.049999999999999996,-0.049999999999999996
random_1,200,2,2,0.049999999999999996,-0.049999999999999996
random_1,200,2,3,0.0016891387972994157,-0.0016891387972994157
random_1,200,2,4,0.05,-0.05
random_1,200,2,5,0.06797993353783231,0.06797993353783231
random_1,200,2,6,0.05,-0.05
random_1,200,2,7,0.049999999999999996,-0.049999999999999996
random_1,200,2,8,0.05,-0.05
random_1,200,3,0,0.01690749333696085,0.01690749333696085
random_1,200,3,1,0.049999999999999996,-0.049999999999999996
random_1,200,3,2,0.049999999999999996,-0.049999999999999996
random_1,200,3,3,0.0028968440885539224,-0.0028968440885539224
random_1,200,3,4,0.05,-0.05
random_1,200,3,5,0.031799591002045005,0.031799591002045005
random_1,200,3,6,0.05,-0.05
random_1,200,3,7,0.049999999999999996,-0.049999999999999996
random_1,200,3,8,0.05,-0.05
random_1,200,4,0,0.017831577515454725,0.017831577515454725
random_1,200,4,1,0.04968888718812184,-0.04968888718812184
random_1,200,4,2,0.049999999999999996,-0.049999999999999996
random_1,200,4,3,0.013619485005495365,-0.013619485005495365
random_1,200,4,4,0.05,-0.05
random_1,200,4,5,0.012346625766871172,0.012346625766871172
random_1,200,4,6,0.05,-0.05
random_1,200,4,7,0.049999999999999996,-0.049999999999999996
random_1,200,4,8,0.05,-0.05
random_1,200,5,0,0.01888315372097358,0.01888315372097358
random_1,200,5,1,0.04916355745191081,-0.04916355745191081
random_1,200,5,2,0.02890122265122265,-0.02890122265122265
random_1,200,5,3,0.008816729470874543,-0.008816729470874543
random_1,200,5,4,0.05,-0.05
random_1,200,5,5,0.01704946319018404,0.01704946319018404
random_1,200,5,6,0.05,-0.05
random_1,200,5,7,0.0038853727144866424,-0.0038853727144866424
random_1,200,5,8,0.05,-0.05
random_1,300,1,0,0.01709342382641781,-0.01709342382641781
random_1,300,1,1,0.01643240502788412,0.01643240502788412
random_1,300,1,2,0.05,-0.05
random_1,300,1,3,0.05,-0.05
random_1,300,1,4,0.017558799675587995,-0.017558799675587995
random_1,300,1,5,0.049999999999999996,-0.049999999999999996
random_1,300,1,6,0.13492834026814612,0.13492834026814612
random_1,300,1,7,0.049999999999999996,-0.049999999999999996
random_1,300,1,8,0.049999999999999996,-0.049999999999999996
random_1,300,2,0,0.01994112807856445,-0.01994112807856445
random_1,300,2,1,0.0029325099211552257,-0.0029325099211552257
random_1,300,2,2,0.05617322291235334,0.05617322291235334
random_1,300,2,3,0.05,-0.05
random_1,300,2,4,0.012386861313868605,0.012386861313868605
random_1,300,2,5,0.049999999999999996,-0.049999999999999996
random_1,300,2,6,0.021125751271382342,0.021125751271382342
random_1,300,2,7,0.049999999999999996,-0.049999999999999996
random_1,300,2,8,0.049999999999999996,-0.049999999999999996
random_1,300,3,0,0.01873875263509692,-0.01873875263509692
random_1,300,3,1,0.001048058600374114,0.001048058600374114
random_1,300,3,2,0.06042097998619738,0.06042097998619738
random_1,300,3,3,0.05,-0.05
random_1,300,3,4,0.008394160583941606,0.008394160583941606
random_1,300,3,5,0.02450605481198215,-0.02450605481198215
random_1,300,3,6,0.023971336107258445,0.023971336107258445
random_1,300,3,7,0.049999999999999996,-0.049999999999999996
random_1,300,3,8,0.01962576153176676,0.01962576153176676
random_1,300,4,0,0.013883027405007966,-0.013883027405007966
random_1,300,4,1,0.00011173318648275205,-0.00011173318648275205
random_1,300,4,2,0.06782694962042786,0.06782694962042786
random_1,300,4,3,0.05,-0.05
random_1,300,4,4,0.00648134630981346,-0.00648134630981346
random_1,300,4,5,0.012180528999362646,0.012180528999362646
random_1,300,4,6,0.04020920018492833,0.04020920018492833
random_1,300,4,7,0.049999999999999996,-0.049999999999999996
random_1,300,4,8,0.007545691906005214,-0.007545691906005214
random_1,300,5,0,0.012238315594632112,-0.012238315594632112
random_1,300,5,1,0.0007270633380535266,0.0007270633380535266
random_1,300,5,2,0.0518236714975845,0.0518236714975845
random_1,300,5,3,0.05,-0.05
random_1,300,5,4,0.0074541768045417655,-0.0074541768045417655
random_1,300,5,5,0.008206660293180365,-0.008206660293180365
random_1,300,5,6,0.040948913546000935,0.040948913546000935
random_1,300,5,7,0.049999999999999996,-0.049999999999999996
random_1,300,5,8,0.02146431679721497,-0.02146431679721497
random_1,400,1,0,0.04385985110138921,-0.04385985110138921
random_1,400,1,1,0.05,-0.05
random_1,400,1,2,0.008630675354224833,-0.008630675354224833
random_1,400,1,3,0.05000000000000001,-0.05000000000000001
random_1,400,1,4,0.05,-0.05
random_1,400,1,5,0.049999999999999996,-0.049999999999999996
random_1,400,1,6,0.05,-0.05
random_1,400,1,7,0.049999999999999996,-0.049999999999999996
random_1,400,1,8,0.05,-0.05
random_1,400,2,0,0.042915227569268556,-0.042915227569268556
random_1,400,2,1,0.05,-0.05
random_1,400,2,2,0.005689445651049748,0.005689445651049748
random_1,400,2,3,0.03049369215164195,-0.03049369215164195
random_1,400,2,4,0.05,-0.05
random_1,400,2,5,0.049999999999999996,-0.049999999999999996
random_1,400,2,6,0.05,-0.05
random_1,400,2,7,0.049999999999999996,-0.049999999999999996
random_1,400,2,8,0.05,-0.05
random_1,400,3,0,0.04385985110138921,-0.04385985110138921
random_1,400,3,1,0.05,-0.05
random_1,400,3,2,0.02446478436239529,0.02446478436239529
random_1,400,3,3,0.02464181564599975,-0.02464181564599975
random_1,400,3,4,0.05,-0.05
random_1,400,3,5,0.004869684499314137,0.004869684499314137
random_1,400,3,6,0.05,-0.05
random_1,400,3,7,0.049999999999999996,-0.049999999999999996
random_1,400,3,8,0.05,-0.05
random_1,400,4,0,0.043635217591526596,-0.043635217591526596
random_1,400,4,1,0.05,-0.05
random_1,400,4,2,0.01810799979315339,0.01810799979315339
random_1,400,4,3,0.0005204767338658575,-0.0005204767338658575
random_1,400,4,4,0.05,-0.05
random_1,400,4,5,0.016543209876543202,-0.016543209876543202
random_1,400,4,6,0.05,-0.05
random_1,400,4,7,0.13689655172413795,0.13689655172413795
random_1,400,4,8,0.05,-0.05
random_1,400,5,0,0.044212142144447,-0.044212142144447
random_1,400,5,1,0.05,-0.05
random_1,400,5,2,0.01951429827283069,0.01951429827283069
random_1,400,5,3,0.00011506276150627961,-0.00011506276150627961
random_1,400,5,4,0.05,-0.05
random_1,400,5,5,0.00502400548696845,-0.00502400548696845
random_1,400,5,6,0.016111111111111114,-0.016111111111111114
random_1,400,5,7,0.07562260536398466,0.07562260536398466
random_1,400,5,8,0.05,-0.05
random_1,500,1,0,0.08825065786889753,0.08825065786889753
random_1,500,1,1,0.0,0.0
random_1,500,1,2,0.05974999596507369,0.05974999596507369
random_1,500,1,3,0.11004267804747932,0.11004267804747932
random_1,500,1,4,0.0,0.0
random_1,500,1,5,0.06106483409690407,0.06106483409690407
random_1,500,1,6,0.05,-0.05
random_1,500,1,7,0.05,-0.05
random_1,500,1,8,0.0,0.0
random_1,500,2,0,0.0696399984289698,0.0696399984289698
random_1,500,2,1,0.0,0.0
random_1,500,2,2,0.03938907180554882,0.03938907180554882
random_1,500,2,3,0.04575186716457723,0.04575186716457723
random_1,500,2,4,0.0,0.0
random_1,500,2,5,0.014075385256143274,0.014075385256143274
random_1,500,2,6,0.05,-0.05
random_1,500,2,7,0.05,-0.05
random_1,500,2,8,0.0,0.0
random_1,500,3,0,0.06751305918856289,0.06751305918856289
random_1,500,3,1,0.0,0.0
random_1,500,3,2,0.023597056117755297,0.023597056117755297
random_1,500,3,3,0.01757357517560238,0.01757357517560238
random_1,500,3,4,0.0,0.0
random_1,500,3,5,0.005532417048452039,0.005532417048452039
random_1,500,3,6,0.05,-0.05
random_1,500,3,7,0.05,-0.05
random_1,500,3,8,0.0,0.0
random_1,500,4,0,0.06763565845803388,0.06763565845803388
random_1,500,4,1,0.0,0.0
random_1,500,4,2,0.0271556997369228,0.0271556997369228
random_1,500,4,3,0.0063837023206188255,0.0063837023206188255
random_1,500,4,4,0.0,0.0
random_1,500,4,5,0.009366583368041099,-0.009366583368041099
random_1,500,4,6,0.05,-0.05
random_1,500,4,7,0.2511111111111112,0.2511111111111112
random_1,500,4,8,0.0,0.0
random_1,500,5,0,0.0610023172695495,0.0610023172695495
random_1,500,5,1,0.0,0.0
random_1,500,5,2,0.0320214577381817,0.0320214577381817
random_1,500,5,3,0.014133657864319377,0.014133657864319377
random_1,500,5,4,0.0,0.0
random_1,500,5,5,0.009033041788143828,-0.009033041788143828
random_1,500,5,6,0.05,-0.05
random_1,500,5,7,0.3547839506172839,0.3547839506172839
