filename,sample_time,r,mae,mdae,mser,mdser
random_1,0,1,0.03986531986531986,0.05,-0.029764309764309764,-0.05
random_1,0,2,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_1,0,3,0.02715151515151515,0.028666666666666667,-0.01826262626262626,-0.02090909090909091
random_1,0,4,0.02077287079124579,0.017479999999999996,-0.009029611531986536,-0.00853662500000001
random_1,0,5,0.018634466329966327,0.015574999999999988,-0.009708614478114481,-0.015027000000000006
random_1,100,1,0.047332471076049154,0.049999999999999996,-0.011372095188531437,-0.049999999999999996
random_1,100,2,0.03947807706743181,0.049999999999999996,-0.01607747848812374,-0.049999999999999996
random_1,100,3,0.0285487223235986,0.02165890361877462,-0.018275115266447237,-0.010707269155206285
random_1,100,4,0.02469104910752658,0.016420762967430638,-0.015649830469654315,-0.005492700729927017
random_1,100,5,0.02481593003012907,0.017547474023647435,-0.0148630677928445,-0.006782732864674868
random_1,200,1,0.04785285695659926,0.049999999999999996,-0.02992492082117852,-0.049999999999999996
random_1,200,2,0.040023304238526916,0.049999999999999996,-0.031239926065081334,-0.049999999999999996
random_1,200,3,0.034266148478664826,0.03862990335417851,-0.026232043122874495,-0.03862990335417851
random_1,200,4,0.03591355140046092,0.04306708357021035,-0.02826447901978684,-0.04306708357021035
random_1,200,5,0.031670254484167805,0.03647560496364928,-0.020610092162773413,-0.01857026457055214
random_1,300,1,0.10741753455608959,0.049999999999999996,0.0683409132259167,-0.00017569622908690527
random_1,300,2,0.042702261051255505,0.01469938244086642,0.011296829854092614,-0.010185041407867499
random_1,300,3,0.025610374578049114,0.01211180124223602,0.01280777155424351,0.005478502080443832
random_1,300,4,0.021360947031000624,0.018159268929503918,0.00165489739549723,0.013121765010351963
random_1,300,5,0.017480193782013313,0.018090632603406324,-0.007600457583035301,-0.007573757763975159
random_1,400,1,0.040535315458423885,0.049999999999999996,-0.040535315458423885,-0.049999999999999996
random_1,400,2,0.03697384413065148,0.049999999999999996,-0.0358839442644671,-0.049999999999999996
random_1,400,3,0.037927241007265224,0.049999999999999996,-0.033869599748258775,-0.049999999999999996
random_1,400,4,0.036242022684662686,0.04272591708917388,-0.03516096897348952,-0.04272591708917388
random_1,400,5,0.03336579635054908,0.03313400205761317,-0.032043464671988736,-0.03313400205761317
random_1,500,1,0.023180942311661807,0.011270177919170496,-0.0008969881802628554,0.0
random_1,500,2,0.015356988631930354,0.003775450689289503,-0.011695846492784727,0.0
random_1,500,3,0.013690166864434266,0.006166174405655359,-0.012014864187639772,0.0
random_1,500,4,0.014937171501222646,0.007712223259535886,-0.012209056741282387,0.0
random_1,500,5,0.016236089088691678,0.0062724226460389495,-0.011663289575118727,0.0
random_1,600,1,0.021218502467414208,0.02045062792415661,-0.016659414849065038,0.0
random_1,600,2,0.015465868031469321,0.011959575110753119,-0.008972343324884198,0.0
random_1,600,3,0.015084567343335905,0.012078305836000985,-0.010650841314822412,0.0
random_1,600,4,0.013982914628824165,0.010060299187392267,-0.010417552662903713,0.0
random_1,600,5,0.010844071090857048,0.009632002585570053,0.0015886562506750013,0.0
random_2,0,1,0.03986531986531986,0.05,-0.029764309764309764,-0.05
random_2,0,2,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_2,0,3,0.02715151515151515,0.028666666666666667,-0.01826262626262626,-0.02090909090909091
random_2,0,4,0.02077287079124579,0.017479999999999996,-0.009029611531986536,-0.00853662500000001
random_2,0,5,0.018634466329966327,0.015574999999999988,-0.009708614478114481,-0.015027000000000006
random_2,100,1,0.04901139085874446,0.049999999999999996,-0.012110500860509327,-0.029552032213413862
random_2,100,2,0.0392254805133196,0.027490960203996318,-0.0029798139897704665,-0.022998104465037913
random_2,100,3,0.03073146934659908,0.02893850042122999,-0.0029281043750925126,-0.013436928702010966
random_2,100,4,0.03483179083650481,0.031164481536085375,-0.003306740899690173,-0.021994335519692956
random_2,100,5,0.02680967022730248,0.02928364574557709,-0.015946113656025326,-0.02137801607524852
random_2,200,1,0.05366246518524174,0.05,-0.02176428779762097,-0.049999999999999996
random_2,200,2,0.048160398627756555,0.049999999999999996,-0.017761749616087445,-0.049999999999999996
random_2,200,3,0.04517917682239524,0.0491546378679967,-0.013574999455506003,-0.034886269175545985
random_2,200,4,0.056024040785133074,0.03869090909090908,-0.0011213293487351954,-0.03507343941248469
random_2,200,5,0.0434663516201684,0.041479339916839914,-0.013849997400000626,-0.03495104039167686
random_2,300,1,0.048634557374398854,0.049999999999999996,0.006308941096595613,-0.017477030652898615
random_2,300,2,0.04508271629995019,0.03749115781770876,-0.0017516180802747,-0.03186920568824639
random_2,300,3,0.03320307475523887,0.037255348202093766,-0.002774060036587933,-0.002286282306163016
random_2,300,4,0.02716247864723047,0.024734443746071658,0.0017520902455384758,0.015015708301599382
random_2,300,5,0.022590864081070514,0.020839094908862342,-0.0015858482868192697,0.0032264610389610288
random_2,400,1,0.041641776076544096,0.049999999999999996,-0.016807300836747835,-0.049999999999999996
random_2,400,2,0.044640870035941395,0.049999999999999996,-0.01387387637460185,-0.049999999999999996
random_2,400,3,0.04084849796713096,0.049999999999999996,-0.009532521936911469,-0.026105137395459978
random_2,400,4,0.034357906948037704,0.035429920848267626,-0.01463741436779356,-0.03284810126582278
random_2,400,5,0.032143864095908074,0.03286215651135006,-0.014081945381952347,-0.02694268635724332
random_2,500,1,0.027228215587721556,0.034964666967373326,-0.00589005551621903,0.0
random_2,500,2,0.018819075540143972,0.022359638878907656,-0.012757268451688106,-0.010853371501272266
random_2,500,3,0.021239829069623864,0.018212824010914053,-0.014001204324980381,-0.009287531806615776
random_2,500,4,0.025643322174692687,0.02808996586417535,-0.012868334380001805,-0.018969147582697205
random_2,500,5,0.02416435737720616,0.029383084800574923,-0.014157907945583102,-0.016628816793893136
random_2,600,1,0.1193905021249031,0.004165312533853319,0.09716827990268086,0.0
random_2,600,2,0.04857428449051816,0.006465591279453864,0.034024364283057565,0.0
random_2,600,3,0.026717060048636724,0.005248618784530385,0.010479278281231973,0.0
random_2,600,4,0.02215686434543261,0.009780021124471877,0.007232729595781703,0.0
random_2,600,5,0.015703402463542862,0.010381019120355323,0.0008391744563615315,0.0
random_3,0,1,0.03986531986531986,0.05,-0.029764309764309764,-0.05
random_3,0,2,0.03267299179292929,0.02202818181818182,-0.03267299179292929,-0.02202818181818182
random_3,0,3,0.02715151515151515,0.028666666666666667,-0.01826262626262626,-0.02090909090909091
random_3,0,4,0.02077287079124579,0.017479999999999996,-0.009029611531986536,-0.00853662500000001
random_3,0,5,0.018634466329966327,0.015574999999999988,-0.009708614478114481,-0.015027000000000006
random_3,100,1,0.043157889338702245,0.049999999999999996,-0.043157889338702245,-0.049999999999999996
random_3,100,2,0.03913596447630689,0.049999999999999996,-0.03913596447630689,-0.049999999999999996
random_3,100,3,0.03385634555385347,0.03733624454148472,-0.023797394115798856,-0.029919678714859434
random_3,100,4,0.029352543915909454,0.03775602409638554,-0.02862959389164939,-0.03775602409638554
random_3,100,5,0.023750724111935802,0.018725800183706634,-0.023750724111935802,-0.018725800183706634
random_3,200,1,0.037259276624317154,0.05,-0.03518226490760954,-0.05
random_3,200,2,0.036878675819635005,0.049999999999999996,-0.022399354762334917,-0.049999999999999996
random_3,200,3,0.028315818776660902,0.034375,-0.026233922949504798,-0.034375
random_3,200,4,0.025055549639797985,0.018406735751295342,-0.02170090158901418,-0.018406735751295342
