filename,r,mae_sh,mae_si,mdae_sh,mdae_si
random_1,1,0.022615714285714406,0.022857142857142798,0.022615714285714406,0.022857142857142798
random_1,2,0.027594285714285682,0.05048714285714284,0.027594285714285682,0.05048714285714284
random_1,3,0.008685714285714408,0.0395671428571428,0.008685714285714408,0.0395671428571428
random_1,4,0.0009142857142856453,0.04404714285714284,0.0009142857142856453,0.04404714285714284
random_1,5,0.009635714285714414,0.04155714285714285,0.009635714285714414,0.04155714285714285
random_2,1,0.3219485714285715,0.12374857142857132,0.3219485714285715,0.12374857142857132
random_2,2,0.2722685714285715,0.10469857142857142,0.2722685714285715,0.10469857142857142
random_2,3,0.2968485714285716,0.10997857142857137,0.2968485714285716,0.10997857142857137
random_2,4,0.3088385714285715,0.11628857142857141,0.3088385714285715,0.11628857142857141
random_2,5,0.28350857142857167,0.11059857142857132,0.28350857142857167,0.11059857142857132
random_3,1,0.05768285714285715,0.04803000000000013,0.05768285714285715,0.04803000000000013
random_3,2,0.07671285714285725,0.030930000000000124,0.07671285714285725,0.030930000000000124
random_3,3,0.11960285714285712,0.045500000000000096,0.11960285714285712,0.045500000000000096
random_3,4,0.12862285714285715,0.04710000000000014,0.12862285714285715,0.04710000000000014
random_3,5,0.10809285714285721,0.036740000000000106,0.10809285714285721,0.036740000000000106
random_4,1,0.034304285714285676,0.008842857142857041,0.034304285714285676,0.008842857142857041
random_4,2,0.002615714285714388,0.028182857142857065,0.002615714285714388,0.028182857142857065
random_4,3,0.02659428571428557,0.01405285714285709,0.02659428571428557,0.01405285714285709
random_4,4,0.020414285714285496,0.021942857142857042,0.020414285714285496,0.021942857142857042
random_4,5,0.029474285714285564,0.017022857142857117,0.029474285714285564,0.017022857142857117
random_5,1,0.18809714285714296,0.09446428571428578,0.18809714285714296,0.09446428571428578
random_5,2,0.172917142857143,0.07304428571428578,0.172917142857143,0.07304428571428578
random_5,3,0.18027714285714302,0.07537428571428573,0.18027714285714302,0.07537428571428573
random_5,4,0.180037142857143,0.07536428571428577,0.180037142857143,0.07536428571428577
random_5,5,0.1792771428571429,0.07320428571428572,0.1792771428571429,0.07320428571428572
random_6,1,0.10981428571428564,0.07763285714285717,0.10981428571428564,0.07763285714285717
random_6,2,0.10056428571428566,0.06886285714285723,0.10056428571428566,0.06886285714285723
random_6,3,0.11564428571428564,0.07805285714285715,0.11564428571428564,0.07805285714285715
random_6,4,0.12285428571428558,0.08089285714285721,0.12285428571428558,0.08089285714285721
random_6,5,0.12297428571428548,0.07840285714285722,0.12297428571428548,0.07840285714285722
random_7,1,0.017984285714285786,0.02998571428571417,0.017984285714285786,0.02998571428571417
random_7,2,0.0402542857142858,0.047775714285714255,0.0402542857142858,0.047775714285714255
random_7,3,0.01913428571428577,0.03540571428571415,0.01913428571428577,0.03540571428571415
random_7,4,0.0163442857142857,0.040405714285714156,0.0163442857142857,0.040405714285714156
random_7,5,0.024384285714285747,0.04489571428571415,0.024384285714285747,0.04489571428571415
random_8,1,0.10176714285714294,0.028710000000000013,0.10176714285714294,0.028710000000000013
random_8,2,0.14386714285714297,0.05740000000000001,0.14386714285714297,0.05740000000000001
random_8,3,0.18950714285714287,0.06636000000000009,0.18950714285714287,0.06636000000000009
random_8,4,0.199627142857143,0.06779000000000002,0.199627142857143,0.06779000000000002
random_8,5,0.23928714285714303,0.08246000000000009,0.23928714285714303,0.08246000000000009
random_9,1,0.13676,0.054598571428571385,0.13676,0.054598571428571385
random_9,2,0.07184999999999997,0.0391285714285714,0.07184999999999997,0.0391285714285714
random_9,3,0.13240999999999992,0.053048571428571445,0.13240999999999992,0.053048571428571445
random_9,4,0.15758000000000005,0.062118571428571356,0.15758000000000005,0.062118571428571356
random_9,5,0.17995000000000005,0.0692085714285714,0.17995000000000005,0.0692085714285714
random_10,1,0.35883714285714285,0.17054857142857138,0.35883714285714285,0.17054857142857138
random_10,2,0.35571714285714284,0.16730857142857136,0.35571714285714284,0.16730857142857136
random_10,3,0.323167142857143,0.15988857142857138,0.323167142857143,0.15988857142857138
random_10,4,0.36181714285714284,0.1704185714285713,0.36181714285714284,0.1704185714285713
random_10,5,0.36332714285714296,0.17050857142857134,0.36332714285714296,0.17050857142857134
random_11,1,0.16150428571428588,0.04244428571428571,0.16150428571428588,0.04244428571428571
random_11,2,0.16224428571428584,0.0419342857142857,0.16224428571428584,0.0419342857142857
random_11,3,0.17200428571428583,0.048334285714285774,0.17200428571428583,0.048334285714285774
random_11,4,0.16921428571428576,0.04893428571428571,0.16921428571428576,0.04893428571428571
random_11,5,0.17040428571428579,0.048094285714285756,0.17040428571428579,0.048094285714285756
random_12,1,0.12901428571428575,0.04673285714285713,0.12901428571428575,0.04673285714285713
random_12,2,0.1717642857142858,0.06093285714285712,0.1717642857142858,0.06093285714285712
random_12,3,0.21976428571428586,0.0754528571428571,0.21976428571428586,0.0754528571428571
random_12,4,0.2168242857142859,0.07313285714285711,0.2168242857142859,0.07313285714285711
random_12,5,0.19729428571428587,0.06548285714285718,0.19729428571428587,0.06548285714285718
random_13,1,0.11517571428571416,0.07529714285714295,0.11517571428571416,0.07529714285714295
random_13,2,0.14757571428571414,0.08903714285714293,0.14757571428571414,0.08903714285714293
