filename,sample_time,r,sample_id,mae,mdae,mser,mdser
random_1,0,1,0,0.05,0.05,-0.05,-0.05
random_1,0,1,1,0.04481481481481482,0.05,-0.04407407407407407,-0.05
random_1,0,1,2,0.046049382716049386,0.05,-0.046049382716049386,-0.05
random_1,0,1,3,0.04481481481481482,0.05,-0.04407407407407407,-0.05
random_1,0,1,4,0.045259259259259256,0.05,-0.045259259259259256,-0.05
random_1,0,1,5,0.04382716049382716,0.05,-0.04382716049382716,-0.05
random_1,0,1,6,0.04312169312169312,0.05,-0.03391534391534392,-0.05
random_1,0,1,7,0.03707070707070707,0.05,-0.030404040404040402,-0.05
random_1,0,1,8,0.03318742985409653,0.027777777777777783,-0.028496071829405167,-0.027777777777777783
random_1,0,1,9,0.03234343434343435,0.03,-0.027414141414141415,-0.03
random_1,0,1,10,0.029228650137741046,0.028181818181818176,-0.026124885215794307,-0.028181818181818176
random_1,0,1,11,0.03121212121212121,0.03,-0.025420875420875417,-0.03
random_1,0,2,0,0.05256397222222222,0.05,-0.02948730555555556,-0.05
random_1,0,2,1,0.04173784259259259,0.05,-0.03575506481481481,-0.05
random_1,0,2,2,0.0453465524691358,0.05,-0.03366581172839506,-0.05
random_1,0,2,3,0.04173784259259259,0.05,-0.03575506481481481,-0.05
random_1,0,2,4,0.04116805185185185,0.05,-0.03860405185185185,-0.05
random_1,0,2,5,0.03417505345117845,0.05,-0.03389023863636364,-0.05
random_1,0,2,6,0.02806645021645022,0.014835333333333332,-0.02806645021645022,-0.014835333333333332
random_1,0,2,7,0.028684357744107745,0.019230833333333336,-0.028684357744107745,-0.019230833333333336
random_1,0,2,8,0.028975020389075942,0.02264962962962963,-0.028975020389075942,-0.02264962962962963
random_1,0,2,9,0.02886566994949495,0.025384666666666666,-0.02886566994949495,-0.025384666666666666
random_1,0,2,10,0.029277672252831344,0.027622424242424243,-0.029087001913070096,-0.027622424242424243
random_1,0,2,11,0.028986544753086423,0.024359166666666668,-0.028986544753086423,-0.024359166666666668
random_1,0,3,0,0.046592592592592595,0.05,-0.022148148148148153,-0.05
random_1,0,3,1,0.03269360269360269,0.03,-0.026026936026936027,-0.02090909090909091
random_1,0,3,2,0.037326599326599326,0.05,-0.024734006734006733,-0.030606060606060602
random_1,0,3,3,0.03269360269360269,0.03,-0.026026936026936027,-0.02090909090909091
random_1,0,3,4,0.02774545454545455,0.020133333333333336,-0.022816161616161616,-0.020133333333333336
random_1,0,3,5,0.025797979797979795,0.02757575757575758,-0.012262626262626261,-0.014444444444444442
random_1,0,3,6,0.021213083213083215,0.01857142857142857,-0.011573833573833575,-0.006571428571428578
random_1,0,3,7,0.019262626262626266,0.01,-0.013606060606060606,-0.007333333333333333
random_1,0,3,8,0.02072951739618406,0.014444444444444442,-0.014758698092031428,-0.012074074074074072
random_1,0,3,9,0.016136026936026934,0.015866666666666668,-0.012984511784511786,-0.015866666666666668
random_1,0,3,10,0.017620446893174168,0.01896969696969697,-0.013984083256810529,-0.01896969696969697
random_1,0,3,11,0.014792368125701458,0.0053333333333333375,-0.012570145903479235,-0.0053333333333333375
random_1,0,4,0,0.03476630218855219,0.04755999999999999,-0.024197413299663302,-0.023984000000000002
random_1,0,4,1,0.028443079966329967,0.01829275,-0.028443079966329967,-0.01829275
random_1,0,4,2,0.03037007996632997,0.017479750000000002,-0.027027857744107747,-0.017479750000000002
random_1,0,4,3,0.028443079966329967,0.01829275,-0.028443079966329967,-0.01829275
random_1,0,4,4,0.025885794276094283,0.016178666666666668,-0.025885794276094283,-0.016178666666666668
random_1,0,4,5,0.022831302749719413,0.017479999999999996,-0.019267329685746355,-0.017479999999999996
random_1,0,4,6,0.017352973063973064,0.007491285714285709,-0.01479793698893699,-0.007491285714285709
random_1,0,4,7,0.016917251893939396,0.00772341666666667,-0.01620280744949495,-0.00772341666666667
random_1,0,4,8,0.01221216011971568,0.006640000000000008,-0.01193570669659559,-0.006640000000000008
random_1,0,4,9,0.01088547457912458,0.010975866666666662,-0.01088547457912458,-0.010975866666666662
random_1,0,4,10,0.012533765840220385,0.012158424242424243,-0.007877604224058773,-0.0056545454545454486
random_1,0,4,11,0.01113449957912458,0.013143888888888887,-0.007340585998877666,-0.008610606060606063
random_1,0,5,0,0.028671917508417508,0.015574999999999988,-0.022721473063973065,-0.015026666666666673
random_1,0,5,1,0.02636455176767677,0.017212500000000006,-0.025818107323232323,-0.017212500000000006
random_1,0,5,2,0.025979969977553315,0.01065575,-0.024785895903479238,-0.01065575
random_1,0,5,3,0.02636455176767677,0.017212500000000006,-0.025818107323232323,-0.017212500000000006
random_1,0,5,4,0.023123438720538722,0.008688499999999998,-0.023123438720538722,-0.008688499999999998
random_1,0,5,5,0.012467837962962962,0.006283333333333339,-0.01018255176767677,-0.006283333333333339
random_1,0,5,6,0.007904550144300143,0.006207142857142849,-0.005179803631553632,-0.00503510714285714
random_1,0,5,7,0.0077093934132996655,0.002868843750000002,-0.007013733480639732,-0.002868843750000002
random_1,0,5,8,0.0073487540216984676,0.006283333333333339,-0.005431223157500938,-0.003005444444444447
random_1,0,5,9,0.005776307407407408,0.002786533333333341,-0.004330811111111114,-0.002786533333333341
random_1,0,5,10,0.008612241735537192,0.0054889696969697074,-0.0032799319712274286,-0.004477190082644623
random_1,0,5,11,0.010334690025252525,0.011748333333333335,-0.0025421961980920367,-0.006283777777777785
random_1,100,1,0,0.04538732723292434,0.049999999999999996,-0.043501561655964555,-0.049999999999999996
random_1,100,1,1,0.04289719634055636,0.049999999999999996,-0.03488058143722142,-0.049999999999999996
random_1,100,1,2,0.09577099166653065,0.049999999999999996,0.040215436110975104,-0.049999999999999996
random_1,100,1,3,0.07971557098282232,0.05,0.02416001542726677,-0.049999999999999996
random_1,100,1,4,0.06488356789736897,0.049999999999999996,0.009328012341813413,-0.049999999999999996
random_1,100,1,5,0.057319719303201774,0.049999999999999996,-0.000018453186485863855,-0.049999999999999996
random_1,100,1,6,0.05151214035512533,0.049999999999999996,-0.007158674159845032,-0.049999999999999996
random_1,100,1,7,0.07970393486050546,0.049999999999999996,0.031144749937684166,-0.01851633215269579
random_1,100,1,8,0.07146522604884437,0.049999999999999996,0.022128666611274814,-0.022014517469062925
random_1,100,1,9,0.06558786876016987,0.049999999999999996,0.014915799950147333,-0.024813065722156632
random_1,100,1,10,0.07347942391273063,0.049999999999999996,0.025078969772013904,-0.01565418053021358
random_1,100,1,11,0.06895962417950297,0.049999999999999996,0.019905462015018652,-0.018516332152695783
random_1,100,2,0,0.04500119814956968,0.049999999999999996,-0.04500119814956968,-0.049999999999999996
random_1,100,2,1,0.048694991761172264,0.049999999999999996,-0.0348121139277516,-0.049999999999999996
random_1,100,2,2,0.05867662353044139,0.049999999999999996,0.00312106797488583,-0.049999999999999996
random_1,100,2,3,0.06180585971827952,0.05,0.006250304162723962,-0.049999999999999996
random_1,100,2,4,0.05055579888573472,0.049999999999999996,-0.004999756669820824,-0.049999999999999996
random_1,100,2,5,0.049557646966663926,0.049999999999999996,-0.005997908588891624,-0.049999999999999996
random_1,100,2,6,0.04327163390793416,0.049999999999999996,-0.01228392164762139,-0.049999999999999996
random_1,100,2,7,0.044237652382823754,0.049999999999999996,-0.00020679206162069506,0.016599960645415184
random_1,100,2,8,0.03870507372300383,0.049999999999999996,-0.005739370721440613,0.009199965018146839
random_1,100,2,9,0.03427901079514789,0.049999999999999996,-0.01016543364929655,0.003279968516332155
random_1,100,2,10,0.036836336772373496,0.049999999999999996,-0.007608107672070951,0.0028396121784551483
random_1,100,2,11,0.03631441758557704,0.049999999999999996,-0.008130026858867405,0.0024726485635576515
random_1,100,3,0,0.06105462507729574,0.049999999999999996,-0.016723152700482035,-0.049999999999999996
random_1,100,3,1,0.04866634889514228,0.049999999999999996,-0.020715784123354373,-0.049999999999999996
random_1,100,3,2,0.05441491472459607,0.049999999999999996,-0.001140640830959477,-0.049999999999999996
random_1,100,3,3,0.05268257695821901,0.049999999999999996,-0.0028729785973365413,-0.049999999999999996
random_1,100,3,4,0.046194951106995986,0.049999999999999996,-0.00936060444855956,-0.049999999999999996
