filename,r,type_id,ae,ser
random_1,1,0,0.0058743660709166924,0.0058743660709166924
random_1,1,1,0.02582211671873154,-0.02582211671873154
random_1,1,2,0.023577270283272493,0.023577270283272493
random_1,1,3,0.0025795092117916365,0.0025795092117916365
random_1,1,4,0.014434960433893484,-0.014434960433893484
random_1,1,5,0.014437331910826613,-0.014437331910826613
random_1,1,6,0.004555782776641677,-0.004555782776641677
random_1,1,7,0.03200082000820008,0.03200082000820008
random_1,1,8,0.05000000000000001,-0.05000000000000001
random_1,2,0,0.006451696297802046,0.006451696297802046
random_1,2,1,0.03055627677082388,-0.03055627677082388
random_1,2,2,0.016756433294658094,0.016756433294658094
random_1,2,3,0.007425575780217655,-0.007425575780217655
random_1,2,4,0.022642371299013073,-0.022642371299013073
random_1,2,5,0.004711497855126578,0.004711497855126578
random_1,2,6,0.0325215860031811,-0.0325215860031811
random_1,2,7,0.018461459614596148,-0.018461459614596148
random_1,2,8,0.05000000000000001,-0.05000000000000001
random_1,3,0,0.007875835900322635,0.007875835900322635
random_1,3,1,0.028020106107937762,-0.028020106107937762
random_1,3,2,0.014521606248408184,0.014521606248408184
random_1,3,3,0.012364140774717557,-0.012364140774717557
random_1,3,4,0.023326220325420116,-0.023326220325420116
random_1,3,5,0.00867840234713608,0.00867840234713608
random_1,3,6,0.022733469665985006,-0.022733469665985006
random_1,3,7,0.033599835998359986,-0.033599835998359986
random_1,3,8,0.015126416739319975,-0.015126416739319975
random_1,4,0,0.009240653292261517,0.009240653292261517
random_1,4,1,0.02775204756449038,-0.02775204756449038
random_1,4,2,0.012119626736848061,0.012119626736848061
random_1,4,3,0.008489861148585546,-0.008489861148585546
random_1,4,4,0.026145472125900245,-0.026145472125900245
random_1,4,5,0.00095841390500322,0.00095841390500322
random_1,4,6,0.016748182231311075,-0.016748182231311075
random_1,4,7,7.647292666544743e-18,-7.647292666544743e-18
random_1,4,8,0.028735832606800363,-0.028735832606800363
random_1,5,0,0.008478755231706629,0.008478755231706629
random_1,5,1,0.027029211278982546,-0.027029211278982546
random_1,5,2,0.012319653149201483,0.012319653149201483
random_1,5,3,0.004633621136962704,-0.004633621136962704
random_1,5,4,0.024492086778696548,-0.024492086778696548
random_1,5,5,0.0002835567113422626,0.0002835567113422626
random_1,5,6,0.009025221540558964,-0.009025221540558964
random_1,5,7,0.01721504715047148,0.01721504715047148
random_1,5,8,0.016650319674513234,-0.016650319674513234
random_2,1,0,0.020436692288200022,-0.020436692288200022
random_2,1,1,0.02691597414589104,-0.02691597414589104
random_2,1,2,0.00036695927471578607,0.00036695927471578607
random_2,1,3,0.020558794088205865,-0.020558794088205865
random_2,1,4,0.0045213370726900634,-0.0045213370726900634
random_2,1,5,0.011605835912941235,-0.011605835912941235
random_2,1,6,0.01904264375822305,-0.01904264375822305
random_2,1,7,0.05000000000000001,-0.05000000000000001
random_2,1,8,0.05,-0.05
random_2,2,0,0.020761574856172162,-0.020761574856172162
random_2,2,1,0.029154923923080004,-0.029154923923080004
random_2,2,2,0.0016583995898690484,0.0016583995898690484
random_2,2,3,0.02395590443384562,-0.02395590443384562
random_2,2,4,0.024734170898708916,-0.024734170898708916
random_2,2,5,0.009067741703261103,0.009067741703261103
random_2,2,6,0.014280241467378687,-0.014280241467378687
random_2,2,7,0.01961986571879937,-0.01961986571879937
random_2,2,8,0.05,-0.05
random_2,3,0,0.017433435631763205,-0.017433435631763205
random_2,3,1,0.025310128869083452,-0.025310128869083452
random_2,3,2,0.00035256871492301195,-0.00035256871492301195
random_2,3,3,0.020558794088205865,-0.020558794088205865
random_2,3,4,0.022712802243614036,-0.022712802243614036
random_2,3,5,0.003751829721882275,0.003751829721882275
random_2,3,6,0.0057232412351985095,0.0057232412351985095
random_2,3,7,0.018404423380726703,-0.018404423380726703
random_2,3,8,0.007739038563127309,-0.007739038563127309
random_2,4,0,0.0174952428883821,-0.0174952428883821
random_2,4,1,0.021971137440282628,-0.021971137440282628
random_2,4,2,0.0001621936009977401,0.0001621936009977401
