filename,r,type_id,mae,mdae
random_1,1,0,0.6268587301587302,0.7092814285714286
random_1,2,0,0.6382909523809525,0.7092814285714286
random_1,3,0,0.5927187301587302,0.5999614285714285
random_1,4,0,0.4941387301587302,0.4876400000000001
random_1,5,0,0.5179409523809524,0.51573
random_1,1,1,0.5962298412698412,0.6426242857142856
random_1,2,1,0.6626031746031746,0.7092814285714286
random_1,3,1,0.6152020634920635,0.6574642857142857
random_1,4,1,0.5362309523809523,0.5717800000000001
random_1,5,1,0.5407742857142858,0.6166414285714286
random_1,1,2,0.6312742857142858,0.6999742857142857
random_1,2,2,0.6505776190476191,0.7092814285714286
random_1,3,2,0.5992487301587301,0.5617414285714286
random_1,4,2,0.517706507936508,0.39596000000000003
random_1,5,2,0.5386220634920635,0.46901000000000004
random_1,1,3,0.6173053968253969,0.6844042857142858
random_1,2,3,0.6529676190476191,0.7092814285714286
random_1,3,3,0.5988598412698412,0.5734814285714286
random_1,4,3,0.512817619047619,0.44438000000000005
random_1,5,3,0.543066507936508,0.49865000000000004
random_1,1,4,0.5645998412698413,0.6420814285714286
random_1,2,4,0.6196709523809525,0.68405
random_1,3,4,0.5628098412698413,0.5828642857142857
random_1,4,4,0.5125165079365079,0.5451942857142857
random_1,5,4,0.5590931746031746,0.6079042857142857
random_1,1,5,0.5316953968253969,0.4754114285714286
random_1,2,5,0.6277276190476191,0.7092814285714286
random_1,3,5,0.606387619047619,0.6011614285714286
random_1,4,5,0.522486507936508,0.51044
random_1,5,5,0.5532831746031746,0.55267
random_1,1,6,0.4727728571428572,0.5705042857142857
random_1,2,6,0.5335373015873016,0.6394542857142858
random_1,3,6,0.4420239682539682,0.5150442857142856
random_1,4,6,0.4083484126984127,0.4421542857142858
random_1,5,6,0.4751384126984127,0.4788614285714286
random_1,1,7,0.4904128571428572,0.38662428571428575
random_1,2,7,0.5486717460317461,0.6394542857142858
random_1,3,7,0.46826063492063486,0.4160342857142857
random_1,4,7,0.39287396825396825,0.34298
random_1,5,7,0.4956231746031746,0.4141
random_1,1,8,0.7165909523809524,0.7933042857142857
random_1,2,8,0.7165909523809524,0.7933042857142857
random_1,3,8,0.5140153968253968,0.5468414285714286
random_1,4,8,0.41029841269841266,0.32425142857142863
random_1,5,8,0.42973841269841273,0.5057414285714286
random_2,1,0,0.5808236507936508,0.6567114285714286
random_2,2,0,0.45831809523809525,0.45904142857142854
random_2,3,0,0.46132587301587297,0.5439314285714285
random_2,4,0,0.3769947619047619,0.45251428571428565
random_2,5,0,0.3861914285714285,0.42656428571428573
random_2,1,1,0.5482803174603175,0.5479971428571428
random_2,2,1,0.44034031746031743,0.39333
random_2,3,1,0.43935476190476186,0.4122314285714285
random_2,4,1,0.3597214285714285,0.30675142857142856
random_2,5,1,0.37809047619047614,0.3141128571428571
random_2,1,2,0.617295873015873,0.6865714285714286
random_2,2,2,0.5071847619047619,0.44617142857142855
random_2,3,2,0.48934698412698413,0.5129414285714287
random_2,4,2,0.4307303174603174,0.42102428571428574
random_2,5,2,0.4335336507936508,0.4022742857142857
random_2,1,3,0.5034580952380953,0.5052728571428571
random_2,2,3,0.43981365079365076,0.35352
random_2,3,3,0.48328253968253965,0.5216128571428571
random_2,4,3,0.41578158730158726,0.42954285714285706
random_2,5,3,0.4282271428571428,0.4768628571428571
random_2,1,4,0.5693036507936508,0.5448314285714286
