filename,r,type_id,mae,mdae
random_1,1,0,0.6042692411794425,0.6986458725719661
random_1,2,0,0.6109840278823344,0.7060882509908764
random_1,3,0,0.5539219125178108,0.5876495206155277
random_1,4,0,0.42137545631912315,0.4313092862867711
random_1,5,0,0.3373480392856478,0.31783141478265553
random_1,1,1,0.5574299961924791,0.636625627551167
random_1,2,1,0.638782219738909,0.7086142574020267
random_1,3,1,0.585801923510942,0.6154126763743587
random_1,4,1,0.4414428990977331,0.47150142435107417
random_1,5,1,0.35113237154200505,0.2994252271660508
random_1,1,2,0.5992863218701288,0.6606905748366212
random_1,2,2,0.6250312917826122,0.6821085079078724
random_1,3,2,0.5582290624724324,0.5289915283726725
random_1,4,2,0.4214386806140399,0.31981320060881846
random_1,5,2,0.29319853076791697,0.2264720674432409
random_1,1,3,0.5879360770356902,0.620149518479622
random_1,2,3,0.6143770410581622,0.6670793430410253
random_1,3,3,0.564133095675286,0.5795265196971376
random_1,4,3,0.42540171458129605,0.4496601969954491
random_1,5,3,0.33564531439902806,0.22952319141001615
random_1,1,4,0.5285298900473183,0.59473956678035
random_1,2,4,0.5859634287881188,0.6370541600817854
random_1,3,4,0.540116647452002,0.5867297656181176
random_1,4,4,0.45617086423112924,0.4777463438256809
random_1,5,4,0.3914818112607733,0.3779831573030483
random_1,1,5,0.5640218860983612,0.5754126763743587
random_1,2,5,0.6100219868933254,0.7092816834721777
random_1,3,5,0.5868357354227418,0.6345964497670677
random_1,4,5,0.4503625631763848,0.46845632511630464
random_1,5,5,0.35668783836840245,0.28803333445659823
random_1,1,6,0.4696967982847125,0.5433041600817855
random_1,2,6,0.5175708619858906,0.574125627551167
random_1,3,6,0.4667635075857737,0.5336887754664008
random_1,4,6,0.38747351533928553,0.4038224527647123
random_1,5,6,0.32495082690737753,0.2658355619464978
random_1,1,7,0.43749929443660635,0.4380410021870486
random_1,2,7,0.49506168342062007,0.4849708267484521
random_1,3,7,0.39422105428279475,0.3416648193305254
random_1,4,7,0.3461040722840373,0.3024505015452001
random_1,5,7,0.33643456873462624,0.33511484350676557
random_1,1,8,0.7165914938591186,0.7933041600817854
random_1,2,8,0.7165914938591186,0.7933041600817854
random_1,3,8,0.4569428568641725,0.4135366478991175
random_1,4,8,0.2756507675122256,0.1843610706508909
random_1,5,8,0.2814649019844349,0.2191601741291953
random_2,1,0,0.567939365590791,0.6192612289479187
random_2,2,0,0.5765417950127812,0.642407034781331
random_2,3,0,0.5621978181246532,0.6353025933154669
random_2,4,0,0.45545282949809124,0.5186649749177608
random_2,5,0,0.3192506518931386,0.3607515594285148
random_2,1,1,0.5692515277343795,0.6471825232714714
random_2,2,1,0.5884167735607889,0.6211927838166083
random_2,3,1,0.5626797360084175,0.6114707984848671
random_2,4,1,0.4681566048774852,0.4059536016014438
random_2,5,1,0.3294517228975111,0.3279036971905377
random_2,1,2,0.6040436662589772,0.6009223286321084
random_2,2,2,0.6222515738447679,0.6514958141196387
random_2,3,2,0.595189235680572,0.6216632267911463
random_2,4,2,0.5295615554968328,0.4912066984733802
random_2,5,2,0.41984768422166363,0.3253090040186814
random_2,1,3,0.5267030268525452,0.5231421433551489
random_2,2,3,0.5788891284432574,0.6182383459481255
random_2,3,3,0.5634599177526286,0.6386764336262813
random_2,4,3,0.4666153590840492,0.5134864356205736
random_2,5,3,0.38073219508382045,0.3784946554977846
random_2,1,4,0.5902918876657471,0.6218035796722362
random_2,2,4,0.5585892519463826,0.5408490685588482
random_2,3,4,0.5503355120345466,0.6331474930122546
random_2,4,4,0.4428661642355896,0.5079574950065469
random_2,5,4,0.33462309059555806,0.3349299306324053
random_2,1,5,0.49250381243398017,0.5347583049713105
random_2,2,5,0.574066698380694,0.6333898610996408
random_2,3,5,0.5904160901631477,0.638675301299126
random_2,4,5,0.5229010500348531,0.547329147452972
random_2,5,5,0.4178513385965786,0.38471031204001893
random_2,1,6,0.5087468506260396,0.4939887634461861
random_2,2,6,0.4882138923156503,0.4489263340542535
random_2,3,6,0.5081559945346533,0.48100714213506157
random_2,4,6,0.4504668203163161,0.3511639280125195
random_2,5,6,0.34228480761394253,0.2665739836522278
random_2,1,7,0.7532870172046515,0.8180916383046438
random_2,2,7,0.43151849628323274,0.32180357967223605
random_2,3,7,0.48220217946883054,0.43256269769061717
random_2,4,7,0.40326421160195736,0.34860920931852407
random_2,5,7,0.32620674804212696,0.21648711467324944
random_2,1,8,0.7532870172046515,0.8180916383046438
random_2,2,8,0.7532870172046515,0.8180916383046438
random_2,3,8,0.4013011513980819,0.4058960310239504
random_2,4,8,0.33860571976576026,0.3918035796722361
random_2,5,8,0.32639859067821936,0.38226109601210545
random_3,1,0,0.564731609423101,0.6594803634662343
random_3,2,0,0.6024463425986016,0.731452978664656
random_3,3,0,0.5216266767496838,0.5684491057343026
random_3,4,0,0.39826681563623956,0.4665910777585707
random_3,5,0,0.32207375375507824,0.3092499052256745
random_3,1,1,0.5583099981578172,0.6439235697633909
random_3,2,1,0.6282039898477387,0.6685751575610284
random_3,3,1,0.570913903267232,0.5771872954866674
random_3,4,1,0.4711441292375784,0.4051215427078155
random_3,5,1,0.39201946253067327,0.2882177880445026
random_3,1,2,0.5972865957907235,0.6614837730312435
random_3,2,2,0.6154759848079603,0.713402543557325
random_3,3,2,0.5656489801129418,0.5907206749092294
random_3,4,2,0.45642517440400376,0.4411489271435888
random_3,5,2,0.3931822978925783,0.46067495680039794
random_3,1,3,0.5931087229091471,0.6866541434743568
random_3,2,3,0.6110298112173965,0.7167581243019419
random_3,3,3,0.5478674710690212,0.576171079767529
random_3,4,3,0.4393323225306387,0.4213541571998616
random_3,5,3,0.3777343206535322,0.3088468092104998
random_3,1,4,0.5151769541360172,0.4681021072752619
random_3,2,4,0.5861304147850798,0.6764879932845199
random_3,3,4,0.549115033724162,0.6406370728362498
random_3,4,4,0.43896335593342206,0.5097083776862201
random_3,5,4,0.3703585060021676,0.4031590009663206
random_3,1,5,0.5715889414367604,0.46998541397128485
random_3,2,5,0.5833436339541594,0.7009877449736157
random_3,3,5,0.556196127655515,0.6527721103159279
random_3,4,5,0.43109148937040237,0.4323604465080376
random_3,5,5,0.35304090555588336,0.32116658134197784
random_3,1,6,0.7374405671320587,0.803318747304618
random_3,2,6,0.5288023726491694,0.5970250410109119
random_3,3,6,0.4787241075943797,0.46121348414672336
random_3,4,6,0.3763168421187451,0.3626567125564144
random_3,5,6,0.3007859257544668,0.24811206989004153
random_3,1,7,0.7374405671320587,0.803318747304618
random_3,2,7,0.5345531515566395,0.567792341110607
random_3,3,7,0.4609422219451809,0.4371262911568604
random_3,4,7,0.37811368352677316,0.3269424268421287
random_3,5,7,0.33947160562581985,0.21625503789211709
random_3,1,8,0.7374405671320587,0.803318747304618
random_3,2,8,0.4281613702584205,0.4986527919487203
random_3,3,8,0.42215687683470765,0.525084098181811
random_3,4,8,0.3314307109941551,0.3180980872194874
random_3,5,8,0.31448038982125504,0.27170955190231927
random_4,1,0,0.6257646523949965,0.7079910678562091
random_4,2,0,0.5401673624185991,0.5833188650590064
random_4,3,0,0.619368458678734,0.7549105918968859
random_4,4,0,0.5405429117536236,0.6471087920948722
random_4,5,0,0.4203944143381314,0.506555440807045
random_4,1,1,0.5557893023849243,0.567499658332976
random_4,2,1,0.5798438486616928,0.567499658332976
random_4,3,1,0.6232435140233136,0.751239873261444
random_4,4,1,0.5794663285140026,0.710330782352353
random_4,5,1,0.4918392201884927,0.5834892349225702
random_4,1,2,0.6400884458854565,0.7067905117761123
random_4,2,2,0.5774963937557583,0.567499658332976
random_4,3,2,0.6274657931924922,0.7457258628641464
random_4,4,2,0.569842375710397,0.6605435141771027
random_4,5,2,0.4627566104755105,0.5062115497488375
random_4,1,3,0.610653663846508,0.6936641156856864
random_4,2,3,0.5632497203821009,0.567499658332976
random_4,3,3,0.6310828887816339,0.7623208321035968
random_4,4,3,0.5753180910806303,0.7323737931050412
random_4,5,3,0.4993666834368282,0.5994371411802082
random_4,1,4,0.5659368965602962,0.6333615811361569
random_4,2,4,0.515968042360583,0.567499658332976
