filename,r,mae,mdae,mser,mdser
random_1,1,0.020657370440788806,0.01665777540677514,-0.011256619160809571,-0.015916837082481258
random_1,2,0.0232583650393495,0.026346094710947118,-0.019211477697374787,-0.026346094710947118
random_1,3,0.01810558237065089,0.01197470073860259,-0.013710899189826427,-0.010980469479670409
random_1,4,0.017486767999566735,0.01004894834026658,-0.013745418386204598,-0.009249211307361824
random_1,5,0.015500546501334542,0.010647462825898516,-0.011575550519192327,-0.010647462825898516
random_2,1,0.02520841561035103,0.02129482423600071,-0.006910299743080341,-0.012101114227241715
random_2,2,0.023101398009510263,0.024522058823529418,-0.010745110468138157,-0.020355485577329177
random_2,3,0.017172854603939965,0.018184249795872402,-0.004414201087866918,-0.002487221942264782
random_2,4,0.017877729642249634,0.016609394320791383,-0.002901113680970057,-0.009616118350010803
random_2,5,0.0148694041182985,0.014805579458428366,-0.005917937357876704,-0.014805579458428366
random_3,1,0.027629601085382385,0.019372128637059723,-0.027629601085382385,-0.019372128637059723
random_3,2,0.022397256733282397,0.02172825421133231,-0.01632501440651655,-0.015849418208474436
random_3,3,0.02052753726963517,0.01304703584437523,-0.01228612754981326,-0.01117948294375155
random_3,4,0.01351753020570324,0.01260223553435426,-0.009707086887346854,-0.010212596535062351
random_3,5,0.014177177243312614,0.013180786378273574,-0.009865505715437083,-0.010224779569670439
random_4,1,0.029079345780605392,0.021414278567855355,-0.029079345780605392,-0.021414278567855355
random_4,2,0.02326490036174658,0.013801092436974794,-0.02326490036174658,-0.013801092436974794
random_4,3,0.01853411895941816,0.006494775910320051,-0.01853411895941816,-0.006494775910320051
random_4,4,0.015944663568484115,0.006848315337582929,-0.015895857040611014,-0.006848315337582929
random_4,5,0.015483726385306583,0.007018403361344547,-0.015483726385306583,-0.007018403361344547
random_5,1,0.017891849361223247,0.015017426802101894,-0.011955696200578672,-0.013556851311953345
random_5,2,0.010306473390352764,0.006162572878140298,-0.006368606998559371,-0.0008039460220005024
random_5,3,0.00938131528932263,0.009921640931090098,-0.003222770171851465,-0.0011170081069585085
random_5,4,0.0068873106032393844,0.007148296458477371,-0.0003260424625297947,-0.0010318457614636829
random_5,5,0.008007865541272372,0.005537651563497132,0.0016763020167175108,0.000735496590887451
random_6,1,0.02381053486185665,0.018893382067034756,-0.022490182593441727,-0.018893382067034756
random_6,2,0.021842274277963133,0.01526817345095859,-0.018580877480082185,-0.01526817345095859
random_6,3,0.01428730632442964,0.007483946386535778,-0.013882956620821896,-0.007483946386535778
random_6,4,0.015666063027646816,0.013573981777345557,-0.010588901647879274,-0.006957610026651295
random_6,5,0.015537639542915017,0.013180281559692513,-0.008848895424203475,-0.010615615615615625
random_7,1,0.021239754851881395,0.013527140098691257,-0.020400963630463495,-0.013527140098691257
random_7,2,0.017521423578360604,0.007044208893485016,-0.017156730812252982,-0.007044208893485016
random_7,3,0.013824679593823344,0.007482993197278911,-0.012073947180611458,-0.007482993197278911
