filename,sample_time,r,type_id,mae,mdae
random_1,0,1,0,0.6649041606744118,0.8525106675767342
random_1,0,2,0,0.613040545485378,0.5250401054203907
random_1,0,3,0,0.4727035919905298,0.3676712917628839
random_1,0,4,0,0.6188606513054838,0.6599209651645312
random_1,0,5,0,0.6219878224882106,0.6966665117325783
random_1,0,1,1,0.5872835216378767,0.8095207075198372
random_1,0,2,1,0.5976838548369521,0.5250401054203907
random_1,0,3,1,0.4408995329210512,0.3970207075198372
random_1,0,4,1,0.6191902351668619,0.6730425992768292
random_1,0,5,1,0.6294051685027102,0.7146133001124297
random_1,0,1,2,0.6509289161739762,0.8697120507219017
random_1,0,2,2,0.5276573480672706,0.3567720159871346
random_1,0,3,2,0.4376284874485548,0.33935277283989207
random_1,0,4,2,0.5996827900730108,0.705511511785454
random_1,0,5,2,0.6177542610856582,0.6966665117325783
random_1,0,1,3,0.7977622185321457,0.8697120507219017
random_1,0,2,3,0.7977622185321457,0.8697120507219017
random_1,0,3,3,0.42603151608284767,0.3970207075198372
random_1,0,4,3,0.5988141948782398,0.6859912957551314
random_1,0,5,3,0.6055250318505147,0.6625691935790446
random_1,0,1,4,0.57204176978385,0.8619881855576994
random_1,0,2,4,0.54185360894149,0.4760974357527664
random_1,0,3,4,0.40172611741404807,0.14023906056566193
random_1,0,4,4,0.5557191105143973,0.5619881855576996
random_1,0,5,4,0.6204424409240022,0.6822906803888423
random_1,0,1,5,0.8244554108148097,0.898957347055509
random_1,0,2,5,0.5415773175875166,0.43921326279706835
random_1,0,3,5,0.43245466739813765,0.44674774352721125
random_1,0,4,5,0.5933992846606444,0.7128191720986399
random_1,0,5,5,0.6125787072714395,0.7235334578129254
random_1,0,1,6,0.8709913484368766,0.9790887152742648
random_1,0,2,6,0.8709913484368766,0.9790887152742648
random_1,0,3,6,0.8709913484368766,0.9790887152742648
random_1,0,4,6,0.8709913484368766,0.9790887152742648
random_1,0,5,6,0.8709913484368766,0.9790887152742648
random_1,0,1,7,0.8830301411359099,0.993033212389428
random_1,0,2,7,0.8830301411359099,0.993033212389428
random_1,0,3,7,0.8830301411359099,0.993033212389428
random_1,0,4,7,0.45085693852153086,0.49579269706393836
random_1,0,5,7,0.45200601094511306,0.5412403399816696
random_1,0,1,8,0.8728473492526321,0.9796575759915876
random_1,0,2,8,0.8728473492526321,0.9796575759915876
random_1,0,3,8,0.39568298127990026,0.13287942993055502
random_1,0,4,8,0.44655649957942956,0.48085045794975256
random_1,0,5,8,0.44949437506632467,0.5308504579497526
random_1,100,1,0,0.7136230782939247,0.9750681304803814
random_1,100,2,0,0.6748572778777787,0.9750681304803814
random_1,100,3,0,0.7203015545024888,0.6937213541431958
random_1,100,4,0,0.7573862827533279,0.8113594465797331
