filename,r,mae_sh,mae_si,mdae_sh,mdae_si
random_1,1,0.10900229337949563,0.014389577256133212,0.10900229337949563,0.014389577256133212
random_1,2,0.03649267204017259,0.021167617404376782,0.03649267204017259,0.021167617404376782
random_1,3,0.04233281339315842,0.02497583572891382,0.04233281339315842,0.02497583572891382
random_1,4,0.03175760887813284,0.031820595171156874,0.03175760887813284,0.031820595171156874
random_1,5,0.06521337802033633,0.018716956306317534,0.06521337802033633,0.018716956306317534
random_2,1,0.29770595497049523,0.12311377398057777,0.29770595497049523,0.12311377398057777
random_2,2,0.28472720702845566,0.11335814304125025,0.28472720702845566,0.11335814304125025
random_2,3,0.30483781539135735,0.11398204097534592,0.30483781539135735,0.11398204097534592
random_2,4,0.32753967484256785,0.12380225327168537,0.32753967484256785,0.12380225327168537
random_2,5,0.3134995092512478,0.1207816314622554,0.3134995092512478,0.1207816314622554
random_3,1,0.07665274191128169,0.04355076616846887,0.07665274191128169,0.04355076616846887
random_3,2,0.12496525626266552,0.04921161463168433,0.12496525626266552,0.04921161463168433
random_3,3,0.18580556900185385,0.06870023105840484,0.18580556900185385,0.06870023105840484
random_3,4,0.1830633917752471,0.06793029149039509,0.1830633917752471,0.06793029149039509
random_3,5,0.1657790204886449,0.062227124741360273,0.1657790204886449,0.062227124741360273
random_4,1,0.05160500278461644,0.031693613077947935,0.05160500278461644,0.031693613077947935
random_4,2,0.051509565417269476,0.03169937310152704,0.051509565417269476,0.03169937310152704
random_4,3,0.09890156941581796,0.04087557291174293,0.09890156941581796,0.04087557291174293
random_4,4,0.11469709403385808,0.04876007923761827,0.11469709403385808,0.04876007923761827
random_4,5,0.13481080458522654,0.05277477591422641,0.13481080458522654,0.05277477591422641
random_5,1,0.16925824886757046,0.09138753641889863,0.16925824886757046,0.09138753641889863
random_5,2,0.17230450425394328,0.08269471917139515,0.17230450425394328,0.08269471917139515
random_5,3,0.19214391749267712,0.08313988879744738,0.19214391749267712,0.08313988879744738
random_5,4,0.1835374565452481,0.07837418588854428,0.1835374565452481,0.07837418588854428
random_5,5,0.19319904248607278,0.07846218185823561,0.19319904248607278,0.07846218185823561
random_6,1,0.18600882803141117,0.10936944799040249,0.18600882803141117,0.10936944799040249
random_6,2,0.13636425925355344,0.08819833437393243,0.13636425925355344,0.08819833437393243
random_6,3,0.13930538196154596,0.08404587068319691,0.13930538196154596,0.08404587068319691
random_6,4,0.13362153637451346,0.08117747394619745,0.13362153637451346,0.08117747394619745
random_6,5,0.13624295169592116,0.07913214407872604,0.13624295169592116,0.07913214407872604
random_7,1,0.07885870382361304,0.04957935731050156,0.07885870382361304,0.04957935731050156
random_7,2,0.20868517177301205,0.11760977518165489,0.20868517177301205,0.11760977518165489
random_7,3,0.1273454843005528,0.08889509740036394,0.1273454843005528,0.08889509740036394
random_7,4,0.10560667649548616,0.08684619862545673,0.10560667649548616,0.08684619862545673
random_7,5,0.09548400890660869,0.08695236173812204,0.09548400890660869,0.08695236173812204
random_8,1,0.15920520960221074,0.06586603735137497,0.15920520960221074,0.06586603735137497
random_8,2,0.09007422383221053,0.03219617870225122,0.09007422383221053,0.03219617870225122
random_8,3,0.016726592399948226,0.015652056244608192,0.016726592399948226,0.015652056244608192
random_8,4,0.01523673606541931,0.010758503749808579,0.01523673606541931,0.010758503749808579
random_8,5,0.045658935692895586,0.0027999929044121297,0.045658935692895586,0.0027999929044121297
random_9,1,0.15591191187183884,0.08428926874501008,0.15591191187183884,0.08428926874501008
random_9,2,0.09158062894014662,0.06030181583169003,0.09158062894014662,0.06030181583169003
random_9,3,0.14327784251371467,0.06228744019241417,0.14327784251371467,0.06228744019241417
random_9,4,0.14598720119150688,0.061759251040458873,0.14598720119150688,0.061759251040458873
random_9,5,0.17536517909615035,0.07030310938516848,0.17536517909615035,0.07030310938516848
random_10,1,0.27124079923278654,0.12946701878184985,0.27124079923278654,0.12946701878184985
random_10,2,0.19589842005327918,0.10454126288444954,0.19589842005327918,0.10454126288444954
random_10,3,0.20845638145099588,0.10821200024341282,0.20845638145099588,0.10821200024341282
random_10,4,0.23494686617436367,0.11560223806383774,0.23494686617436367,0.11560223806383774
random_10,5,0.26537728080968015,0.12403401214740861,0.26537728080968015,0.12403401214740861
random_11,1,0.031899046204697745,0.020146173752828567,0.031899046204697745,0.020146173752828567
random_11,2,0.06992516625925926,0.006682298883456839,0.06992516625925926,0.006682298883456839
random_11,3,0.11148466476882146,0.021874684101344966,0.11148466476882146,0.021874684101344966
random_11,4,0.0949180641163252,0.01420370064341503,0.0949180641163252,0.01420370064341503
random_11,5,0.11693847903190102,0.022008944140536668,0.11693847903190102,0.022008944140536668
