filename,init_locs,seed,r,sample_id,0,1,2,3,4,5,6,7,8
random_1,R1,0,1,0,0.0,14.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,2,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,3,3.2,0.0,0.0,3.2,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,5,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,8,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,9,19.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,11,0.0,0.0,0.0,1.6,0.0,3.2,0.0,0.0,0.0
random_1,R1,0,1,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,0,0.0,12.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,2,0.0,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,3,4.923076923076923,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,5,0.0,0.0,0.0,1.2307692307692308,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,8,20.923076923076923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,9,16.615384615384617,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,11,0.0,0.0,0.0,0.6153846153846154,0.0,1.2307692307692308,0.0,0.0,0.0
random_1,R1,0,2,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,0,0.0,11.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,2,0.0,0.0,0.0,0.64,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,3,7.36,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,4,2.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,5,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,8,18.88,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,9,13.12,0.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,11,0.0,0.0,0.0,2.56,0.0,0.96,0.0,0.0,0.0
random_1,R1,0,3,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,13,0.0,0.0,0.0,0.0,0.0,0.64,0.0,0.0,0.0
random_1,R1,0,3,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,0,0.0,12.878048780487806,0.0,0.0,0.0,0.1951219512195122,0.0,0.0,0.0
random_1,R1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,2,0.0,0.0,0.0,0.5853658536585366,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,3,9.75609756097561,0.0,0.0,2.5365853658536586,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,4,3.707317073170732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,5,0.0,0.0,0.0,1.7560975609756098,0.0,0.0,0.0,0.1951219512195122,0.0
random_1,R1,0,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,8,21.463414634146343,0.0,0.0,0.0,0.1951219512195122,0.0,0.0,0.0,0.0
random_1,R1,0,4,9,10.731707317073171,0.0,0.0,0.3902439024390244,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,10,0.1951219512195122,0.0,0.0,0.0,0.0,0.1951219512195122,0.0,0.0,0.0
random_1,R1,0,4,11,0.5853658536585366,0.0,0.0,1.7560975609756098,0.0,0.5853658536585366,0.0,0.0,0.0
random_1,R1,0,4,12,0.0,0.0,0.1951219512195122,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,13,0.0,0.0,0.0,0.1951219512195122,0.0,0.3902439024390244,0.0,0.0,0.0
random_1,R1,0,4,14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,4,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,0,0.0,13.770491803278688,0.0,0.13114754098360656,0.13114754098360656,0.13114754098360656,0.0,0.0,0.0
random_1,R1,0,5,1,0.0,0.0,0.13114754098360656,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,2,0.0,0.0,0.0,0.7868852459016393,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,3,9.311475409836065,0.0,0.0,1.9672131147540983,0.0,0.26229508196721313,0.0,0.0,0.0
random_1,R1,0,5,4,3.278688524590164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,5,0.0,0.0,0.0,1.8360655737704918,0.0,0.13114754098360656,0.0,0.13114754098360656,0.0
random_1,R1,0,5,6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
