filename,init_locs,seed,diameter,sample_id,0,1,2,3,4,5,6,7,8
random_1,R1,0,1,0,0,9,0,0,0,0,0,0,0
random_1,R1,0,1,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,2,0,0,0,1,0,0,0,0,0
random_1,R1,0,1,3,2,0,0,2,0,0,0,0,0
random_1,R1,0,1,4,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,5,0,0,0,1,0,0,0,0,0
random_1,R1,0,1,6,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,8,15,0,0,0,0,0,0,0,0
random_1,R1,0,1,9,12,0,0,0,0,0,0,0,0
random_1,R1,0,1,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,11,0,0,0,1,0,2,0,0,0
random_1,R1,0,1,12,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,13,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,14,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,15,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,0,0,21,0,0,0,0,0,0,0
random_1,R1,0,2,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,2,0,0,0,2,0,0,0,0,0
random_1,R1,0,2,3,8,0,0,2,0,0,0,0,0
random_1,R1,0,2,4,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,5,0,0,0,2,0,0,0,0,0
random_1,R1,0,2,6,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,8,34,0,0,0,0,0,0,0,0
random_1,R1,0,2,9,27,0,0,0,0,0,0,0,0
random_1,R1,0,2,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,11,0,0,0,1,0,2,0,0,0
random_1,R1,0,2,12,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,13,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,14,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,15,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,0,0,35,0,0,0,0,0,0,0
random_1,R1,0,3,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,2,0,0,0,2,0,0,0,0,0
random_1,R1,0,3,3,23,0,0,5,0,0,0,0,0
random_1,R1,0,3,4,7,0,0,0,0,0,0,0,0
random_1,R1,0,3,5,0,0,0,5,0,0,0,0,0
random_1,R1,0,3,6,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,8,59,0,0,0,0,0,0,0,0
random_1,R1,0,3,9,41,0,0,1,0,0,0,0,0
random_1,R1,0,3,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,11,0,0,0,8,0,3,0,0,0
random_1,R1,0,3,12,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,13,0,0,0,0,0,2,0,0,0
random_1,R1,0,3,14,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,15,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,0,0,66,0,0,0,1,0,0,0
random_1,R1,0,4,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,2,0,0,0,3,0,0,0,0,0
random_1,R1,0,4,3,50,0,0,13,0,0,0,0,0
random_1,R1,0,4,4,19,0,0,0,0,0,0,0,0
random_1,R1,0,4,5,0,0,0,9,0,0,0,1,0
random_1,R1,0,4,6,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,8,110,0,0,0,1,0,0,0,0
random_1,R1,0,4,9,55,0,0,2,0,0,0,0,0
random_1,R1,0,4,10,1,0,0,0,0,1,0,0,0
random_1,R1,0,4,11,3,0,0,9,0,3,0,0,0
random_1,R1,0,4,12,0,0,1,0,0,0,0,0,0
random_1,R1,0,4,13,0,0,0,1,0,2,0,0,0
random_1,R1,0,4,14,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,15,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,0,0,105,0,1,1,1,0,0,0
random_1,R1,0,5,1,0,0,1,0,0,0,0,0,0
random_1,R1,0,5,2,0,0,0,6,0,0,0,0,0
random_1,R1,0,5,3,71,0,0,15,0,2,0,0,0
random_1,R1,0,5,4,25,0,0,0,0,0,0,0,0
random_1,R1,0,5,5,0,0,0,14,0,1,0,1,0
random_1,R1,0,5,6,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,8,153,0,0,0,1,0,0,0,0
random_1,R1,0,5,9,78,0,0,6,0,0,0,0,0
random_1,R1,0,5,10,1,0,0,0,0,4,0,0,0
random_1,R1,0,5,11,5,0,0,9,0,5,0,0,0
random_1,R1,0,5,12,2,0,1,0,0,0,0,0,0
random_1,R1,0,5,13,0,0,1,2,0,2,0,0,0
random_1,R1,0,5,14,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,15,0,0,0,3,0,0,0,0,0
random_2,R1,1,1,0,1,0,0,0,0,0,0,0,0
random_2,R1,1,1,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,2,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,3,0,0,1,0,2,1,0,0,0
random_2,R1,1,1,4,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,5,16,0,0,0,0,0,0,0,0
random_2,R1,1,1,6,6,0,0,1,0,0,0,0,0
random_2,R1,1,1,7,0,0,2,0,0,0,0,0,0
random_2,R1,1,1,8,0,0,2,0,0,0,0,0,0
random_2,R1,1,1,9,0,0,1,0,0,0,0,0,0
random_2,R1,1,1,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,11,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,12,1,0,2,0,0,0,0,0,0
random_2,R1,1,1,13,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,14,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,15,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,0,8,0,0,0,0,0,0,0,0
random_2,R1,1,2,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,2,0,0,2,0,0,0,0,0,0
random_2,R1,1,2,3,0,0,2,0,5,1,1,0,0
random_2,R1,1,2,4,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,5,42,0,0,0,0,0,0,0,0
random_2,R1,1,2,6,7,0,0,4,0,0,0,0,0
random_2,R1,1,2,7,0,0,5,0,0,0,0,0,0
random_2,R1,1,2,8,0,0,4,0,0,0,0,0,0
random_2,R1,1,2,9,0,0,3,0,0,0,0,0,0
random_2,R1,1,2,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,11,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,12,5,0,2,0,0,0,0,0,0
random_2,R1,1,2,13,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,14,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,15,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,0,17,0,1,0,0,0,0,0,0
random_2,R1,1,3,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,2,0,0,7,0,0,0,1,0,0
random_2,R1,1,3,3,0,0,2,0,16,1,1,0,0
random_2,R1,1,3,4,0,0,1,0,0,0,0,0,0
random_2,R1,1,3,5,84,0,0,0,0,0,0,0,0
random_2,R1,1,3,6,17,0,0,5,0,0,0,0,0
random_2,R1,1,3,7,0,0,8,0,0,0,0,0,0
random_2,R1,1,3,8,0,0,7,0,0,0,0,0,0
random_2,R1,1,3,9,0,0,3,0,0,0,0,0,0
random_2,R1,1,3,10,0,2,0,0,0,0,0,0,0
random_2,R1,1,3,11,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,12,13,0,4,0,0,0,0,0,0
random_2,R1,1,3,13,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,14,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,15,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,0,29,0,1,0,0,0,0,0,0
random_2,R1,1,4,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,2,0,0,11,0,0,0,1,0,0
random_2,R1,1,4,3,0,0,2,0,27,3,1,0,0
random_2,R1,1,4,4,0,0,2,0,0,0,0,0,0
random_2,R1,1,4,5,141,0,0,4,0,0,0,0,0
random_2,R1,1,4,6,28,0,0,9,0,0,0,0,0
random_2,R1,1,4,7,0,0,13,0,0,0,0,0,0
random_2,R1,1,4,8,0,0,10,0,0,0,0,0,0
random_2,R1,1,4,9,0,0,5,0,0,0,0,0,0
random_2,R1,1,4,10,0,10,0,0,0,0,0,0,0
random_2,R1,1,4,11,0,0,0,0,0,1,0,0,0
random_2,R1,1,4,12,28,0,4,0,0,0,0,0,0
random_2,R1,1,4,13,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,14,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,15,0,0,3,0,0,0,0,0,0
random_2,R1,1,5,0,52,0,1,0,0,0,0,0,0
random_2,R1,1,5,1,0,0,0,0,1,0,0,0,0
random_2,R1,1,5,2,0,0,12,0,0,0,1,0,0
random_2,R1,1,5,3,0,0,2,0,32,3,1,0,0
random_2,R1,1,5,4,0,0,3,0,0,0,0,0,0
random_2,R1,1,5,5,194,0,0,4,0,0,0,0,0
random_2,R1,1,5,6,43,0,0,13,0,0,0,0,0
random_2,R1,1,5,7,0,0,16,0,0,0,0,0,0
random_2,R1,1,5,8,0,0,15,0,0,0,0,0,0
random_2,R1,1,5,9,0,0,12,0,0,0,0,0,0
random_2,R1,1,5,10,0,31,0,0,0,0,0,0,0
random_2,R1,1,5,11,1,0,2,0,0,2,0,0,0
random_2,R1,1,5,12,44,0,4,0,0,0,0,0,0
random_2,R1,1,5,13,0,0,1,0,0,0,0,0,0
random_2,R1,1,5,14,0,0,0,0,0,0,0,0,0
random_2,R1,1,5,15,0,0,3,0,0,0,0,0,0
random_3,R1,2,1,0,0,10,0,0,3,0,1,0,0
random_3,R1,2,1,1,0,14,0,0,0,0,0,0,0
random_3,R1,2,1,2,1,0,0,1,0,0,0,0,0
random_3,R1,2,1,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,4,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,7,0,0,0,1,0,1,0,0,0
random_3,R1,2,1,8,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,10,0,0,0,0,1,0,0,0,0
random_3,R1,2,1,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,12,6,0,0,0,0,0,0,0,0
random_3,R1,2,1,13,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,14,3,0,0,0,0,0,0,0,0
random_3,R1,2,1,15,0,0,0,0,0,0,0,0,0
