filename,init_locs,seed,sample_id,type_id,r,0,1,2,3,4,5,6,7,8
random_1,R1,0,0,0,1,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,2,1,0.07692307692307693,0.0,0.0,0.07692307692307693,0.07692307692307693,0.0,0.0,0.0,0.0
random_1,R1,0,0,3,1,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,4,1,0.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,2,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,3,1,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,4,1,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,2,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,0,1,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,2,1,0.15384615384615385,0.0,0.0,0.15384615384615385,0.15384615384615385,0.0,0.0,0.0,0.0
random_1,R1,0,3,3,1,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,4,1,0.0,0.0,0.15384615384615385,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,5,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
