filename,init_locs,seed,diameter,sample_id,0,1,2,3,4,5,6,7,8
random_1,R1,0,1,0,0,9,0,0,0,0,0,0,0
random_1,R1,0,1,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,2,0,0,0,1,0,0,0,0,0
random_1,R1,0,1,3,2,0,0,2,0,0,0,0,0
random_1,R1,0,1,4,5,0,0,4,0,0,0,0,0
random_1,R1,0,1,5,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,6,4,0,0,0,0,1,0,0,0
random_1,R1,0,1,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,8,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,9,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,1,11,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,0,0,21,0,0,0,0,0,0,0
random_1,R1,0,2,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,2,0,0,0,2,0,0,0,0,0
random_1,R1,0,2,3,8,0,0,2,0,0,0,0,0
random_1,R1,0,2,4,20,0,0,5,0,0,0,0,0
random_1,R1,0,2,5,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,6,5,0,0,2,0,1,0,0,0
random_1,R1,0,2,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,8,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,9,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,2,11,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,0,0,35,0,0,0,0,0,0,0
random_1,R1,0,3,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,2,0,0,0,2,0,0,0,0,0
random_1,R1,0,3,3,23,0,0,5,0,0,0,0,0
random_1,R1,0,3,4,32,0,0,6,0,0,0,0,0
random_1,R1,0,3,5,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,6,13,0,0,2,0,1,0,0,0
random_1,R1,0,3,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,8,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,9,0,0,0,0,0,2,0,0,0
random_1,R1,0,3,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,3,11,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,0,0,66,0,0,0,1,0,0,0
random_1,R1,0,4,1,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,2,0,0,0,3,0,0,0,0,0
random_1,R1,0,4,3,50,0,0,13,0,0,0,0,0
random_1,R1,0,4,4,40,0,0,7,0,2,0,0,0
random_1,R1,0,4,5,0,0,1,0,0,0,0,0,0
random_1,R1,0,4,6,26,0,0,5,0,2,0,0,0
random_1,R1,0,4,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,8,0,0,1,0,0,0,0,0,0
random_1,R1,0,4,9,0,0,0,1,0,2,0,0,0
random_1,R1,0,4,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,4,11,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,0,0,105,0,1,1,1,0,0,0
random_1,R1,0,5,1,0,0,1,0,0,0,0,0,0
random_1,R1,0,5,2,0,0,0,6,0,0,0,0,0
random_1,R1,0,5,3,71,0,0,15,0,2,0,0,0
random_1,R1,0,5,4,49,0,0,7,1,2,0,0,0
random_1,R1,0,5,5,0,0,1,0,0,0,0,0,0
random_1,R1,0,5,6,44,0,1,16,0,3,0,0,0
random_1,R1,0,5,7,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,8,2,0,1,0,0,0,0,0,0
random_1,R1,0,5,9,0,0,1,2,0,2,0,0,0
random_1,R1,0,5,10,0,0,0,0,0,0,0,0,0
random_1,R1,0,5,11,0,0,0,3,0,0,0,0,0
random_2,R1,1,1,0,1,0,0,0,0,0,0,0,0
random_2,R1,1,1,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,2,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,3,0,0,1,0,2,1,0,0,0
random_2,R1,1,1,4,1,0,0,0,0,0,0,0,0
random_2,R1,1,1,5,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,6,0,0,1,0,0,0,0,0,0
random_2,R1,1,1,7,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,8,1,0,2,0,0,0,0,0,0
random_2,R1,1,1,9,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,1,11,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,0,8,0,0,0,0,0,0,0,0
random_2,R1,1,2,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,2,0,0,2,0,0,0,0,0,0
random_2,R1,1,2,3,0,0,2,0,5,1,1,0,0
random_2,R1,1,2,4,9,0,2,0,0,0,0,0,0
random_2,R1,1,2,5,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,6,0,0,1,0,0,0,0,0,0
random_2,R1,1,2,7,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,8,5,0,2,0,0,0,0,0,0
random_2,R1,1,2,9,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,2,11,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,0,17,0,1,0,0,0,0,0,0
random_2,R1,1,3,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,2,0,0,7,0,0,0,1,0,0
random_2,R1,1,3,3,0,0,2,0,16,1,1,0,0
random_2,R1,1,3,4,19,0,3,0,0,0,0,0,0
random_2,R1,1,3,5,0,0,1,0,0,0,0,0,0
random_2,R1,1,3,6,0,0,1,0,0,0,0,0,0
random_2,R1,1,3,7,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,8,13,0,4,0,0,0,0,0,0
random_2,R1,1,3,9,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,3,11,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,0,29,0,1,0,0,0,0,0,0
random_2,R1,1,4,1,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,2,0,0,11,0,0,0,1,0,0
random_2,R1,1,4,3,0,0,2,0,27,3,1,0,0
random_2,R1,1,4,4,29,0,5,0,0,0,0,0,0
random_2,R1,1,4,5,2,0,3,0,0,0,0,0,0
random_2,R1,1,4,6,0,0,1,0,0,0,0,0,0
random_2,R1,1,4,7,0,0,1,0,0,0,0,0,0
random_2,R1,1,4,8,28,0,4,0,0,0,0,0,0
random_2,R1,1,4,9,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,4,11,0,0,3,0,0,0,0,0,0
random_2,R1,1,5,0,52,0,1,0,0,0,0,0,0
random_2,R1,1,5,1,0,0,0,0,1,0,0,0,0
random_2,R1,1,5,2,0,0,12,0,0,0,1,0,0
random_2,R1,1,5,3,0,0,2,0,32,3,1,0,0
random_2,R1,1,5,4,41,0,6,0,0,0,0,0,0
random_2,R1,1,5,5,2,0,4,0,0,0,0,0,0
random_2,R1,1,5,6,2,0,3,0,0,0,0,0,0
random_2,R1,1,5,7,0,0,2,0,0,0,0,0,0
random_2,R1,1,5,8,44,0,4,0,0,0,0,0,0
random_2,R1,1,5,9,0,0,1,0,0,0,0,0,0
random_2,R1,1,5,10,0,0,0,0,0,0,0,0,0
random_2,R1,1,5,11,0,0,3,0,0,0,0,0,0
random_3,R1,2,1,0,0,10,0,0,3,0,1,0,0
random_3,R1,2,1,1,0,14,0,0,0,0,0,0,0
random_3,R1,2,1,2,1,0,0,1,0,0,0,0,0
random_3,R1,2,1,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,4,0,0,1,0,0,0,0,0,0
random_3,R1,2,1,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,7,0,0,0,0,5,0,0,0,0
random_3,R1,2,1,8,6,0,0,0,0,0,0,0,0
random_3,R1,2,1,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,1,10,3,0,0,0,0,0,0,0,0
random_3,R1,2,1,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,0,0,21,0,0,3,0,1,0,0
random_3,R1,2,2,1,0,50,0,0,1,0,0,0,0
random_3,R1,2,2,2,4,0,1,1,0,0,0,0,0
random_3,R1,2,2,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,4,0,0,1,0,0,0,0,0,0
random_3,R1,2,2,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,7,0,0,0,0,11,0,0,0,0
random_3,R1,2,2,8,13,0,0,0,0,0,0,0,0
random_3,R1,2,2,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,2,10,20,0,0,0,0,0,0,0,0
random_3,R1,2,2,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,0,0,43,0,0,4,0,1,0,4
random_3,R1,2,3,1,0,96,0,0,2,0,0,0,0
random_3,R1,2,3,2,9,0,2,2,0,0,0,0,0
random_3,R1,2,3,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,4,0,0,1,0,0,0,0,0,0
random_3,R1,2,3,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,7,0,0,0,0,23,0,0,0,0
random_3,R1,2,3,8,20,0,0,0,0,0,0,0,0
random_3,R1,2,3,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,3,10,41,0,0,0,0,0,0,0,0
random_3,R1,2,3,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,0,0,81,0,0,6,0,2,0,6
random_3,R1,2,4,1,0,159,0,0,3,0,0,0,0
random_3,R1,2,4,2,16,0,2,3,0,0,0,0,0
random_3,R1,2,4,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,4,0,0,1,0,0,0,0,0,0
random_3,R1,2,4,5,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,6,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,7,0,0,0,0,40,0,0,0,0
random_3,R1,2,4,8,33,0,0,0,0,0,0,0,0
random_3,R1,2,4,9,0,0,0,0,0,0,0,0,0
random_3,R1,2,4,10,90,0,0,0,0,0,0,0,0
random_3,R1,2,4,11,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,0,0,127,0,0,15,0,3,0,7
random_3,R1,2,5,1,0,240,0,0,9,0,0,0,0
random_3,R1,2,5,2,17,0,2,3,0,0,0,0,0
random_3,R1,2,5,3,0,0,0,0,0,0,0,0,0
random_3,R1,2,5,4,0,0,1,0,0,0,0,0,0
random_3,R1,2,5,5,0,0,0,0,0,0,0,0,1
random_3,R1,2,5,6,0,0,1,0,0,0,0,0,0
random_3,R1,2,5,7,0,0,0,0,49,0,0,0,0
