filename,init_locs,seed,type_id,0,1,2,3,4,5,6,7,8
random_1,R1,0,0,0.0,0.07128916469338346,0.1703228768544153,0.16265210558846974,0.21375866425536097,0.23545476352102976,0.44696745292141055,0.5891216453687687,0.0
random_1,R1,0,1,0.07128916469338346,0.0,0.21058424252812574,0.213569631050184,0.16832562021492992,0.3274631100661355,0.37676266262043284,0.626013659908882,0.0
random_1,R1,0,2,0.1703228768544153,0.21058424252812574,0.0,0.30524810669055613,0.351923026437827,0.41298298593084526,0.5830859430195775,0.6955078044399561,0.0
random_1,R1,0,3,0.16265210558846974,0.213569631050184,0.30524810669055613,0.0,0.354578476372157,0.3849323675603077,0.5941876875743607,0.6989761782602806,0.0
random_1,R1,0,4,0.21375866425536097,0.16832562021492992,0.351923026437827,0.354578476372157,0.0,0.4629254321508675,0.47989947011470185,0.7553953737400304,0.0
random_1,R1,0,5,0.23545476352102976,0.3274631100661355,0.41298298593084526,0.3849323675603077,0.4629254321508675,0.0,0.7064052834851187,0.8385370416662048,0.0
random_1,R1,0,6,0.44696745292141055,0.37676266262043284,0.5830859430195775,0.5941876875743607,0.47989947011470185,0.7064052834851187,0.0,1.0,0.0
random_1,R1,0,7,0.5891216453687687,0.626013659908882,0.6955078044399561,0.6989761782602806,0.7553953737400304,0.8385370416662048,1.0,0.0,0.0
random_1,R1,0,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,0,0.0,0.06474087415166488,0.17849659396275908,0.14988317664810685,0.18885384356382734,0.24795895570112214,0.41038390791176754,0.5418658196126679,0.5639758208953377
random_2,R1,1,1,0.06474087415166488,0.0,0.1915189630277932,0.18774368783386222,0.14579912527870065,0.28001736986235864,0.3243531541682827,0.5641739337880807,0.5332145923965091
random_2,R1,1,2,0.17849659396275908,0.1915189630277932,0.0,0.28811702356070296,0.3076571179111064,0.38469625296744264,0.5295357202506884,0.6345441665786089,0.6888497602290081
random_2,R1,1,3,0.14988317664810685,0.18774368783386222,0.28811702356070296,0.0,0.30806005069044234,0.2958542952727582,0.5316489374063764,0.6311909553760842,0.6929633002506361
random_2,R1,1,4,0.18885384356382734,0.14579912527870065,0.3076571179111064,0.30806005069044234,0.0,0.3501836080429812,0.4060755499739291,0.578906412358711,0.6486588057372396
random_2,R1,1,5,0.24795895570112214,0.28001736986235864,0.38469625296744264,0.2958542952727582,0.3501836080429812,0.0,0.6003760661144131,0.6922380508173978,0.7705383777743319
random_2,R1,1,6,0.41038390791176754,0.3243531541682827,0.5295357202506884,0.5316489374063764,0.4060755499739291,0.6003760661144131,0.0,0.8224805524876917,0.6465797500370778
random_2,R1,1,7,0.5418658196126679,0.5641739337880807,0.6345441665786089,0.6311909553760842,0.578906412358711,0.6922380508173978,0.8224805524876917,0.0,1.0
random_2,R1,1,8,0.5639758208953377,0.5332145923965091,0.6888497602290081,0.6929633002506361,0.6486588057372396,0.7705383777743319,0.6465797500370778,1.0,0.0
random_3,R1,2,0,0.0,0.06173523497831046,0.152768316112051,0.13514971997096106,0.17953111884634274,0.2201074879959754,0.40659611404383494,0.5339629623360125,0.5541911588239535
random_3,R1,2,1,0.06173523497831046,0.0,0.18631556211147082,0.18662302674130726,0.18198138326714816,0.28677285671628494,0.27497870630275906,0.5412701215698922,0.44228274866396855
random_3,R1,2,2,0.152768316112051,0.18631556211147082,0.0,0.25906019649374085,0.30342208898569056,0.3760147672694526,0.5213180616922164,0.6373766693713823,0.6857402992451863
random_3,R1,2,3,0.13514971997096106,0.18662302674130726,0.25906019649374085,0.0,0.3106208300963772,0.31520020925829395,0.5340822255119169,0.6396948737084543,0.6868816599100462
random_3,R1,2,4,0.17953111884634274,0.18198138326714816,0.30342208898569056,0.3106208300963772,0.0,0.3865344008514138,0.46256380329463437,0.6491129074316182,0.4910001408694105
random_3,R1,2,5,0.2201074879959754,0.28677285671628494,0.3760147672694526,0.31520020925829395,0.3865344008514138,0.0,0.6210022294775179,0.7499870752826648,0.778721270814517
random_3,R1,2,6,0.40659611404383494,0.27497870630275906,0.5213180616922164,0.5340822255119169,0.46256380329463437,0.6210022294775179,0.0,0.8393969929712706,0.6997707852119712
random_3,R1,2,7,0.5339629623360125,0.5412701215698922,0.6373766693713823,0.6396948737084543,0.6491129074316182,0.7499870752826648,0.8393969929712706,0.0,1.0
random_3,R1,2,8,0.5541911588239535,0.44228274866396855,0.6857402992451863,0.6868816599100462,0.4910001408694105,0.778721270814517,0.6997707852119712,1.0,0.0
random_4,R1,3,0,0.0,0.06430642176105397,0.1784500296756042,0.1520653627172999,0.18688165054863484,0.23911801947269895,0.4159237431249404,0.5534366935387416,0.5807794468835175
random_4,R1,3,1,0.06430642176105397,0.0,0.19036308651751294,0.19225103504034302,0.16245483591622198,0.27724373796704344,0.29267793063096864,0.5355499471053136,0.49374716361802995
random_4,R1,3,2,0.1784500296756042,0.19036308651751294,0.0,0.2668826725278725,0.3171660783858362,0.3750326737868048,0.5463160157900034,0.6789856042247792,0.7053764914566482
random_4,R1,3,3,0.1520653627172999,0.19225103504034302,0.2668826725278725,0.0,0.30744977549395086,0.2991718152445414,0.5419687083488685,0.6270946545277021,0.6956871626291615
random_4,R1,3,4,0.18688165054863484,0.16245483591622198,0.3171660783858362,0.30744977549395086,0.0,0.3802633014006256,0.35851117581571446,0.49572216998029467,0.597750170745725
random_4,R1,3,5,0.23911801947269895,0.27724373796704344,0.3750326737868048,0.2991718152445414,0.3802633014006256,0.0,0.6089330943821873,0.7051260379883209,0.7886793105293423
random_4,R1,3,6,0.4159237431249404,0.29267793063096864,0.5463160157900034,0.5419687083488685,0.35851117581571446,0.6089330943821873,0.0,0.7761621509678917,0.5371905170737287
random_4,R1,3,7,0.5534366935387416,0.5355499471053136,0.6789856042247792,0.6270946545277021,0.49572216998029467,0.7051260379883209,0.7761621509678917,0.0,1.0
random_4,R1,3,8,0.5807794468835175,0.49374716361802995,0.7053764914566482,0.6956871626291615,0.597750170745725,0.7886793105293423,0.5371905170737287,1.0,0.0
random_5,R1,4,0,0.0,0.06770389856173012,0.18193314995493562,0.14502188961937915,0.19840110188266089,0.24875278130906772,0.44494405837367773,0.579592653960072,0.6097650867529155
random_5,R1,4,1,0.06770389856173012,0.0,0.20267671726770148,0.20330219677644487,0.14291499756244663,0.3055661799932859,0.3166529696066522,0.5338724969580358,0.47955733777967774
random_5,R1,4,2,0.18193314995493562,0.20267671726770148,0.0,0.2927394440850187,0.3303552653404165,0.39713226090327036,0.5745112193161676,0.6839062257099309,0.7457678794495677
random_5,R1,4,3,0.14502188961937915,0.20330219677644487,0.2927394440850187,0.0,0.3319090646354374,0.28949235818829894,0.5847864345210634,0.6512614031699548,0.750238836465652
random_5,R1,4,4,0.19840110188266089,0.14291499756244663,0.3303552653404165,0.3319090646354374,0.0,0.4168977872080484,0.3757290989831708,0.5587161116139473,0.482400111126313
random_5,R1,4,5,0.24875278130906772,0.3055661799932859,0.39713226090327036,0.28949235818829894,0.4168977872080484,0.0,0.6680925472842791,0.7236570373014569,0.8424182871454259
random_5,R1,4,6,0.44494405837367773,0.3166529696066522,0.5745112193161676,0.5847864345210634,0.3757290989831708,0.6680925472842791,0.0,0.8583399995499142,0.6437592613786487
random_5,R1,4,7,0.579592653960072,0.5338724969580358,0.6839062257099309,0.6512614031699548,0.5587161116139473,0.7236570373014569,0.8583399995499142,0.0,1.0
random_5,R1,4,8,0.6097650867529155,0.47955733777967774,0.7457678794495677,0.750238836465652,0.482400111126313,0.8424182871454259,0.6437592613786487,1.0,0.0
random_6,R1,5,0,0.0,0.05960417314102979,0.15567335902273938,0.13425321255579753,0.17607170448533482,0.2094959377056438,0.37552915119566355,0.512000616426132,0.5349607408215139
random_6,R1,5,1,0.05960417314102979,0.0,0.17167124329157038,0.17881510794051803,0.16482870690168905,0.2710223002268971,0.38663715219641864,0.5278744921139364,0.3715812782006671
random_6,R1,5,2,0.15567335902273938,0.17167124329157038,0.0,0.25479928645449207,0.29239738083043026,0.35143058263771865,0.5029047523210435,0.597416141924717,0.6447980008047595
random_6,R1,5,3,0.13425321255579753,0.17881510794051803,0.25479928645449207,0.0,0.29491931964798695,0.2872335287764335,0.5121758238176426,0.5910341368543308,0.6554660113119626
random_6,R1,5,4,0.17607170448533482,0.16482870690168905,0.29239738083043026,0.29491931964798695,0.0,0.38881885557312446,0.5117824503732049,0.6333382302622516,0.45027098713167185
