filename,init_locs,seed,type_id,r,0,1,2,3,4,5,6,7,8
random_1,R1,0,0,1,0.0,0.5,0.0,0.158008658008658,0.0,0.4772727272727273,0.0,0.0,0.0
random_1,R1,0,1,1,0.5,0.0,0.0,0.49999999999999994,0.0,1.0,0.0,0.0,0.0
random_1,R1,0,2,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,1,0.158008658008658,0.49999999999999994,0.0,0.0,0.0,0.5,0.0,0.0,0.0
random_1,R1,0,4,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,1,0.4772727272727273,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,2,0.0,0.5,0.0,0.09523809523809525,0.0,0.6363636363636364,0.0,0.0,0.0
random_1,R1,0,1,2,0.5,0.0,0.0,0.4,0.0,1.0,0.0,0.0,0.0
random_1,R1,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,2,0.09523809523809525,0.4,0.0,0.0,0.0,0.49090909090909085,0.0,0.0,0.0
random_1,R1,0,4,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,2,0.6363636363636364,1.0,0.0,0.49090909090909085,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,6,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,3,0.0,0.75,0.0,0.08571428571428573,0.0,0.5279411764705882,0.0,0.0,0.0
random_1,R1,0,1,3,0.75,0.0,0.0,0.6000000000000001,0.0,1.0,0.0,0.0,0.0
random_1,R1,0,2,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,3,3,0.08571428571428573,0.6000000000000001,0.0,0.0,0.0,0.4833333333333333,0.0,0.0,0.0
random_1,R1,0,4,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,3,0.5279411764705882,1.0,0.0,0.4833333333333333,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,6,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,4,0.0,0.75,0.6000000000000001,0.09051724137931036,0.0,0.23592540464461645,0.0,0.0,0.0
random_1,R1,0,1,4,0.75,0.0,1.0,0.5,0.0,0.7714285714285714,0.0,0.0,0.0
random_1,R1,0,2,4,0.6000000000000001,1.0,0.0,0.42857142857142855,0.0,0.5,0.0,0.0,0.0
random_1,R1,0,3,4,0.09051724137931036,0.5,0.42857142857142855,0.0,0.0,0.2520525451559934,0.0,0.0,0.0
random_1,R1,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,5,4,0.23592540464461645,0.7714285714285714,0.5,0.2520525451559934,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,6,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,0,5,0.0,0.8,0.406425702811245,0.1686746987951807,0.538152610441767,0.22838018741633195,0.0,0.0,0.0
random_1,R1,0,1,5,0.8,0.0,0.6666666666666666,0.735,1.0,0.9,0.0,0.0,0.0
random_1,R1,0,2,5,0.406425702811245,0.6666666666666666,0.0,0.3,0.5714285714285714,0.25999999999999995,0.0,0.0,0.0
random_1,R1,0,3,5,0.1686746987951807,0.735,0.3,0.0,0.56,0.17000000000000004,0.0,0.0,0.0
random_1,R1,0,4,5,0.538152610441767,1.0,0.5714285714285714,0.56,0.0,0.6,0.0,0.0,0.0
random_1,R1,0,5,5,0.22838018741633195,0.9,0.25999999999999995,0.17000000000000004,0.6,0.0,0.0,0.0,0.0
random_1,R1,0,6,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_1,R1,0,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,0,1,0.0,0.0,0.4444444444444444,0.0,0.8888888888888888,0.8888888888888888,0.0,0.0,0.0
random_2,R1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,2,1,0.4444444444444444,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
random_2,R1,1,3,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,4,1,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,5,1,0.8888888888888888,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,6,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,7,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,8,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,0,2,0.0,0.0,0.32575757575757575,0.0,1.0,1.0,1.0,0.0,0.0
random_2,R1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,2,2,0.32575757575757575,0.0,0.0,0.0,0.7777777777777778,0.7777777777777778,0.7777777777777778,0.0,0.0
random_2,R1,1,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,4,2,1.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,5,2,1.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,6,2,1.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,7,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,8,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,0,3,0.0,0.0,0.3473684210526316,0.0,1.0,1.0,0.8,0.0,0.0
random_2,R1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,2,3,0.3473684210526316,0.0,0.0,0.0,0.6710526315789476,0.6710526315789476,0.3508771929824561,0.0,0.0
random_2,R1,1,3,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,4,3,1.0,0.0,0.6710526315789476,0.0,0.0,0.0,1.0,0.0,0.0
random_2,R1,1,5,3,1.0,0.0,0.6710526315789476,0.0,0.0,0.0,1.0,0.0,0.0
random_2,R1,1,6,3,0.8,0.0,0.3508771929824561,0.0,1.0,1.0,0.0,0.0,0.0
random_2,R1,1,7,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,8,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,0,4,0.0,0.0,0.3135574103316039,0.0,0.8,0.8,0.6666666666666666,0.0,0.0
random_2,R1,1,1,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,2,4,0.3135574103316039,0.0,0.0,0.0,0.5612903225806452,0.5612903225806452,0.3167155425219941,0.0,0.0
random_2,R1,1,3,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,4,4,0.8,0.0,0.5612903225806452,0.0,0.0,0.0,1.0,0.0,0.0
random_2,R1,1,5,4,0.8,0.0,0.5612903225806452,0.0,0.0,0.0,1.0,0.0,0.0
random_2,R1,1,6,4,0.6666666666666666,0.0,0.3167155425219941,0.0,1.0,1.0,0.0,0.0,0.0
random_2,R1,1,7,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,8,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,0,5,0.0,0.0,0.2936419061838995,0.0,0.5714285714285714,0.6666666666666666,0.5714285714285714,0.0,0.0
random_2,R1,1,1,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,2,5,0.2936419061838995,0.0,0.0,0.0,0.46863370547581074,0.5167464114832536,0.31578947368421056,0.0,0.0
random_2,R1,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,4,5,0.5714285714285714,0.0,0.46863370547581074,0.0,0.0,0.06060606060606057,0.7348484848484849,0.0,0.0
random_2,R1,1,5,5,0.6666666666666666,0.0,0.5167464114832536,0.0,0.06060606060606057,0.0,1.0,0.0,0.0
random_2,R1,1,6,5,0.5714285714285714,0.0,0.31578947368421056,0.0,0.7348484848484849,1.0,0.0,0.0,0.0
random_2,R1,1,7,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
random_2,R1,1,8,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
