filename,sample_time,r,mae,mdae
random_1,0,1,0.3222222222222222,0.125
random_1,0,2,0.20512820512820512,0.12115384615384617
random_1,0,3,0.14,0.10999999999999999
random_1,0,4,0.10420054200542005,0.0792682926829269
random_1,0,5,0.08989071038251366,0.11106557377049187
random_1,100,1,0.27072222222222225,0.03955
random_1,100,2,0.2764632478632479,0.02545
random_1,100,3,0.1908222222222222,0.0137
random_1,100,4,0.2061067750677507,0.013254878048780488
random_1,100,5,0.19516065573770489,0.00955
random_1,200,1,0.7022833333333334,0.0652
random_1,200,2,0.6034764957264956,0.02673846153846153
random_1,200,3,0.5766388888888888,0.025199999999999993
random_1,200,4,0.567099593495935,0.0303
random_1,200,5,0.5792257741347905,0.0303
random_1,300,1,0.23966666666666667,0.06395
random_1,300,2,0.2256478632478632,0.01915
random_1,300,3,0.17134444444444447,0.025499999999999995
random_1,300,4,0.16660271002710025,0.020870731707317083
random_1,300,5,0.1620357012750456,0.013130327868852452
random_1,400,1,0.21610555555555558,0.0486
random_1,400,2,0.16982179487179488,0.02485
random_1,400,3,0.18670555555555557,0.03225
random_1,400,4,0.15559444444444448,0.03225
random_1,400,5,0.15559444444444445,0.03220655737704918
random_1,500,1,0.17705555555555555,0.0027
random_1,500,2,0.05881196581196581,0.0027
random_1,500,3,0.029255555555555503,0.0027
random_1,500,4,0.04085447154471541,0.0027
random_1,500,5,0.06637759562841533,0.0027
random_1,600,1,0.2031888888888889,0.00435
random_1,600,2,0.18927521367521366,0.00435
random_1,600,3,0.14985555555555552,0.00435
random_1,600,4,0.12378509485094852,0.00435
random_1,600,5,0.09967213114754096,0.003846721311475407
random_2,0,1,0.3222222222222222,0.125
random_2,0,2,0.20512820512820512,0.12115384615384617
random_2,0,3,0.14,0.10999999999999999
random_2,0,4,0.10420054200542005,0.0792682926829269
random_2,0,5,0.08989071038251366,0.11106557377049187
random_2,100,1,0.3015,0.06440000000000001
random_2,100,2,0.2636333333333333,0.05092307692307693
random_2,100,3,0.27277777777777773,0.014699999999999998
random_2,100,4,0.26190081300813006,0.01618536585365854
random_2,100,5,0.2546837887067395,0.03830655737704919
random_2,200,1,0.6308222222222222,0.05190000000000001
random_2,200,2,0.5653846153846155,0.0275
random_2,200,3,0.5342333333333333,0.028099999999999997
random_2,200,4,0.5224718157181572,0.03590487804878048
random_2,200,5,0.49299471766848807,0.02918360655737704
random_2,300,1,0.11722222222222221,0.06435
random_2,300,2,0.18047008547008547,0.13700769230769233
random_2,300,3,0.11317777777777777,0.08180000000000004
random_2,300,4,0.12966720867208667,0.0422609756097561
random_2,300,5,0.13468214936247724,0.034863934426229495
random_2,400,1,0.15819444444444447,0.0668
random_2,400,2,0.15733974358974356,0.06149230769230771
random_2,400,3,0.13512777777777785,0.03294999999999998
random_2,400,4,0.1500329268292683,0.03997073170731707
random_2,400,5,0.15108078324225863,0.07458934426229502
random_2,500,1,0.18717222222222224,0.04830000000000001
random_2,500,2,0.17343632478632487,0.021326923076923077
random_2,500,3,0.1642055555555556,0.0267
random_2,500,4,0.18604837398373986,0.06084634146341464
random_2,500,5,0.17014362477231332,0.04965081967213114
random_2,600,1,0.05361111111111113,0.02750000000000001
random_2,600,2,0.06557692307692307,0.033461538461538466
random_2,600,3,0.08250000000000006,0.007500000000000007
random_2,600,4,0.11268970189701905,0.0071951219512195125
random_2,600,5,0.11608834244080152,0.0031967213114754067
random_3,0,1,0.3222222222222222,0.125
random_3,0,2,0.20512820512820512,0.12115384615384617
random_3,0,3,0.14,0.10999999999999999
