filename,r,mae,mdae
random_1,1,0.2959637566137565,0.14695952380952382
random_1,2,0.2596574074074075,0.10593388278388276
random_1,3,0.2520383597883598,0.09743571428571429
random_1,4,0.24677031229836097,0.11397462253193959
random_1,5,0.2570011406019603,0.11542166276346603
random_2,1,0.44590079365079366,0.14695952380952382
random_2,2,0.4289695767195767,0.09523809523809523
random_2,3,0.4251600529100529,0.10285714285714287
random_2,4,0.43698840495547814,0.1186203832752613
random_2,5,0.43863007632925666,0.12646370023419204
random_3,1,0.4416679894179894,0.10139285714285723
random_3,2,0.4322255799755799,0.14256391941391938
random_3,3,0.4395515873015872,0.059142857142857164
random_3,4,0.4460218286230481,0.07893379790940766
random_3,5,0.43972506288489893,0.09668629976580798
random_4,1,0.41236587301587296,0.057142857142857155
random_4,2,0.4061775539275539,0.04712820512820515
random_4,3,0.4035727513227513,0.09723809523809526
random_4,4,0.40756525358110723,0.11149825783972124
random_4,5,0.4091392271662764,0.11553473848555816
random_5,1,0.5263240740740741,0.13333333333333333
random_5,2,0.4639716117216117,0.12058589743589743
random_5,3,0.47002777777777777,0.11648333333333331
random_5,4,0.4707814234094722,0.12791190476190475
random_5,5,0.4607156084656085,0.11834660421545665
random_6,1,0.5178584656084656,0.12791190476190475
random_6,2,0.49897364672364664,0.08395586080586079
random_6,3,0.5326732804232804,0.10124523809523807
random_6,4,0.5471961736998322,0.12326614401858303
random_6,5,0.544103230982739,0.13103446526151444
random_7,1,0.28961455026455024,0.057142857142857155
random_7,2,0.23426249491249485,0.029304029304029307
random_7,3,0.21547539682539685,0.02666666666666667
random_7,4,0.21657286746676985,0.030197444831591178
random_7,5,0.21710175644028107,0.03590944574551132
random_8,1,0.2736044973544974,0.057142857142857155
random_8,2,0.30605545380545385,0.07643223443223446
random_8,3,0.297329365079365,0.07238095238095239
random_8,4,0.29038884372177054,0.08362369337979095
random_8,5,0.29932918293000255,0.08587041373926618
random_9,1,0.4607156084656085,0.08961904761904763
random_9,2,0.4248995726495726,0.03663003663003663
random_9,3,0.4099219576719576,0.04190476190476191
random_9,4,0.4060166666666667,0.03948896631823461
random_9,5,0.41451697024893747,0.04808899297423885
random_10,1,0.48009074074074065,0.07619047619047618
random_10,2,0.4906727513227513,0.09860787545787544
random_10,3,0.48643994708994703,0.10886428571428568
random_10,4,0.4955766098851464,0.10468310104529613
random_10,5,0.49830567698846384,0.10137014051522247
random_11,1,0.34464100529100533,0.07619047619047618
random_11,2,0.3392685999185999,0.03999981684981682
random_11,3,0.34802724867724855,0.036483333333333284
random_11,4,0.3443312879081171,0.04196533101045294
random_11,5,0.3491166753404458,0.03903200624512099
random_12,1,0.42506428571428573,0.16600714285714283
random_12,2,0.44753070818070806,0.09841025641025644
random_12,3,0.44919126984126984,0.14676190476190473
random_12,4,0.43363313330752346,0.15094308943089432
random_12,5,0.4394974542458148,0.15893989071038248
random_13,1,0.250607671957672,0.057142857142857155
random_13,2,0.2595616809116808,0.06989029304029307
random_13,3,0.26372936507936506,0.049523809523809526
random_13,4,0.2707734094721899,0.05342624854819977
random_13,5,0.27330784543325526,0.05932864949258392
random_14,1,0.40905423280423264,0.032673809523809466
random_14,2,0.36945179080179086,0.03247619047619052
random_14,3,0.3552230158730158,0.032476190476190464
random_14,4,0.3608495483288166,0.030350929152148654
random_14,5,0.3718419767542718,0.06994691647150664
random_15,1,0.3307034391534391,0.032476190476190464
random_15,2,0.37361752136752124,0.06593406593406594
random_15,3,0.37013359788359784,0.05714285714285714
random_15,4,0.3840783520454252,0.0605483739837398
random_15,5,0.38068923150316586,0.07326709601873535
random_16,1,0.3824087301587301,0.057142857142857155
random_16,2,0.34985061050061045,0.0805860805860806
random_16,3,0.3616679894179894,0.07999999999999999
random_16,4,0.3608495483288166,0.07428803716608598
random_16,5,0.3426980787579147,0.07150819672131142
random_17,1,0.26389021164021165,0.057142857142857155
random_17,2,0.24581939356939353,0.04712820512820515
random_17,3,0.23722354497354495,0.055333333333333345
random_17,4,0.2315247451284036,0.044090592334494805
random_17,5,0.2372790571602047,0.034037470725995306
random_18,1,0.49278915343915336,0.07619047619047618
random_18,2,0.4345066951566951,0.04395604395604396
random_18,3,0.4043235449735449,0.059340476190476166
random_18,4,0.4031775906568589,0.07448565621370495
random_18,5,0.3971694119177725,0.0638994145199063
random_19,1,0.3785034391534391,0.11428571428571431
random_19,2,0.3736175213675213,0.058608058608058615
random_19,3,0.36801719576719566,0.08199999999999999
random_19,4,0.38252976513098463,0.1137770034843206
random_19,5,0.38953648625206,0.13571830601092896
random_20,1,0.507276455026455,0.13333333333333336
random_20,2,0.4857887464387464,0.09108424908424911
random_20,3,0.4856891534391534,0.06695952380952377
random_20,4,0.4891241644083107,0.08590243902439029
random_20,5,0.4804376919073639,0.08399843871975018
clustered_1,1,0.34431349206349204,0.08981666666666663
clustered_1,2,0.33291748066748067,0.08381043956043949
clustered_1,3,0.3476997354497355,0.06329761904761905
clustered_1,4,0.33736264679313455,0.0628712543554007
clustered_1,5,0.33072826350941104,0.06702197501951601
clustered_2,1,0.2194457671957671,0.057142857142857155
clustered_2,2,0.21413852258852267,0.0617802197802198
clustered_2,3,0.22657645502645504,0.03428571428571429
clustered_2,4,0.24139377339011484,0.04176771196283391
clustered_2,5,0.2302617182756526,0.024980483996877436
clustered_3,1,0.32526587301587295,0.10139285714285712
clustered_3,2,0.2474473951973952,0.09128186813186812
clustered_3,3,0.241360582010582,0.09743571428571426
clustered_3,4,0.24419914182475166,0.10468310104529613
clustered_3,5,0.2528377266024806,0.0951250195160031
clustered_4,1,0.3845251322751323,0.14695952380952382
clustered_4,2,0.33058455433455436,0.07662985347985346
clustered_4,3,0.3239748677248678,0.07853571428571432
clustered_4,4,0.3291035165827848,0.03716608594657376
clustered_4,5,0.3230460274091422,0.04371584699453552
clustered_5,1,0.4056891534391534,0.1966309523809524
clustered_5,2,0.39885154660154654,0.14969230769230765
clustered_5,3,0.37892671957671953,0.0972380952380952
clustered_5,4,0.3822716673119112,0.10003734030197443
