filename,r,sample_time,sample_id,mae_sh,mae_si,mdae_sh,mdae_si
random_1,1,0,0,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,1,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,2,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,3,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,4,0.8483977453141883,0.19374999999999998,0.8483977453141883,0.19374999999999998
random_1,1,0,5,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,6,0.8483977453141883,0.19374999999999998,0.8483977453141883,0.19374999999999998
random_1,1,0,7,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,8,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,9,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,10,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,11,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,12,0.8483977453141883,0.19374999999999998,0.8483977453141883,0.19374999999999998
random_1,1,0,13,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,1,0,14,0.8483977453141883,0.19374999999999998,0.8483977453141883,0.19374999999999998
random_1,1,0,15,1.5415449258741336,0.69375,1.5415449258741336,0.69375
random_1,2,0,0,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,1,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,2,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,3,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,4,0.44293263720602405,0.027083333333333237,0.44293263720602405,0.027083333333333237
random_1,2,0,5,0.5912743866408988,0.13375000000000004,0.5912743866408988,0.13375000000000004
random_1,2,0,6,0.44293263720602405,0.027083333333333237,0.44293263720602405,0.027083333333333237
random_1,2,0,7,0.5912743866408988,0.13375000000000004,0.5912743866408988,0.13375000000000004
random_1,2,0,8,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,9,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,10,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,11,0.9050307575793208,0.24930555555555556,0.9050307575793208,0.24930555555555556
random_1,2,0,12,0.44293263720602405,0.027083333333333237,0.44293263720602405,0.027083333333333237
random_1,2,0,13,0.5912743866408988,0.13375000000000004,0.5912743866408988,0.13375000000000004
random_1,2,0,14,0.44293263720602405,0.027083333333333237,0.44293263720602405,0.027083333333333237
random_1,2,0,15,0.5912743866408988,0.13375000000000004,0.5912743866408988,0.13375000000000004
random_1,3,0,0,0.6928593681477164,0.1999228395061729,0.6928593681477164,0.1999228395061729
random_1,3,0,1,0.2645106664079946,0.00012755102040817867,0.2645106664079946,0.00012755102040817867
random_1,3,0,2,0.6928593681477164,0.1999228395061729,0.6928593681477164,0.1999228395061729
random_1,3,0,3,0.2645106664079946,0.00012755102040817867,0.2645106664079946,0.00012755102040817867
random_1,3,0,4,0.3266552719250133,0.027083333333333237,0.3266552719250133,0.027083333333333237
random_1,3,0,5,0.507982871667316,0.14829545454545445,0.507982871667316,0.14829545454545445
random_1,3,0,6,0.3266552719250133,0.027083333333333237,0.3266552719250133,0.027083333333333237
random_1,3,0,7,0.507982871667316,0.14829545454545445,0.507982871667316,0.14829545454545445
random_1,3,0,8,0.6928593681477164,0.1999228395061729,0.6928593681477164,0.1999228395061729
random_1,3,0,9,0.2645106664079946,0.00012755102040817867,0.2645106664079946,0.00012755102040817867
random_1,3,0,10,0.6928593681477164,0.1999228395061729,0.6928593681477164,0.1999228395061729
random_1,3,0,11,0.2645106664079946,0.00012755102040817867,0.2645106664079946,0.00012755102040817867
