filename,sample_time,r,sample_id,mae,mdae
random_1,0,1,0,0.4444444444444444,0.275
random_1,0,1,1,0.4555555555555555,0.275
random_1,0,1,2,0.4444444444444444,0.275
random_1,0,1,3,0.4555555555555555,0.275
random_1,0,1,4,0.38333333333333336,0.275
random_1,0,1,5,0.5611111111111111,0.275
random_1,0,1,6,0.38333333333333336,0.275
random_1,0,1,7,0.5611111111111111,0.275
random_1,0,1,8,0.4444444444444444,0.275
random_1,0,1,9,0.4555555555555555,0.275
random_1,0,1,10,0.4444444444444444,0.275
random_1,0,1,11,0.4555555555555555,0.275
random_1,0,1,12,0.38333333333333336,0.275
random_1,0,1,13,0.5611111111111111,0.275
random_1,0,1,14,0.38333333333333336,0.275
random_1,0,1,15,0.5611111111111111,0.275
random_1,0,2,0,0.33162393162393156,0.275
random_1,0,2,1,0.23931623931623924,0.2
random_1,0,2,2,0.33162393162393156,0.275
random_1,0,2,3,0.23931623931623924,0.2
random_1,0,2,4,0.31495726495726495,0.2
random_1,0,2,5,0.17820512820512818,0.15384615384615352
random_1,0,2,6,0.31495726495726495,0.2
random_1,0,2,7,0.17820512820512818,0.15384615384615352
random_1,0,2,8,0.33162393162393156,0.275
random_1,0,2,9,0.23931623931623924,0.2
random_1,0,2,10,0.33162393162393156,0.275
random_1,0,2,11,0.23931623931623924,0.2
random_1,0,2,12,0.31495726495726495,0.2
random_1,0,2,13,0.17820512820512818,0.15384615384615352
random_1,0,2,14,0.31495726495726495,0.2
random_1,0,2,15,0.17820512820512818,0.15384615384615352
random_1,0,3,0,0.2222222222222222,0.08000000000000007
random_1,0,3,1,0.2522222222222222,0.05499999999999999
random_1,0,3,2,0.2222222222222222,0.08000000000000007
random_1,0,3,3,0.2522222222222222,0.05499999999999999
random_1,0,3,4,0.20777777777777776,0.12
random_1,0,3,5,0.1766666666666667,0.2
random_1,0,3,6,0.20777777777777776,0.12
random_1,0,3,7,0.1766666666666667,0.2
random_1,0,3,8,0.2222222222222222,0.08000000000000007
random_1,0,3,9,0.2522222222222222,0.05499999999999999
random_1,0,3,10,0.2222222222222222,0.08000000000000007
random_1,0,3,11,0.2522222222222222,0.05499999999999999
random_1,0,3,12,0.20777777777777776,0.12
random_1,0,3,13,0.1766666666666667,0.2
random_1,0,3,14,0.20777777777777776,0.12
random_1,0,3,15,0.1766666666666667,0.2
random_1,0,4,0,0.18319783197831974,0.16463414634146345
random_1,0,4,1,0.18766937669376696,0.07987804878048782
random_1,0,4,2,0.18319783197831974,0.16463414634146345
random_1,0,4,3,0.18766937669376696,0.07987804878048782
random_1,0,4,4,0.09878048780487807,0.07987804878048782
random_1,0,4,5,0.14742547425474253,0.1451219512195122
random_1,0,4,6,0.09878048780487807,0.07987804878048782
random_1,0,4,7,0.14742547425474253,0.1451219512195122
random_1,0,4,8,0.18319783197831974,0.16463414634146345
random_1,0,4,9,0.18766937669376696,0.07987804878048782
random_1,0,4,10,0.18319783197831974,0.16463414634146345
random_1,0,4,11,0.18766937669376696,0.07987804878048782
random_1,0,4,12,0.09878048780487807,0.07987804878048782
random_1,0,4,13,0.14742547425474253,0.1451219512195122
random_1,0,4,14,0.09878048780487807,0.07987804878048782
random_1,0,4,15,0.14742547425474253,0.1451219512195122
random_1,0,5,0,0.14590163934426234,0.06229508196721306
random_1,0,5,1,0.09881602914389798,0.09426229508196726
random_1,0,5,2,0.14590163934426234,0.06229508196721306
random_1,0,5,3,0.09881602914389798,0.09426229508196726
random_1,0,5,4,0.09735883424408015,0.0688524590163935
random_1,0,5,5,0.12823315118397086,0.09836065573770503
random_1,0,5,6,0.09735883424408015,0.0688524590163935
random_1,0,5,7,0.12823315118397086,0.09836065573770503
random_1,0,5,8,0.14590163934426234,0.06229508196721306
random_1,0,5,9,0.09881602914389798,0.09426229508196726
random_1,0,5,10,0.14590163934426234,0.06229508196721306
random_1,0,5,11,0.09881602914389798,0.09426229508196726
random_1,0,5,12,0.09735883424408015,0.0688524590163935
random_1,0,5,13,0.12823315118397086,0.09836065573770503
random_1,0,5,14,0.09735883424408015,0.0688524590163935
random_1,0,5,15,0.12823315118397086,0.09836065573770503
random_1,100,1,0,0.35555555555555557,0.275
random_1,100,1,1,0.6277777777777778,0.275
random_1,100,1,2,0.7,0.75
random_1,100,1,3,1.4222222222222225,0.275
random_1,100,1,4,0.7166666666666666,0.275
random_1,100,1,5,0.44999999999999996,0.275
random_1,100,1,6,0.4444444444444444,0.275
random_1,100,1,7,0.8055555555555556,0.275
random_1,100,1,8,1.0666666666666669,0.275
random_1,100,1,9,0.35555555555555557,0.275
random_1,100,1,10,0.9833333333333335,0.275
random_1,100,1,11,0.4444444444444444,0.275
random_1,100,1,12,0.4444444444444444,0.275
random_1,100,1,13,0.4444444444444444,0.275
random_1,100,1,14,0.5666666666666667,0.275
random_1,100,1,15,0.7111111111111111,0.275
random_1,100,2,0,0.27350427350427353,0.275
random_1,100,2,1,1.0790598290598294,0.24038461538461542
random_1,100,2,2,1.247008547008547,0.3403846153846154
random_1,100,2,3,1.5132478632478634,0.275
random_1,100,2,4,0.2927350427350427,0.2
random_1,100,2,5,0.8055555555555558,0.275
random_1,100,2,6,0.4444444444444444,0.275
random_1,100,2,7,0.6688034188034186,0.275
random_1,100,2,8,0.7521367521367521,0.275
random_1,100,2,9,0.23162393162393158,0.2
random_1,100,2,10,0.532051282051282,0.275
random_1,100,2,11,0.29743589743589743,0.275
random_1,100,2,12,0.4444444444444444,0.275
random_1,100,2,13,0.4444444444444444,0.275
random_1,100,2,14,0.30000000000000004,0.24038461538461542
random_1,100,2,15,0.35085470085470083,0.275
random_1,100,3,0,0.45333333333333325,0.275
random_1,100,3,1,0.9477777777777779,0.275
random_1,100,3,2,0.8066666666666666,0.275
random_1,100,3,3,1.1522222222222223,0.275
random_1,100,3,4,0.38222222222222224,0.275
random_1,100,3,5,0.4855555555555556,0.275
random_1,100,3,6,0.40888888888888886,0.2
random_1,100,3,7,0.5566666666666666,0.275
random_1,100,3,8,0.6044444444444445,0.275
random_1,100,3,9,0.20555555555555557,0.05499999999999999
random_1,100,3,10,0.3788888888888889,0.265
random_1,100,3,11,0.3111111111111111,0.275
random_1,100,3,12,0.3733333333333333,0.2
random_1,100,3,13,0.4444444444444444,0.275
random_1,100,3,14,0.3355555555555555,0.2
random_1,100,3,15,0.4177777777777778,0.12
random_1,100,4,0,0.4575880758807588,0.275
random_1,100,4,1,1.109078590785908,0.275
random_1,100,4,2,0.5482384823848238,0.1902439024390244
random_1,100,4,3,1.1947154471544719,0.275
random_1,100,4,4,0.45203252032520325,0.275
random_1,100,4,5,0.41531165311653123,0.275
random_1,100,4,6,0.4227642276422764,0.2
random_1,100,4,7,0.5670731707317073,0.275
random_1,100,4,8,0.5203252032520325,0.1798780487804878
random_1,100,4,9,0.16598915989159893,0.05
random_1,100,4,10,0.5670731707317073,0.21036585365853655
random_1,100,4,11,0.2384823848238482,0.275
random_1,100,4,12,0.37940379403794044,0.2
random_1,100,4,13,0.4444444444444444,0.275
random_1,100,4,14,0.27831978319783196,0.11524390243902438
random_1,100,4,15,0.4153116531165312,0.275
random_1,100,5,0,0.4551001821493625,0.275
random_1,100,5,1,1.1261384335154827,0.275
random_1,100,5,2,0.71183970856102,0.1934426229508196
