filename,r,sample_time,mae_sh,mae_si,mdae_sh,mdae_si
random_1,1,0,0.15525056475424304,0.05625000000000002,0.15525056475424304,0.05625000000000002
random_1,2,0,0.3261568247905191,0.08150510204081629,0.3261568247905191,0.08150510204081629
random_1,3,0,0.14270094646927856,0.03634259259259254,0.14270094646927856,0.03634259259259254
random_1,4,0,0.11797742468733863,0.028122911561594965,0.11797742468733863,0.028122911561594965
random_1,5,0,0.13088715527467576,0.03343032142545199,0.13088715527467576,0.03343032142545199
random_1,1,100,0.4291960434726084,0.20073853817712056,0.4291960434726084,0.20073853817712056
random_1,2,100,0.4100644655975165,0.17898007989184556,0.4100644655975165,0.17898007989184556
random_1,3,100,0.3987634361434038,0.18632151908190064,0.3987634361434038,0.18632151908190064
random_1,4,100,0.4173103811028872,0.19884153938120058,0.4173103811028872,0.19884153938120058
random_1,5,100,0.3794421241223034,0.17363899872370459,0.3794421241223034,0.17363899872370459
random_1,1,200,0.7484141601261287,0.4102346871222489,0.7484141601261287,0.4102346871222489
random_1,2,200,0.7870949402704492,0.4508495674377994,0.7870949402704492,0.4508495674377994
random_1,3,200,0.7458550431816273,0.4407197734512336,0.7458550431816273,0.4407197734512336
random_1,4,200,0.7490294823527687,0.4456176837552455,0.7490294823527687,0.4456176837552455
random_1,5,200,0.7177941534147462,0.43735618358535333,0.7177941534147462,0.43735618358535333
random_1,1,300,0.23039690204494967,0.07970596975248201,0.23039690204494967,0.07970596975248201
random_1,2,300,0.25125654559980726,0.10142948667413432,0.25125654559980726,0.10142948667413432
random_1,3,300,0.10269895689864383,0.049693609503167924,0.10269895689864383,0.049693609503167924
random_1,4,300,0.14318558846168328,0.06038931440896067,0.14318558846168328,0.06038931440896067
random_1,5,300,0.19909829115510647,0.07267802501511123,0.19909829115510647,0.07267802501511123
random_1,1,400,0.12481845353835386,0.05964289514226628,0.12481845353835386,0.05964289514226628
random_1,2,400,0.09605699462486472,0.0815798571041052,0.09605699462486472,0.0815798571041052
random_1,3,400,0.0702721591380775,0.08227977530755548,0.0702721591380775,0.08227977530755548
random_1,4,400,0.1125283648820703,0.02673768347082095,0.1125283648820703,0.02673768347082095
random_1,5,400,0.06785121335500188,0.033801175534312944,0.06785121335500188,0.033801175534312944
random_1,1,500,0.05194461930013072,0.04817486627871603,0.05194461930013072,0.04817486627871603
random_1,2,500,0.004151288247577156,0.019887527916248704,0.004151288247577156,0.019887527916248704
random_1,3,500,0.039094635047911,0.010190454718495445,0.039094635047911,0.010190454718495445
random_1,4,500,0.04389532302199195,0.0057126313477223745,0.04389532302199195,0.0057126313477223745
random_1,5,500,0.05617440559353282,0.007479752347930635,0.05617440559353282,0.007479752347930635
random_1,1,600,0.30993538760605,0.12184291016970933,0.30993538760605,0.12184291016970933
random_1,2,600,0.12013659427146861,0.07480046456471234,0.12013659427146861,0.07480046456471234
random_1,3,600,0.1441114510896061,0.05779691625433758,0.1441114510896061,0.05779691625433758
random_1,4,600,0.11890231226225079,0.04387398443895918,0.11890231226225079,0.04387398443895918
random_1,5,600,0.06033565351738979,0.024642139490095416,0.06033565351738979,0.024642139490095416
random_2,1,0,0.15525056475424304,0.05625000000000002,0.15525056475424304,0.05625000000000002
