filename,r,acc,prec,rec
random_1,1,0.4444444444444444,1.0,0.4444444444444444
random_1,2,0.4444444444444444,1.0,0.4444444444444444
random_1,3,0.4444444444444444,1.0,0.4444444444444444
random_1,4,0.5555555555555556,1.0,0.5555555555555556
random_1,5,0.6666666666666666,1.0,0.6666666666666666
random_2,1,0.4444444444444444,1.0,0.4444444444444444
random_2,2,0.5555555555555556,1.0,0.5555555555555556
random_2,3,0.5555555555555556,1.0,0.5555555555555556
random_2,4,0.5555555555555556,1.0,0.5555555555555556
random_2,5,0.5555555555555556,1.0,0.5555555555555556
random_3,1,0.6666666666666666,1.0,0.6666666666666666
random_3,2,0.6666666666666666,1.0,0.6666666666666666
random_3,3,0.7777777777777778,1.0,0.7777777777777778
random_3,4,0.7777777777777778,1.0,0.7777777777777778
random_3,5,0.8888888888888888,1.0,0.8888888888888888
random_4,1,0.1111111111111111,1.0,0.1111111111111111
random_4,2,0.2222222222222222,1.0,0.2222222222222222
random_4,3,0.2222222222222222,1.0,0.2222222222222222
random_4,4,0.3333333333333333,1.0,0.3333333333333333
random_4,5,0.5555555555555556,1.0,0.5555555555555556
random_5,1,0.7777777777777778,1.0,0.7777777777777778
random_5,2,0.7777777777777778,1.0,0.7777777777777778
random_5,3,0.7777777777777778,1.0,0.7777777777777778
random_5,4,0.7777777777777778,1.0,0.7777777777777778
random_5,5,0.8888888888888888,1.0,0.8888888888888888
random_6,1,0.3333333333333333,1.0,0.3333333333333333
random_6,2,0.3333333333333333,1.0,0.3333333333333333
random_6,3,0.3333333333333333,1.0,0.3333333333333333
random_6,4,0.5555555555555556,1.0,0.5555555555555556
random_6,5,0.6666666666666666,1.0,0.6666666666666666
random_7,1,0.4444444444444444,1.0,0.4444444444444444
random_7,2,0.4444444444444444,1.0,0.4444444444444444
random_7,3,0.4444444444444444,1.0,0.4444444444444444
random_7,4,0.4444444444444444,1.0,0.4444444444444444
random_7,5,0.4444444444444444,1.0,0.4444444444444444
random_8,1,0.4444444444444444,1.0,0.4444444444444444
random_8,2,0.5555555555555556,1.0,0.5555555555555556
random_8,3,0.5555555555555556,1.0,0.5555555555555556
random_8,4,0.5555555555555556,1.0,0.5555555555555556
random_8,5,0.5555555555555556,1.0,0.5555555555555556
random_9,1,0.3333333333333333,1.0,0.3333333333333333
random_9,2,0.5555555555555556,1.0,0.5555555555555556
random_9,3,0.5555555555555556,1.0,0.5555555555555556
random_9,4,0.5555555555555556,1.0,0.5555555555555556
random_9,5,0.5555555555555556,1.0,0.5555555555555556
random_10,1,0.5555555555555556,1.0,0.5555555555555556
random_10,2,0.6666666666666666,1.0,0.6666666666666666
random_10,3,0.6666666666666666,1.0,0.6666666666666666
random_10,4,0.7777777777777778,1.0,0.7777777777777778
random_10,5,0.8888888888888888,1.0,0.8888888888888888
random_11,1,0.5555555555555556,1.0,0.5555555555555556
random_11,2,0.8888888888888888,1.0,0.8888888888888888
random_11,3,0.8888888888888888,1.0,0.8888888888888888
random_11,4,0.8888888888888888,1.0,0.8888888888888888
random_11,5,0.8888888888888888,1.0,0.8888888888888888
random_12,1,0.7777777777777778,1.0,0.7777777777777778
random_12,2,0.7777777777777778,1.0,0.7777777777777778
random_12,3,0.7777777777777778,1.0,0.7777777777777778
random_12,4,0.8888888888888888,1.0,0.8888888888888888
random_12,5,0.8888888888888888,1.0,0.8888888888888888
random_13,1,0.5555555555555556,1.0,0.5555555555555556
random_13,2,0.7777777777777778,1.0,0.7777777777777778
random_13,3,0.7777777777777778,1.0,0.7777777777777778
random_13,4,0.7777777777777778,1.0,0.7777777777777778
random_13,5,0.7777777777777778,1.0,0.7777777777777778
random_14,1,0.6666666666666666,1.0,0.6666666666666666
random_14,2,0.6666666666666666,1.0,0.6666666666666666
random_14,3,0.6666666666666666,1.0,0.6666666666666666
random_14,4,0.8888888888888888,1.0,0.8888888888888888
random_14,5,1.0,1.0,1.0
random_15,1,0.2222222222222222,1.0,0.2222222222222222
random_15,2,0.3333333333333333,1.0,0.3333333333333333
random_15,3,0.5555555555555556,1.0,0.5555555555555556
random_15,4,0.6666666666666666,1.0,0.6666666666666666
random_15,5,0.6666666666666666,1.0,0.6666666666666666
random_16,1,0.3333333333333333,1.0,0.3333333333333333
random_16,2,0.5555555555555556,1.0,0.5555555555555556
random_16,3,0.5555555555555556,1.0,0.5555555555555556
random_16,4,0.6666666666666666,1.0,0.6666666666666666
random_16,5,0.6666666666666666,1.0,0.6666666666666666
random_17,1,0.2222222222222222,1.0,0.2222222222222222
random_17,2,0.3333333333333333,1.0,0.3333333333333333
random_17,3,0.4444444444444444,1.0,0.4444444444444444
random_17,4,0.5555555555555556,1.0,0.5555555555555556
random_17,5,0.5555555555555556,1.0,0.5555555555555556
random_18,1,0.4444444444444444,1.0,0.4444444444444444
random_18,2,0.4444444444444444,1.0,0.4444444444444444
random_18,3,0.5555555555555556,1.0,0.5555555555555556
random_18,4,0.6666666666666666,1.0,0.6666666666666666
random_18,5,0.7777777777777778,1.0,0.7777777777777778
random_19,1,0.3333333333333333,1.0,0.3333333333333333
random_19,2,0.4444444444444444,1.0,0.4444444444444444
random_19,3,0.7777777777777778,1.0,0.7777777777777778
