filename,r,sample_id,type_id,mae,mdae,r2
random_1,1,0,0,0.6943148638432873,0.7745441946905268,-3.212224736129188
random_1,2,0,0,0.6963259246778776,0.7745441946905268,-3.2319648520348183
random_1,3,0,0,0.6978867480121864,0.7745441946905268,-3.2476206578987226
random_1,4,0,0,0.6976207822435454,0.7745441946905268,-3.2449321926090597
random_1,5,0,0,0.589282244203506,0.7716810337743675,-2.522002085830362
random_1,1,1,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,2,1,0,0.6798733666431693,0.7716810337743675,-3.046262868851338
random_1,3,1,0,0.6114266872051106,0.7245822448911706,-2.597201214861179
random_1,4,1,0,0.6158597759542371,0.7083676222496612,-2.4840934102155927
random_1,5,1,0,0.6045712740996976,0.7065533987373245,-2.3423128518544223
random_1,1,2,0,0.5917507612791847,0.7745441946905268,-2.5573775596953956
random_1,2,2,0,0.5917507612791847,0.7745441946905268,-2.5573775596953956
random_1,3,2,0,0.5917507612791847,0.7745441946905268,-2.5573775596953956
random_1,4,2,0,0.5907025432498346,0.7745441946905268,-2.5462041814736254
random_1,5,2,0,0.591029260557684,0.7745441946905268,-2.5496726232962352
random_1,1,3,0,0.6857678552962787,0.7745441946905268,-3.1337535778133656
random_1,2,3,0,0.6799860553968318,0.7745441946905268,-3.085650050720977
random_1,3,3,0,0.6746695009143422,0.7745441946905268,-3.04496408077876
random_1,4,3,0,0.5659474458988619,0.7716810337743675,-2.318748844804114
random_1,5,3,0,0.5668323052742874,0.7716810337743675,-2.3252730361473635
random_1,1,4,0,0.643032812561236,0.7745441946905268,-2.873131618824006
random_1,2,4,0,0.6636461861157861,0.7745441946905268,-2.9714330258022748
random_1,3,4,0,0.6678805291067138,0.7589191946905268,-2.975018184860376
random_1,4,4,0,0.6476557228445237,0.7273743833697721,-2.7450014453393217
random_1,5,4,0,0.6362155557439793,0.7424929126392448,-2.6552274118928096
random_1,1,5,0,0.576324985820891,0.7716810337743675,-2.403671092946007
random_1,2,5,0,0.5783234628620283,0.6551724137931034,-2.2527270857348594
random_1,3,5,0,0.5763944289059632,0.7779870956374393,-2.3283003948138568
random_1,4,5,0,0.568118209344746,0.7932732826270197,-2.2164127966038003
random_1,5,5,0,0.5347043594051967,0.7768425925748197,-1.801794737478764
random_1,1,6,0,0.6943148638432873,0.7745441946905268,-3.212224736129188
random_1,2,6,0,0.6963259246778776,0.7745441946905268,-3.2319648520348183
random_1,3,6,0,0.6962283732194832,0.7745441946905268,-3.2309960886004685
random_1,4,6,0,0.695524346184845,0.7745441946905268,-3.22403846330913
random_1,5,6,0,0.6949253644537879,0.7745441946905268,-3.2181658745614135
random_1,1,7,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,2,7,0,0.6995938985340867,0.7745441946905268,-3.265079545465003
random_1,3,7,0,0.6945699984267801,0.7745441946905268,-3.2147021499951336
random_1,4,7,0,0.695524346184845,0.7745441946905268,-3.22403846330913
random_1,5,7,0,0.6942038637322872,0.7745441946905268,-3.211149343162491
random_1,1,8,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,2,8,0,0.6866520285942452,0.7716810337743675,-3.1129137420305533
random_1,3,8,0,0.6865972525072549,0.7687876157431585,-3.1186717115800064
random_1,4,8,0,0.6750999767038719,0.7668254982925852,-3.0021439249761874
random_1,5,8,0,0.6794435601788802,0.7770662192501451,-3.0410034321247403
random_1,1,9,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,2,9,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,3,9,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,4,9,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,5,9,0,0.7028618723902958,0.8027072448911706,-3.2994781499509926
random_1,1,10,0,0.4443211871504257,0.2222222222222222,-1.6711291392619683
random_1,2,10,0,0.5304480792868476,0.48275862068965514,-1.9165690652464145
random_1,3,10,0,0.46102464042148494,0.359375,-1.4933021364277734
random_1,4,10,0,0.3698461808840383,0.2874043042146191,-0.7542346260447796
random_1,5,10,0,0.3051680910758249,0.2620656491589829,-0.1425466161915352
random_1,1,11,0,0.6943148638432873,0.7745441946905268,-3.212224736129188
random_1,2,11,0,0.68652200310925,0.7745441946905268,-3.1403242380790966
random_1,3,11,0,0.6929116236340769,0.7745441946905268,-3.198738842082718
random_1,4,11,0,0.6923796920967948,0.7745441946905268,-3.1936885696844266
random_1,5,11,0,0.6949253644537879,0.7745441946905268,-3.2181658745614135
random_1,1,0,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,0,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,3,0,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,4,0,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,5,0,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,1,1,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
random_1,2,1,1,0.7335396695530798,0.9861450244684484,-3.3784962487711434
