filename,r,acc,prec,rec
random_1,1,0.6666666666666666,1.0,0.625
random_1,2,0.6666666666666666,1.0,0.625
random_1,3,0.6666666666666666,1.0,0.625
random_1,4,0.7777777777777778,1.0,0.75
random_1,5,0.8888888888888888,1.0,0.875
random_2,1,0.5555555555555556,1.0,0.5555555555555556
random_2,2,0.6666666666666666,1.0,0.6666666666666666
random_2,3,0.8888888888888888,1.0,0.8888888888888888
random_2,4,0.8888888888888888,1.0,0.8888888888888888
random_2,5,0.8888888888888888,1.0,0.8888888888888888
random_3,1,0.5555555555555556,1.0,0.5555555555555556
random_3,2,0.6666666666666666,1.0,0.6666666666666666
random_3,3,0.6666666666666666,1.0,0.6666666666666666
random_3,4,0.7777777777777778,1.0,0.7777777777777778
random_3,5,0.7777777777777778,1.0,0.7777777777777778
random_4,1,0.6666666666666666,1.0,0.6666666666666666
random_4,2,0.6666666666666666,1.0,0.6666666666666666
random_4,3,0.8888888888888888,1.0,0.8888888888888888
random_4,4,0.8888888888888888,1.0,0.8888888888888888
random_4,5,0.8888888888888888,1.0,0.8888888888888888
random_5,1,0.5555555555555556,1.0,0.5555555555555556
random_5,2,0.8888888888888888,1.0,0.8888888888888888
random_5,3,0.8888888888888888,1.0,0.8888888888888888
random_5,4,0.8888888888888888,1.0,0.8888888888888888
random_5,5,1.0,1.0,1.0
random_6,1,0.4444444444444444,1.0,0.4444444444444444
random_6,2,0.6666666666666666,1.0,0.6666666666666666
random_6,3,0.6666666666666666,1.0,0.6666666666666666
random_6,4,0.6666666666666666,1.0,0.6666666666666666
random_6,5,0.6666666666666666,1.0,0.6666666666666666
clustered_1,1,0.6666666666666666,1.0,0.6666666666666666
clustered_1,2,0.7777777777777778,1.0,0.7777777777777778
clustered_1,3,1.0,1.0,1.0
clustered_1,4,1.0,1.0,1.0
clustered_1,5,1.0,1.0,1.0
clustered_2,1,0.6666666666666666,1.0,0.6666666666666666
clustered_2,2,0.7777777777777778,1.0,0.7777777777777778
clustered_2,3,0.8888888888888888,1.0,0.8888888888888888
clustered_2,4,0.8888888888888888,1.0,0.8888888888888888
clustered_2,5,1.0,1.0,1.0
clustered_3,1,0.5555555555555556,1.0,0.5555555555555556
clustered_3,2,0.7777777777777778,1.0,0.7777777777777778
clustered_3,3,0.8888888888888888,1.0,0.8888888888888888
clustered_3,4,0.8888888888888888,1.0,0.8888888888888888
clustered_3,5,1.0,1.0,1.0
clustered_4,1,0.7777777777777778,1.0,0.7777777777777778
clustered_4,2,1.0,1.0,1.0
clustered_4,3,1.0,1.0,1.0
clustered_4,4,1.0,1.0,1.0
clustered_4,5,1.0,1.0,1.0
clustered_5,1,0.6666666666666666,1.0,0.6666666666666666
clustered_5,2,0.7777777777777778,1.0,0.7777777777777778
clustered_5,3,0.7777777777777778,1.0,0.7777777777777778
clustered_5,4,0.8888888888888888,1.0,0.8888888888888888
clustered_5,5,0.8888888888888888,1.0,0.8888888888888888
clustered_6,1,0.7777777777777778,1.0,0.7777777777777778
clustered_6,2,0.8888888888888888,1.0,0.8888888888888888
clustered_6,3,0.8888888888888888,1.0,0.8888888888888888
clustered_6,4,0.8888888888888888,1.0,0.8888888888888888
clustered_6,5,0.8888888888888888,1.0,0.8888888888888888
