filename,r,mae,mdae,r2
random_1,1,0.3323444444444445,0.08240000000000003,0.4643547528472407
random_1,2,0.3272162393162394,0.0507,0.4968600247200293
random_1,3,0.31901111111111113,0.0507,0.4716254477633043
random_1,4,0.3322569105691058,0.0507,0.4205294056682579
random_1,5,0.31012222222222224,0.0507,0.5080677072951845
random_2,1,0.18508333333333332,0.06105000000000001,0.8152103141356031
random_2,2,0.1613764957264957,0.03264230769230769,0.8274073513548592
random_2,3,0.1542277777777777,0.05354999999999954,0.8449559923456814
random_2,4,0.14824105691056907,0.06686341463414633,0.8682315755446566
random_2,5,0.12269571948998174,0.045541803278688536,0.9078324658278196
random_3,1,0.08026666666666671,0.054450000000000005,0.9776063915044967
random_3,2,0.07181452991452991,0.026038461538461538,0.9814396213418941
random_3,3,0.08135555555555551,0.045299999999999674,0.9808030433938485
random_3,4,0.13528373983739836,0.04517073170731707,0.9391704320499707
random_3,5,0.11767613843351546,0.048106557377049185,0.9575649533791142
random_4,1,0.25686666666666663,0.0191,0.731778022847837
random_4,2,0.2597854700854701,0.016573076923076926,0.7261474983691243
random_4,3,0.3079777777777778,0.01965,0.6601660509503735
random_4,4,0.297830081300813,0.02501585365853659,0.6903735115792058
random_4,5,0.3036704918032787,0.013420491803278672,0.6670469714806306
random_5,1,0.3383666666666666,0.08235,0.7076402768155188
random_5,2,0.15460598290598285,0.02938846153846153,0.9261524529532216
random_5,3,0.11727777777777776,0.0236,0.9642883317390669
random_5,4,0.11181653116531172,0.019069512195121943,0.9607993888037961
random_5,5,0.1113025500910748,0.015136885245901635,0.9514284120707514
random_6,1,0.12815000000000001,0.031200000000000006,0.798084408029933
random_6,2,0.13489188034188035,0.030338461538461536,0.6983064623272093
random_6,3,0.1424166666666667,0.048799999999999996,0.7702987936039166
random_6,4,0.1258237127371274,0.04383414634146342,0.8451341916443944
random_6,5,0.14161739526411657,0.0263,0.7454692769077209
random_7,1,0.25082777777777776,0.03815,0.568523745748014
