filename,r,sample_id,acc,prec,rec
random_1,1,0,0.1111111111111111,1.0,0.1111111111111111
random_1,1,1,0.0,0.0,0.0
random_1,1,2,0.1111111111111111,1.0,0.1111111111111111
random_1,1,3,0.2222222222222222,1.0,0.2222222222222222
random_1,1,4,0.2222222222222222,1.0,0.2222222222222222
random_1,1,5,0.0,0.0,0.0
random_1,1,6,0.2222222222222222,1.0,0.2222222222222222
random_1,1,7,0.0,0.0,0.0
random_1,1,8,0.0,0.0,0.0
random_1,1,9,0.0,0.0,0.0
random_1,1,10,0.0,0.0,0.0
random_1,1,11,0.0,0.0,0.0
random_1,2,0,0.1111111111111111,1.0,0.1111111111111111
random_1,2,1,0.0,0.0,0.0
random_1,2,2,0.1111111111111111,1.0,0.1111111111111111
random_1,2,3,0.2222222222222222,1.0,0.2222222222222222
random_1,2,4,0.2222222222222222,1.0,0.2222222222222222
random_1,2,5,0.0,0.0,0.0
random_1,2,6,0.3333333333333333,1.0,0.3333333333333333
random_1,2,7,0.0,0.0,0.0
random_1,2,8,0.0,0.0,0.0
random_1,2,9,0.0,0.0,0.0
random_1,2,10,0.0,0.0,0.0
random_1,2,11,0.0,0.0,0.0
random_1,3,0,0.1111111111111111,1.0,0.1111111111111111
random_1,3,1,0.0,0.0,0.0
random_1,3,2,0.1111111111111111,1.0,0.1111111111111111
random_1,3,3,0.2222222222222222,1.0,0.2222222222222222
random_1,3,4,0.2222222222222222,1.0,0.2222222222222222
random_1,3,5,0.0,0.0,0.0
random_1,3,6,0.3333333333333333,1.0,0.3333333333333333
random_1,3,7,0.0,0.0,0.0
random_1,3,8,0.0,0.0,0.0
random_1,3,9,0.1111111111111111,1.0,0.1111111111111111
random_1,3,10,0.0,0.0,0.0
random_1,3,11,0.0,0.0,0.0
random_1,4,0,0.2222222222222222,1.0,0.2222222222222222
random_1,4,1,0.0,0.0,0.0
random_1,4,2,0.1111111111111111,1.0,0.1111111111111111
random_1,4,3,0.2222222222222222,1.0,0.2222222222222222
random_1,4,4,0.3333333333333333,1.0,0.3333333333333333
random_1,4,5,0.1111111111111111,1.0,0.1111111111111111
random_1,4,6,0.3333333333333333,1.0,0.3333333333333333
random_1,4,7,0.0,0.0,0.0
random_1,4,8,0.1111111111111111,1.0,0.1111111111111111
random_1,4,9,0.2222222222222222,1.0,0.2222222222222222
random_1,4,10,0.0,0.0,0.0
random_1,4,11,0.0,0.0,0.0
random_1,5,0,0.4444444444444444,1.0,0.4444444444444444
random_1,5,1,0.1111111111111111,1.0,0.1111111111111111
random_1,5,2,0.1111111111111111,1.0,0.1111111111111111
random_1,5,3,0.3333333333333333,1.0,0.3333333333333333
random_1,5,4,0.4444444444444444,1.0,0.4444444444444444
random_1,5,5,0.1111111111111111,1.0,0.1111111111111111
random_1,5,6,0.4444444444444444,1.0,0.4444444444444444
random_1,5,7,0.0,0.0,0.0
random_1,5,8,0.2222222222222222,1.0,0.2222222222222222
random_1,5,9,0.3333333333333333,1.0,0.3333333333333333
random_1,5,10,0.0,0.0,0.0
random_1,5,11,0.1111111111111111,1.0,0.1111111111111111
random_2,1,0,0.1111111111111111,1.0,0.1111111111111111
random_2,1,1,0.0,0.0,0.0
random_2,1,2,0.0,0.0,0.0
random_2,1,3,0.3333333333333333,1.0,0.3333333333333333
random_2,1,4,0.1111111111111111,1.0,0.1111111111111111
random_2,1,5,0.0,0.0,0.0
random_2,1,6,0.1111111111111111,1.0,0.1111111111111111
random_2,1,7,0.0,0.0,0.0
random_2,1,8,0.2222222222222222,1.0,0.2222222222222222
random_2,1,9,0.0,0.0,0.0
random_2,1,10,0.0,0.0,0.0
random_2,1,11,0.0,0.0,0.0
random_2,2,0,0.1111111111111111,1.0,0.1111111111111111
random_2,2,1,0.0,0.0,0.0
random_2,2,2,0.1111111111111111,1.0,0.1111111111111111
random_2,2,3,0.4444444444444444,1.0,0.4444444444444444
random_2,2,4,0.2222222222222222,1.0,0.2222222222222222
random_2,2,5,0.0,0.0,0.0
random_2,2,6,0.1111111111111111,1.0,0.1111111111111111
random_2,2,7,0.0,0.0,0.0
random_2,2,8,0.2222222222222222,1.0,0.2222222222222222
random_2,2,9,0.0,0.0,0.0
random_2,2,10,0.0,0.0,0.0
random_2,2,11,0.0,0.0,0.0
random_2,3,0,0.2222222222222222,1.0,0.2222222222222222
random_2,3,1,0.0,0.0,0.0
random_2,3,2,0.2222222222222222,1.0,0.2222222222222222
random_2,3,3,0.4444444444444444,1.0,0.4444444444444444
random_2,3,4,0.2222222222222222,1.0,0.2222222222222222
random_2,3,5,0.1111111111111111,1.0,0.1111111111111111
random_2,3,6,0.1111111111111111,1.0,0.1111111111111111
random_2,3,7,0.0,0.0,0.0
random_2,3,8,0.2222222222222222,1.0,0.2222222222222222
random_2,3,9,0.0,0.0,0.0
random_2,3,10,0.0,0.0,0.0
random_2,3,11,0.0,0.0,0.0
random_2,4,0,0.2222222222222222,1.0,0.2222222222222222
random_2,4,1,0.0,0.0,0.0
random_2,4,2,0.2222222222222222,1.0,0.2222222222222222
random_2,4,3,0.4444444444444444,1.0,0.4444444444444444
random_2,4,4,0.2222222222222222,1.0,0.2222222222222222
random_2,4,5,0.2222222222222222,1.0,0.2222222222222222
random_2,4,6,0.1111111111111111,1.0,0.1111111111111111
random_2,4,7,0.1111111111111111,1.0,0.1111111111111111
random_2,4,8,0.2222222222222222,1.0,0.2222222222222222
random_2,4,9,0.0,0.0,0.0
random_2,4,10,0.0,0.0,0.0
random_2,4,11,0.1111111111111111,1.0,0.1111111111111111
