filename,r,sample_id,mae,mdae,r2
random_1,1,0,1.6810333333333334,0.0745,-27.440068359607135
random_1,1,1,0.5564555555555555,0.0745,-0.5148354513785305
random_1,1,2,0.6048111111111111,0.0745,-0.6434748020227348
random_1,1,3,0.7417000000000001,0.0745,-1.50043988793192
random_1,1,4,1.630588888888889,0.0745,-13.254860553046093
random_1,1,5,0.5564555555555555,0.0745,-0.5148354513785305
random_1,1,6,1.0323444444444447,0.3007,-4.292138442835993
random_1,1,7,0.5564555555555555,0.0745,-0.5148354513785305
random_1,1,8,0.5564555555555555,0.0745,-0.5148354513785305
random_1,1,9,0.5564555555555555,0.0745,-0.5148354513785305
random_1,1,10,0.5564555555555555,0.0745,-0.5148354513785305
random_1,1,11,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,0,1.5169307692307692,0.0745,-21.152453499348706
random_1,2,1,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,2,0.56378547008547,0.0745,-0.5298351668208585
random_1,2,3,0.7143495726495727,0.0745,-1.7622744729404989
random_1,2,4,1.7399905982905983,0.0745,-21.473579636783683
random_1,2,5,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,6,0.5610418803418803,0.3007,-0.3037113082665932
random_1,2,7,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,8,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,9,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,10,0.5564555555555555,0.0745,-0.5148354513785305
random_1,2,11,0.5564555555555555,0.0745,-0.5148354513785305
random_1,3,0,1.3254777777777778,0.0745,-14.835540221026204
random_1,3,1,0.5564555555555555,0.0745,-0.5148354513785305
random_1,3,2,0.49814444444444445,0.057599999999999985,-0.45278588224426697
random_1,3,3,1.0261444444444445,0.0745,-5.799453481151836
random_1,3,4,1.3817,0.0745,-13.404498385927804
random_1,3,5,0.5564555555555555,0.0745,-0.5148354513785305
random_1,3,6,0.5829222222222223,0.057599999999999985,-0.9178620640080339
random_1,3,7,0.5564555555555555,0.0745,-0.5148354513785305
random_1,3,8,0.5564555555555555,0.0745,-0.5148354513785305
random_1,3,9,0.6110111111111112,0.3007,-0.5728886877446189
random_1,3,10,0.5564555555555555,0.0745,-0.5148354513785305
random_1,3,11,0.5564555555555555,0.0745,-0.5148354513785305
random_1,4,0,1.5170523035230354,0.1206219512195122,-20.975080957159406
random_1,4,1,0.5564555555555555,0.0745,-0.5148354513785305
random_1,4,2,0.49207398373983735,0.0507,-0.45217457861486277
random_1,4,3,1.3964425474254745,0.0745,-12.310840406002876
random_1,4,4,1.0763639566395666,0.3007,-6.692057149453144
random_1,4,5,0.5716468834688346,0.1659219512195122,-0.5197638899499992
random_1,4,6,0.7294804878048781,0.3007,-1.908814443716477
random_1,4,7,0.5564555555555555,0.0745,-0.5148354513785305
random_1,4,8,0.5716468834688346,0.1659219512195122,-0.5197638899499992
random_1,4,9,0.561580216802168,0.3007,-0.49727362485195403
random_1,4,10,0.5564555555555555,0.0745,-0.5148354513785305
random_1,4,11,0.5564555555555555,0.0745,-0.5148354513785305
random_1,5,0,1.5799604735883426,0.05664754098360651,-24.62468027088691
random_1,5,1,0.5645386156648451,0.1019475409836065,-0.5165980094699854
random_1,5,2,0.5144650273224043,0.0745,-0.4598977834895508
random_1,5,3,1.2963648451730416,0.18779508196721306,-10.691972812480117
random_1,5,4,0.8446344262295082,0.16955245901639351,-3.86034952265471
random_1,5,5,0.5645386156648451,0.1019475409836065,-0.5165980094699854
random_1,5,6,0.9401491803278689,0.3007,-3.2442322010091367
