filename,r,sample_id,mae,mdae,r2
random_1,1,0,0.4430222222222222,0.29575,0.09705091856372494
random_1,1,1,0.6208,0.29575,-0.5785253797802223
random_1,1,2,2.1384555555555553,0.29575,-33.38463318663436
random_1,1,3,0.5173000000000001,0.29575,-0.08135032790790397
random_1,1,4,0.6208,0.29575,-0.5785253797802223
random_1,1,5,0.6208,0.29575,-0.5785253797802223
random_1,1,6,0.8528222222222223,0.29575,-2.80762026613508
random_1,1,7,1.7502666666666666,0.37055,-14.749268637660238
random_1,1,8,0.4177444444444444,0.37055,0.45446720786731876
random_1,1,9,0.4430222222222222,0.29575,0.09705091856372494
random_1,1,10,0.4430222222222222,0.29575,0.09705091856372494
random_1,1,11,1.0506333333333333,0.29575,-5.740419336216248
random_1,1,12,0.6208,0.29575,-0.5785253797802223
random_1,1,13,0.6208,0.29575,-0.5785253797802223
random_1,1,14,1.3861555555555554,0.29575,-13.446205651464771
random_1,1,15,0.4430222222222222,0.29575,0.09705091856372494
random_1,2,0,0.48404786324786325,0.29575,0.016945519373308793
random_1,2,1,0.48404786324786325,0.29575,0.053958055750772504
random_1,2,2,2.1794811965811967,0.29575,-35.13537732014426
random_1,2,3,0.6403769230769232,0.29575,-0.7051179182861451
random_1,2,4,0.4156717948717948,0.2195961538461535,0.12518891018922185
random_1,2,5,0.5550777777777778,0.3196346153846154,-0.22007746412672446
random_1,2,6,1.0989760683760683,0.29575,-7.790983963589467
random_1,2,7,1.6682153846153847,0.37055,-13.32569012328331
random_1,2,8,0.8028478632478633,0.3196346153846154,-3.7018574516650355
random_1,2,9,0.34729572649572643,0.2195961538461535,0.50459464754167
random_1,2,10,0.4156717948717948,0.2195961538461535,0.12518891018922185
random_1,2,11,1.2557615384615388,0.29575,-9.96349857402898
random_1,2,12,0.48670170940170937,0.3196346153846154,0.051506502240553864
random_1,2,13,0.6208,0.29575,-0.5785253797802223
random_1,2,14,1.1673521367521367,0.29575,-8.151883432753182
random_1,2,15,0.5036247863247865,0.29575,-0.03730842570065773
random_1,3,0,0.5141333333333333,0.29575,-0.07070229539598483
random_1,3,1,0.4888555555555556,0.37055,0.10113399869987427
random_1,3,2,1.9606777777777777,0.29575,-26.323599917721598
random_1,3,3,0.7661888888888889,0.29575,-1.765794348258353
random_1,3,4,0.47857777777777777,0.29575,0.03025386248018147
random_1,3,5,0.48396666666666666,0.37055,0.0380464075766237
random_1,3,6,1.101711111111111,0.29575,-8.538209893821724
random_1,3,7,2.138211111111111,0.14575000000000005,-27.454410295768103
random_1,3,8,1.1205444444444443,0.37055,-7.789767961466389
random_1,3,9,0.3750777777777778,0.17425000000000024,0.3412244480651184
random_1,3,10,0.4430222222222222,0.29575,0.09705091856372494
random_1,3,11,1.0150777777777777,0.29575,-5.527362613504072
random_1,3,12,0.48396666666666666,0.11375,-0.027341585557973946
random_1,3,13,0.6208,0.29575,-0.5785253797802223
random_1,3,14,1.5796,0.20625,-19.844109344749267
random_1,3,15,0.40746666666666664,0.14575000000000005,0.12968887285464514
random_1,4,0,0.5123989159891599,0.29575,-0.0649850973497279
random_1,4,1,0.44376070460704603,0.29575,0.15478251213706817
random_1,4,2,2.142791598915989,0.29575,-34.36147667133254
random_1,4,3,0.7665238482384824,0.29575,-1.5831246587376269
random_1,4,4,0.40022682926829267,0.11375,0.13214874158301626
random_1,4,5,0.4249964769647696,0.28961585365853654,0.11783812460771548
random_1,4,6,1.3341230352303524,0.29575,-16.272687422441916
random_1,4,7,2.027208401084011,0.37055,-24.51929569110205
random_1,4,8,0.892468563685637,0.28961585365853654,-5.221842059522312
random_1,4,9,0.4219070460704607,0.29575,0.23023328248567587
random_1,4,10,0.46677181571815723,0.3096524390243902,0.09316617166425334
random_1,4,11,0.833831165311653,0.29575,-3.425001039730189
random_1,4,12,0.5088013550135501,0.10062804878048781,-0.10486709651078585
random_1,4,13,0.6208,0.29575,-0.5785253797802223
random_1,4,14,1.6116867208672085,0.09449390243902439,-21.11520517576126
random_1,4,15,0.40399783197831973,0.11453048780487807,0.13104420024451713
random_1,5,0,0.5293794171220401,0.29575,-0.08855963629126928
random_1,5,1,0.4352307832422586,0.29575,0.1647772575889913
random_1,5,2,2.1559418943533704,0.29575,-34.661311714965024
random_1,5,3,0.7277837887067395,0.29575,-1.2892428698716039
random_1,5,4,0.40946757741347906,0.16375819672131176,0.12875922414385144
random_1,5,5,0.43105428051001815,0.294905737704918,0.11172456960798183
random_1,5,6,1.5406182149362477,0.1646024590163935,-24.215620393791433
random_1,5,7,1.8683386156648452,0.37055,-20.303069077920885
random_1,5,8,0.7865553734061931,0.294905737704918,-3.4128091263695
random_1,5,9,0.351179781420765,0.11375,0.39019012138228837
random_1,5,10,0.4654887067395264,0.29575,0.09424593596777364
random_1,5,11,0.8029102003642987,0.29575,-2.911473989213739
random_1,5,12,0.5372344262295081,0.1646024590163935,-0.2349756326207164
random_1,5,13,0.6208,0.29575,-0.5785253797802223
random_1,5,14,1.5516218579234973,0.0976926229508196,-19.342807826791468
random_1,5,15,0.46050856102003646,0.29575,0.0684686475883648
random_2,1,0,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,1,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,2,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,3,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,4,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,5,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,6,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,7,0.5854444444444445,0.07635,-11.911705475738101
random_2,1,8,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,9,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,10,0.6538777777777778,0.07635,-11.749435755573076
random_2,1,11,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,12,0.29663333333333336,0.07635,-1.220129891676749
random_2,1,13,1.225411111111111,0.07635,-101.45597823008639
random_2,1,14,0.2745777777777778,0.07635,-0.8311137147110848
random_2,1,15,0.9977777777777779,0.1719,-42.97479418988852
random_2,2,0,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,1,0.3239837606837607,0.07635,-1.8366022206431585
random_2,2,2,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,3,0.5974880341880343,0.07635,-16.165139576866423
random_2,2,4,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,5,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,6,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,7,0.5516623931623932,0.07635,-11.044781478728352
random_2,2,8,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,9,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,10,0.3256726495726495,0.07635,-1.3196437701031374
random_2,2,11,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,12,1.1062965811965813,0.07635,-58.34644781324154
random_2,2,13,0.7057529914529915,0.07635,-24.231341562594253
random_2,2,14,0.2745777777777778,0.07635,-0.8311137147110848
random_2,2,15,0.9504555555555556,0.5743346153846154,-19.698679508470658
random_2,3,0,0.3010111111111111,0.1719,-0.9243600104291012
random_2,3,1,0.29663333333333336,0.07635,-1.220129891676749
random_2,3,2,0.2745777777777778,0.07635,-0.8311137147110848
random_2,3,3,0.5810777777777778,0.07635,-14.886846323353083
random_2,3,4,0.2931666666666667,0.1719,-0.8966879277149695
random_2,3,5,0.2745777777777778,0.07635,-0.8311137147110848
random_2,3,6,0.2745777777777778,0.07635,-0.8311137147110848
random_2,3,7,0.5407222222222223,0.07635,-13.494501572284944
random_2,3,8,0.2745777777777778,0.07635,-0.8311137147110848
