filename,r,type_id,mae,mdae,r2
random_1,1,0,0.6953495980240637,0.9521881815425906,-5.532531642553435
random_1,2,0,0.6994006337307002,0.9521881815425906,-5.5762325683568
random_1,3,0,0.6842375512798332,0.9521881815425906,-5.43018959094231
random_1,4,0,0.6739358715103663,0.6967937076391183,-4.718887316348399
random_1,5,0,0.7135932757101844,0.7470590801415329,-5.341586400665196
random_1,1,1,0.6425973153648854,0.8652736244859308,-5.086533751484557
random_1,2,1,0.6425973153648854,0.8652736244859308,-5.086533751484557
random_1,3,1,0.6203750931426631,0.8652736244859308,-4.857868825869427
random_1,4,1,0.42594989192882,0.46095411508573014,-2.5219171084188887
random_1,5,1,0.5186004810127501,0.5752398293714444,-3.10078491240521
random_1,1,2,0.880744802556217,0.9934242030780996,-7.996671599225268
random_1,2,2,0.880744802556217,0.9934242030780996,-7.996671599225268
random_1,3,2,0.880744802556217,0.9934242030780996,-7.996671599225268
random_1,4,2,0.442767621121609,0.5846541368900972,-2.7773186790513082
random_1,5,2,0.6531072408058858,0.7509657047961901,-4.261691635992238
random_1,1,3,0.7090024861139859,0.9644763218200793,-5.692305531012874
random_1,2,3,0.7092439980110987,0.9644763218200793,-5.702723864171875
random_1,3,3,0.7165298951520682,0.9644763218200793,-5.77049050990393
random_1,4,3,0.6706911176606298,0.6819103199650107,-4.66180926467918
random_1,5,3,0.7011251105397499,0.7435834493026469,-5.134908739374374
random_1,1,4,0.8314924588414985,0.9489711756141316,-7.855937157699335
random_1,2,4,0.8314924588414985,0.9489711756141316,-7.855937157699335
random_1,3,4,0.8314924588414985,0.9489711756141316,-7.855937157699335
random_1,4,4,0.4390986267360139,0.5708520555237806,-2.6955897164565767
random_1,5,4,0.5843426259951482,0.6833520555237806,-3.8388267046445375
random_1,1,5,0.6421254546177686,0.9708520555237806,-5.2184900448293
random_1,2,5,0.6383159308082447,0.9708520555237806,-5.185502476522222
random_1,3,5,0.6607649104000815,0.9708520555237806,-5.420530824765775
random_1,4,5,0.6169860783703852,0.5846541368900972,-3.942083128963744
random_1,5,5,0.677414064439772,0.7378497274648281,-4.781443192308634
random_1,1,6,0.8383170991056418,0.9797750962096856,-7.611547147612848
random_1,2,6,0.8383170991056418,0.9797750962096856,-7.611547147612848
random_1,3,6,0.8383170991056418,0.9797750962096856,-7.611547147612848
random_1,4,6,0.8383170991056418,0.9797750962096856,-7.611547147612848
random_1,5,6,0.8383170991056418,0.9797750962096856,-7.611547147612848
random_1,1,7,0.8757749817407766,0.989247195396706,-7.983908083204112
random_1,2,7,0.8757749817407766,0.989247195396706,-7.983908083204112
random_1,3,7,0.8757749817407766,0.989247195396706,-7.983908083204112
random_1,4,7,0.44404230255471516,0.584532263298447,-2.743762136562131
random_1,5,7,0.5362486614965742,0.5845322632984471,-3.2971524785786137
random_1,1,8,0.8362994975891606,0.9738764790234176,-7.597674333423825
random_1,2,8,0.8362994975891606,0.9738764790234176,-7.597674333423825
random_1,3,8,0.8362994975891606,0.9738764790234176,-7.597674333423825
random_1,4,8,0.8362994975891606,0.9738764790234176,-7.597674333423825
random_1,5,8,0.8362994975891606,0.9738764790234176,-7.597674333423825
random_2,1,0,0.6602487061175525,0.6441857044520685,-5.168317459622201
random_2,2,0,0.61213042654766,0.5580875291715457,-4.4121313106909765
random_2,3,0,0.5797424133339059,0.5632356467617246,-3.8011047550431964
random_2,4,0,0.6082392148793608,0.5819566142909507,-4.087018585150876
random_2,5,0,0.542169809723564,0.5158969947946519,-3.3192854274098647
random_2,1,1,0.8335158052912521,0.9629967244567572,-7.603373270440832
random_2,2,1,0.8335158052912521,0.9629967244567572,-7.603373270440832
